contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CBOE250530C00200000,2025-05-14 19:45:37+00:00,200.0,14.91,30.3,33.7,0.0,0.0,,15,0.702151416015625,True,REGULAR,USD
CBOE250530C00210000,2025-05-15 13:34:38+00:00,210.0,7.6,19.9,23.6,0.0,0.0,,2,0.7949239257812499,True,REGULAR,USD
CBOE250530C00215000,2025-05-22 16:08:32+00:00,215.0,12.4,15.0,18.5,0.0,0.0,1.0,17,0.6530796411132813,True,REGULAR,USD
CBOE250530C00217500,2025-05-15 17:48:25+00:00,217.5,3.5,13.0,15.3,0.0,0.0,,21,0.49609878906250005,True,REGULAR,USD
CBOE250530C00220000,2025-05-21 19:54:41+00:00,220.0,10.2,10.5,13.6,0.0,0.0,54.0,24,0.5329636547851562,True,REGULAR,USD
CBOE250530C00222500,2025-05-23 19:06:49+00:00,222.5,9.42,8.2,10.9,2.5700002,37.51825,3.0,25,0.4420221813964844,True,REGULAR,USD
CBOE250530C00225000,2025-05-23 15:07:47+00:00,225.0,6.6,5.8,8.5,1.75,36.082478,1.0,10,0.38184211914062494,True,REGULAR,USD
CBOE250530C00227500,2025-05-23 19:10:13+00:00,227.5,4.7,3.8,6.1,1.5999999,51.6129,6.0,18,0.31592480957031244,True,REGULAR,USD
CBOE250530C00230000,2025-05-23 19:36:55+00:00,230.0,3.0,2.4,3.6,1.32,78.571434,36.0,55,0.23194127441406248,True,REGULAR,USD
CBOE250530C00232500,2025-05-23 19:52:31+00:00,232.5,1.9,1.2,1.85,1.9,,44.0,22,0.19214675048828128,False,REGULAR,USD
CBOE250530C00235000,2025-05-23 19:21:54+00:00,235.0,0.92,0.6,1.95,0.32,53.33333,13.0,17,0.28394270751953116,False,REGULAR,USD
CBOE250530C00237500,2025-05-23 18:02:48+00:00,237.5,0.55,0.15,1.8,0.55,,7.0,0,0.3415593188476562,False,REGULAR,USD
CBOE250530C00240000,2025-05-12 15:06:32+00:00,240.0,0.35,0.05,1.35,0.0,0.0,1.0,1,0.3579165771484375,False,REGULAR,USD
