contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DIA250530C00285000,2025-05-07 13:48:52+00:00,285.0,125.9,130.95,131.4,0.0,0.0,,8,1.12891060546875,True,REGULAR,USD
DIA250530C00345000,2025-05-01 19:59:30+00:00,345.0,63.85,71.0,71.45,0.0,0.0,,1,0.641605146484375,True,REGULAR,USD
DIA250530C00350000,2025-04-22 13:30:41+00:00,350.0,39.85,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
DIA250530C00355000,2025-04-30 15:44:14+00:00,355.0,50.05,61.0,61.45,0.0,0.0,1.0,2,0.5546919531250001,True,REGULAR,USD
DIA250530C00365000,2025-05-19 19:11:21+00:00,365.0,50.66,51.05,51.45,-12.48,-19.765598,1.0,2,0.46973186523437505,True,REGULAR,USD
DIA250530C00370000,2025-05-15 15:03:14+00:00,370.0,50.6,46.05,46.45,0.0,0.0,1.0,25,0.42676354492187507,True,REGULAR,USD
DIA250530C00375000,2025-05-23 17:11:53+00:00,375.0,42.23,41.05,41.5,22.26,111.46721,4.0,1,0.405279384765625,True,REGULAR,USD
DIA250530C00376000,2025-05-07 19:47:34+00:00,376.0,36.77,40.05,40.5,0.0,0.0,17.0,17,0.39649041015625003,True,REGULAR,USD
DIA250530C00377000,2025-05-19 14:06:58+00:00,377.0,50.35,39.1,39.5,0.0,0.0,8.0,18,0.387701435546875,True,REGULAR,USD
DIA250530C00378000,2025-04-28 14:04:12+00:00,378.0,28.6,38.1,38.5,0.0,0.0,,5,0.3789124609375,True,REGULAR,USD
DIA250530C00379000,2025-04-30 17:19:46+00:00,379.0,27.75,37.1,37.5,0.0,0.0,10.0,15,0.370123486328125,True,REGULAR,USD
DIA250530C00380000,2025-05-21 13:55:37+00:00,380.0,44.56,36.1,36.55,0.0,0.0,1.0,20,0.37695935546875,True,REGULAR,USD
DIA250530C00381000,2025-04-30 14:35:00+00:00,381.0,24.45,35.1,35.55,0.0,0.0,5.0,14,0.36817038085937503,True,REGULAR,USD
DIA250530C00382000,2025-04-28 15:08:21+00:00,382.0,24.85,34.1,34.55,0.0,0.0,16.0,15,0.3588931298828125,True,REGULAR,USD
DIA250530C00383000,2025-04-29 14:23:34+00:00,383.0,24.44,33.1,33.55,0.0,0.0,,3,0.34961587890624996,True,REGULAR,USD
DIA250530C00384000,2025-05-07 18:57:00+00:00,384.0,29.8,32.1,32.55,0.0,0.0,3.0,1,0.340826904296875,True,REGULAR,USD
