contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ETHA250530C00010000,2025-05-13 15:11:09+00:00,10.0,9.4,9.3,9.5,0.0,0.0,,35,2.3437541406249993,True,REGULAR,USD
ETHA250530C00012500,2025-05-08 13:54:01+00:00,12.5,2.65,6.8,7.0,0.0,0.0,1.0,1,1.625001875,True,REGULAR,USD
ETHA250530C00013000,2025-05-06 18:22:41+00:00,13.0,6.6,6.3,6.5,5.5299997,516.8224,7.0,7,1.484377578125,True,REGULAR,USD
ETHA250530C00013500,2025-05-22 16:26:21+00:00,13.5,6.7,5.8,6.0,0.0,0.0,2.0,73,1.359378203125,True,REGULAR,USD
ETHA250530C00014000,2025-05-23 14:23:30+00:00,14.0,5.55,5.3,5.5,0.7000003,14.432997,10.0,28,1.2500037499999999,True,REGULAR,USD
ETHA250530C00014500,2025-05-22 14:16:23+00:00,14.5,5.6,4.8,5.0,0.0,0.0,1.0,2,1.125004375,True,REGULAR,USD
ETHA250530C00015000,2025-05-22 18:50:33+00:00,15.0,5.25,4.3,4.5,0.0,0.0,21.0,135,1.015629921875,True,REGULAR,USD
ETHA250530C00015500,2025-05-16 13:38:55+00:00,15.5,4.4,3.9,4.0,0.0,0.0,3.0,28,1.140629296875,True,REGULAR,USD
ETHA250530C00016000,2025-05-23 19:31:59+00:00,16.0,3.55,3.4,3.6,0.54999995,18.333332,30.0,112,1.15625421875,True,REGULAR,USD
ETHA250530C00016500,2025-05-19 15:57:55+00:00,16.5,2.5,2.9,3.1,0.0,0.0,1.0,9,1.01172369140625,True,REGULAR,USD
ETHA250530C00017000,2025-05-23 17:42:25+00:00,17.0,2.65,2.45,2.6,-0.48000002,-15.335463,50.0,97,0.92187578125,True,REGULAR,USD
ETHA250530C00017500,2025-05-23 18:25:48+00:00,17.5,2.17,2.05,2.2,-0.81999993,-27.424747,31.0,464,0.93945373046875,True,REGULAR,USD
ETHA250530C00018000,2025-05-23 14:07:18+00:00,18.0,1.9,1.65,1.75,-0.32000005,-14.414416,285.0,34,0.87500125,True,REGULAR,USD
ETHA250530C00018500,2025-05-23 19:41:06+00:00,18.5,1.31,1.25,1.35,-0.57000005,-30.31915,408.0,463,0.8085956640624999,True,REGULAR,USD
ETHA250530C00019000,2025-05-23 19:38:01+00:00,19.0,1.06,0.95,1.05,-0.6400001,-37.647064,470.0,238,0.8105487695312499,True,REGULAR,USD
ETHA250530C00020000,2025-05-23 19:48:42+00:00,20.0,0.52,0.5,0.6,-0.38,-42.22222,1482.0,2778,0.8183611914062499,False,REGULAR,USD
ETHA250530C00021000,2025-05-23 19:45:35+00:00,21.0,0.3,0.25,0.35,-0.22999996,-43.39622,795.0,511,0.8554701953125,False,REGULAR,USD
ETHA250530C00022000,2025-05-23 18:56:50+00:00,22.0,0.2,0.15,0.2,-0.10000001,-33.333336,300.0,6639,0.9179695703125,False,REGULAR,USD
ETHA250530C00023000,2025-05-22 19:18:01+00:00,23.0,0.13,0.05,0.15,-0.07000001,-35.000004,3.0,3326,0.9687503125,False,REGULAR,USD
ETHA250530C00024000,2025-05-22 18:29:07+00:00,24.0,0.11,0.05,0.6,0.0,0.0,172.0,235,1.5781271093749998,False,REGULAR,USD
ETHA250530C00025000,2025-05-23 14:48:54+00:00,25.0,0.05,0.0,0.05,0.0,0.0,104.0,3826,1.000005,False,REGULAR,USD
ETHA250530C00026000,2025-05-13 17:26:51+00:00,26.0,0.15,0.0,0.75,0.0,0.0,,28,2.0273486816406248,False,REGULAR,USD
ETHA250530C00027000,2025-05-13 16:52:45+00:00,27.0,0.1,0.0,1.25,0.0,0.0,,9,2.5839879150390628,False,REGULAR,USD
ETHA250530C00028000,2025-05-13 15:48:49+00:00,28.0,0.06,0.0,2.15,0.0,0.0,,2,3.3535172412109366,False,REGULAR,USD
ETHA250530C00029000,2025-05-13 16:52:47+00:00,29.0,0.05,0.0,1.35,0.0,0.0,,1,2.9843775390625,False,REGULAR,USD
ETHA250530C00030000,2025-05-16 19:41:21+00:00,30.0,0.1,0.0,0.05,0.0,0.0,15.0,22,1.5625021874999998,False,REGULAR,USD
