contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ISRG250530C00365000,2025-04-24 15:03:34+00:00,365.0,138.78,171.0,177.0,0.0,0.0,,3,1.8977055895996093,True,REGULAR,USD
ISRG250530C00400000,2025-05-20 17:49:58+00:00,400.0,156.0,137.0,143.7,0.0,0.0,2.0,8,1.2290077612304686,True,REGULAR,USD
ISRG250530C00415000,2025-05-12 17:47:47+00:00,415.0,143.91,120.9,128.7,0.0,0.0,2.0,2,0.922852333984375,True,REGULAR,USD
ISRG250530C00420000,2025-04-23 17:37:37+00:00,420.0,77.5,116.1,123.3,0.0,0.0,,1,0.831056376953125,True,REGULAR,USD
ISRG250530C00440000,2025-05-12 14:22:41+00:00,440.0,114.8,96.6,103.8,0.0,0.0,1.0,0,0.8564467480468749,True,REGULAR,USD
ISRG250530C00460000,2025-04-28 19:55:06+00:00,460.0,60.6,76.0,83.9,0.0,0.0,,1,0.641605146484375,True,REGULAR,USD
ISRG250530C00465000,2025-05-13 17:40:50+00:00,465.0,106.2,72.3,78.5,0.0,0.0,,5,0.6916534741210938,True,REGULAR,USD
ISRG250530C00475000,2025-04-30 14:26:21+00:00,475.0,42.57,61.0,68.9,0.0,0.0,1.0,1,0.5307664111328125,True,REGULAR,USD
ISRG250530C00480000,2025-05-08 13:30:21+00:00,480.0,63.62,56.8,64.0,0.0,0.0,3.0,6,0.569340244140625,True,REGULAR,USD
ISRG250530C00490000,2025-05-08 13:30:21+00:00,490.0,54.37,46.0,53.9,0.0,0.0,3.0,4,0.7658714819335939,True,REGULAR,USD
ISRG250530C00500000,2025-05-12 14:55:02+00:00,500.0,59.0,39.0,44.4,0.0,0.0,4.0,5,0.5180712255859375,True,REGULAR,USD
ISRG250530C00505000,2025-05-08 15:23:30+00:00,505.0,42.25,32.5,39.6,0.0,0.0,5.0,12,0.6384313500976562,True,REGULAR,USD
ISRG250530C00510000,2025-05-19 14:32:09+00:00,510.0,50.52,27.2,35.0,0.0,0.0,1.0,7,0.6001016552734376,True,REGULAR,USD
ISRG250530C00515000,2025-05-19 14:32:09+00:00,515.0,46.02,24.5,29.3,0.0,0.0,1.0,9,0.506840869140625,True,REGULAR,USD
ISRG250530C00520000,2025-05-20 18:45:34+00:00,520.0,36.9,19.4,24.8,0.0,0.0,4.0,10,0.46924358886718753,True,REGULAR,USD
ISRG250530C00525000,2025-05-23 17:52:56+00:00,525.0,20.02,14.7,20.0,-1.8299999,-8.375285,1.0,18,0.41394629028320307,True,REGULAR,USD
ISRG250530C00527500,2025-05-23 16:36:47+00:00,527.5,16.87,13.8,19.4,-20.03,-54.28184,1.0,1,0.4568535760498047,True,REGULAR,USD
ISRG250530C00530000,2025-05-22 17:53:55+00:00,530.0,18.92,11.9,16.3,0.0,0.0,3.0,10,0.397466962890625,True,REGULAR,USD
ISRG250530C00532500,2025-05-23 17:34:07+00:00,532.5,13.4,10.1,14.7,13.4,,1.0,0,0.3945983392333985,True,REGULAR,USD
ISRG250530C00535000,2025-05-23 15:06:21+00:00,535.0,10.58,9.0,13.9,-12.84,-54.824936,3.0,16,0.4180356048583984,True,REGULAR,USD
ISRG250530C00537500,2025-05-23 18:19:25+00:00,537.5,10.1,6.6,11.9,-13.619999,-57.419895,21.0,6,0.3939269592285156,True,REGULAR,USD
ISRG250530C00540000,2025-05-23 19:47:17+00:00,540.0,8.42,5.5,10.3,-2.58,-23.454546,66.0,16,0.3813538427734374,False,REGULAR,USD
ISRG250530C00542500,2025-05-23 18:30:59+00:00,542.5,7.23,4.4,10.8,7.23,,2.0,2,0.4417780432128906,False,REGULAR,USD
ISRG250530C00545000,2025-05-23 19:23:43+00:00,545.0,5.79,5.2,7.6,-3.4099998,-37.065216,64.0,47,0.3640200317382813,False,REGULAR,USD
ISRG250530C00547500,2025-05-23 19:59:53+00:00,547.5,5.02,4.4,5.6,-0.7600002,-13.148792,8.0,6,0.32471378417968744,False,REGULAR,USD
ISRG250530C00550000,2025-05-23 19:59:53+00:00,550.0,4.32,3.3,5.4,-1.73,-28.59504,11.0,24,0.34998208618164056,False,REGULAR,USD
ISRG250530C00552500,2025-05-23 19:19:15+00:00,552.5,3.49,0.6,5.3,3.49,,1.0,2,0.3773255627441406,False,REGULAR,USD
ISRG250530C00555000,2025-05-23 19:36:08+00:00,555.0,2.53,2.15,5.5,-2.0400002,-44.638954,42.0,13,0.41559422302246096,False,REGULAR,USD
ISRG250530C00557500,2025-05-23 18:03:33+00:00,557.5,2.24,1.25,3.0,2.24,,29.0,58,0.33386896606445315,False,REGULAR,USD
ISRG250530C00560000,2025-05-23 19:44:12+00:00,560.0,1.68,0.75,2.65,-1.2300001,-42.268044,81.0,143,0.34168138793945313,False,REGULAR,USD
ISRG250530C00562500,2025-05-23 19:32:35+00:00,562.5,1.12,0.8,1.9,1.12,,24.0,0,0.32434757690429683,False,REGULAR,USD
ISRG250530C00565000,2025-05-23 19:58:19+00:00,565.0,1.0,0.05,1.9,-0.89,-47.089947,12.0,96,0.3464420825195312,False,REGULAR,USD
ISRG250530C00567500,2025-05-23 17:15:20+00:00,567.5,0.8,0.0,1.35,0.8,,1.0,1,0.3315496533203125,False,REGULAR,USD
ISRG250530C00570000,2025-05-23 18:26:02+00:00,570.0,0.6,0.0,1.15,-0.37,-38.14433,6.0,44,0.33618827880859375,False,REGULAR,USD
ISRG250530C00575000,2025-05-22 13:34:50+00:00,575.0,1.0,0.0,0.65,0.0,0.0,2.0,41,0.3263006823730469,False,REGULAR,USD
ISRG250530C00577500,2025-05-21 17:26:22+00:00,577.5,1.19,0.0,4.6,1.19,,,2,0.6082802844238282,False,REGULAR,USD
ISRG250530C00580000,2025-05-22 16:08:51+00:00,580.0,0.6,0.05,4.0,0.0,0.0,1.0,40,0.5993692407226563,False,REGULAR,USD
ISRG250530C00582500,2025-05-20 19:57:22+00:00,582.5,1.49,0.0,4.5,1.49,,,31,0.5148974291992188,False,REGULAR,USD
ISRG250530C00585000,2025-05-22 15:10:24+00:00,585.0,0.45,0.0,0.35,0.0,0.0,17.0,30,0.348639326171875,False,REGULAR,USD
ISRG250530C00590000,2025-05-23 19:18:41+00:00,590.0,0.2,0.0,1.15,-0.24999999,-55.555553,1.0,6,0.48169463623046876,False,REGULAR,USD
ISRG250530C00595000,2025-05-20 13:59:01+00:00,595.0,0.7,0.0,4.3,0.0,0.0,2.0,402,0.6035195898437502,False,REGULAR,USD
ISRG250530C00600000,2025-05-19 16:07:15+00:00,600.0,0.73,0.0,3.2,0.0,0.0,3.0,17,0.5933878552246095,False,REGULAR,USD
ISRG250530C00605000,2025-05-19 15:50:10+00:00,605.0,0.5,0.0,0.5,0.0,0.0,7.0,10,0.4929249926757813,False,REGULAR,USD
ISRG250530C00610000,2025-05-19 17:21:27+00:00,610.0,0.75,0.0,4.3,0.0,0.0,5.0,4,0.7106962524414062,False,REGULAR,USD
ISRG250530C00615000,2025-05-19 16:02:56+00:00,615.0,0.25,0.0,4.3,0.25,,,2,0.7448755981445312,False,REGULAR,USD
ISRG250530C00660000,2025-04-23 18:53:14+00:00,660.0,0.48,0.0,2.65,0.0,0.0,1.0,0,0.9291999267578125,False,REGULAR,USD
