contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MAR250530C00200000,2025-04-30 19:30:02+00:00,200.0,39.27,56.7,58.9,0.0,0.0,,0,0.86914193359375,True,REGULAR,USD
MAR250530C00210000,2025-04-30 19:30:02+00:00,210.0,30.06,46.8,50.0,0.0,0.0,,0,1.0004932788085936,True,REGULAR,USD
MAR250530C00225000,2025-05-19 13:41:21+00:00,225.0,46.24,31.1,34.8,0.0,0.0,1.0,0,0.5839885351562499,True,REGULAR,USD
MAR250530C00230000,2025-05-22 17:36:39+00:00,230.0,31.0,26.2,29.4,0.0,0.0,10.0,0,0.8024922094726561,True,REGULAR,USD
MAR250530C00235000,2025-05-22 18:04:12+00:00,235.0,25.6,21.8,24.2,0.0,0.0,205.0,0,0.6660189648437502,True,REGULAR,USD
MAR250530C00240000,2025-05-23 13:46:08+00:00,240.0,17.0,17.0,20.0,-17.0,-50.0,1.0,1,0.6543003320312502,True,REGULAR,USD
MAR250530C00245000,2025-05-09 19:52:33+00:00,245.0,15.91,11.6,14.9,0.0,0.0,2.0,20,0.523442265625,True,REGULAR,USD
MAR250530C00247500,2025-05-23 19:10:06+00:00,247.5,11.96,10.4,12.3,11.96,,9.0,4,0.45178770874023444,True,REGULAR,USD
MAR250530C00250000,2025-05-21 18:53:21+00:00,250.0,12.35,8.6,10.8,0.0,0.0,1.0,12,0.47803256347656253,True,REGULAR,USD
MAR250530C00252500,2025-05-16 14:45:07+00:00,252.5,18.91,6.0,7.4,0.0,0.0,2.0,2,0.3303289624023437,True,REGULAR,USD
MAR250530C00255000,2025-05-23 19:34:07+00:00,255.0,5.5,5.2,6.7,-14.940001,-73.09198,1.0,48,0.3996642065429688,True,REGULAR,USD
MAR250530C00257500,2025-05-23 18:21:27+00:00,257.5,4.22,3.6,4.9,4.22,,10.0,0,0.36426416992187505,True,REGULAR,USD
MAR250530C00260000,2025-05-23 19:50:43+00:00,260.0,2.4,2.35,3.4,-1.7999997,-42.857136,17.0,59,0.3365544860839844,False,REGULAR,USD
MAR250530C00262500,2025-05-23 18:19:25+00:00,262.5,1.9,1.5,1.8,1.9,,5.0,6,0.2794261511230468,False,REGULAR,USD
MAR250530C00265000,2025-05-23 19:16:10+00:00,265.0,1.13,0.3,1.3,-7.87,-87.44444,10.0,5,0.29273168212890616,False,REGULAR,USD
MAR250530C00267500,2025-05-20 16:40:25+00:00,267.5,5.0,0.15,0.6,0.0,0.0,3.0,5,0.26319096191406255,False,REGULAR,USD
MAR250530C00270000,2025-05-23 19:58:59+00:00,270.0,0.3,0.2,0.35,-0.5,-62.5,37.0,24,0.2651440673828125,False,REGULAR,USD
MAR250530C00272500,2025-05-22 17:08:36+00:00,272.5,0.4,0.05,1.2,0.0,0.0,2.0,16,0.43164630859375,False,REGULAR,USD
MAR250530C00275000,2025-05-22 17:54:08+00:00,275.0,0.26,0.0,1.95,0.0,0.0,4.0,36,0.5654340332031251,False,REGULAR,USD
MAR250530C00277500,2025-05-23 14:52:02+00:00,277.5,0.15,0.0,1.95,-0.72,-82.75862,2.0,11,0.6126747717285157,False,REGULAR,USD
MAR250530C00280000,2025-05-22 18:33:42+00:00,280.0,0.11,0.0,1.15,0.0,0.0,1.0,16,0.5551802294921876,False,REGULAR,USD
MAR250530C00282500,2025-05-20 17:31:28+00:00,282.5,0.51,0.0,0.95,0.0,0.0,1.0,9,0.5649457568359376,False,REGULAR,USD
MAR250530C00285000,2025-05-21 15:38:43+00:00,285.0,0.13,0.0,0.75,0.0,0.0,1.0,5,0.5678754150390625,False,REGULAR,USD
MAR250530C00287500,2025-05-16 13:39:59+00:00,287.5,0.48,0.0,0.75,0.0,0.0,2.0,2,0.5180712255859375,False,REGULAR,USD
MAR250530C00310000,2025-05-19 16:35:23+00:00,310.0,0.03,0.0,0.75,0.03,,,2,0.7866232275390624,False,REGULAR,USD
