contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SILJ250530C00010500,2025-04-29 17:39:57+00:00,10.5,1.91,2.15,2.4,0.0,0.0,,0,1.1171919140625,True,REGULAR,USD
SILJ250530C00011000,2025-05-23 19:12:02+00:00,11.0,1.87,1.75,2.9,0.62,49.6,60.0,68,1.953125234375,True,REGULAR,USD
SILJ250530C00011500,2025-05-23 19:49:07+00:00,11.5,1.42,1.25,1.4,0.2299999,19.327723,4.0,116,0.710940390625,True,REGULAR,USD
SILJ250530C00012000,2025-05-23 13:34:45+00:00,12.0,0.77,0.8,0.95,0.16999996,28.333324,7.0,221,0.6250037500000001,True,REGULAR,USD
SILJ250530C00012500,2025-05-23 19:57:08+00:00,12.5,0.46,0.4,0.5,0.060000002,15.000001,121.0,829,0.46289599609375004,True,REGULAR,USD
SILJ250530C00013000,2025-05-23 19:26:09+00:00,13.0,0.17,0.15,0.25,0.030000001,21.428572,708.0,636,0.49023947265625006,False,REGULAR,USD
SILJ250530C00013500,2025-05-23 19:58:58+00:00,13.5,0.08,0.0,0.1,0.029999997,59.999996,108.0,175,0.49219257812500006,False,REGULAR,USD
SILJ250530C00014000,2025-05-23 16:37:45+00:00,14.0,0.05,0.0,0.1,-0.02,-28.571426,1.0,241,0.5468795312500001,False,REGULAR,USD
SILJ250530C00014500,2025-05-13 15:48:30+00:00,14.5,0.01,0.0,0.75,0.0,0.0,3.0,16,1.421877890625,False,REGULAR,USD
SILJ250530C00015000,2025-04-28 14:19:16+00:00,15.0,0.05,0.0,0.15,0.0,0.0,1.0,46,0.929688203125,False,REGULAR,USD
SILJ250530C00015500,2025-04-24 18:21:34+00:00,15.5,0.1,0.0,0.05,0.0,0.0,1.0,404,0.8437515624999999,False,REGULAR,USD
SILJ250530C00016000,2025-04-24 18:59:56+00:00,16.0,0.05,0.0,0.25,0.0,0.0,602.0,1919,1.3671906640625,False,REGULAR,USD
