contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
STZ250530C00175000,2025-05-15 14:54:43+00:00,175.0,14.25,8.1,11.2,0.0,0.0,2.0,3,0.5642133422851563,True,REGULAR,USD
STZ250530C00180000,2025-05-21 18:54:39+00:00,180.0,7.4,5.2,5.9,0.0,0.0,1.0,19,0.3454655297851562,True,REGULAR,USD
STZ250530C00182500,2025-05-22 16:17:34+00:00,182.5,4.2,3.5,4.2,0.0,0.0,5.0,5,0.3354558642578125,True,REGULAR,USD
STZ250530C00185000,2025-05-23 19:49:07+00:00,185.0,2.45,2.1,2.35,-0.5,-16.949154,37.0,43,0.278327529296875,False,REGULAR,USD
STZ250530C00187500,2025-05-23 19:14:52+00:00,187.5,1.55,1.15,1.3,-0.25,-13.888889,82.0,80,0.26807372558593745,False,REGULAR,USD
STZ250530C00190000,2025-05-23 19:58:02+00:00,190.0,0.63,0.55,0.65,-0.37,-37.0,317.0,211,0.26270268554687504,False,REGULAR,USD
STZ250530C00192500,2025-05-23 19:58:32+00:00,192.5,0.34,0.2,0.3,-0.21000001,-38.181816,55.0,252,0.2612378564453125,False,REGULAR,USD
STZ250530C00195000,2025-05-23 19:58:32+00:00,195.0,0.19,0.15,0.2,-0.110000014,-36.66667,27.0,326,0.2880930566406249,False,REGULAR,USD
STZ250530C00197500,2025-05-23 19:59:45+00:00,197.5,0.13,0.05,0.2,-0.050000012,-27.777782,6.0,118,0.33789724609375,False,REGULAR,USD
STZ250530C00200000,2025-05-23 19:48:11+00:00,200.0,0.1,0.05,0.15,0.0,0.0,302.0,5739,0.36426416992187505,False,REGULAR,USD
STZ250530C00202500,2025-05-21 17:59:16+00:00,202.5,0.19,0.0,0.75,0.0,0.0,5.0,38,0.58789474609375,False,REGULAR,USD
STZ250530C00205000,2025-05-23 18:22:45+00:00,205.0,0.06,0.05,0.15,0.009999998,19.999996,6.0,124,0.45117736328125,False,REGULAR,USD
STZ250530C00207500,2025-05-19 17:26:43+00:00,207.5,0.38,0.0,0.2,0.0,0.0,2.0,5,0.5195360546875,False,REGULAR,USD
STZ250530C00210000,2025-05-23 19:48:16+00:00,210.0,0.05,0.0,0.5,-0.15,-75.0,1.0,28,0.584965087890625,False,REGULAR,USD
STZ250530C00215000,2025-04-23 14:24:23+00:00,215.0,0.44,0.0,1.3,0.0,0.0,,1,0.813478427734375,False,REGULAR,USD
STZ250530C00220000,2025-05-16 13:33:21+00:00,220.0,0.2,0.0,0.75,0.0,0.0,1.0,9,0.80664255859375,False,REGULAR,USD
