contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ULTA250530C00350000,2025-04-25 14:30:57+00:00,350.0,42.7,54.1,62.0,0.0,0.0,1.0,3,0.7680687255859376,True,REGULAR,USD
ULTA250530C00360000,2025-04-28 15:27:53+00:00,360.0,32.15,46.7,52.9,0.0,0.0,2.0,4,0.8547377807617188,True,REGULAR,USD
ULTA250530C00365000,2025-05-12 13:48:48+00:00,365.0,54.58,40.1,48.5,0.0,0.0,8.0,10,0.7385280053710936,True,REGULAR,USD
ULTA250530C00370000,2025-05-19 15:09:28+00:00,370.0,44.7,35.9,44.1,0.0,0.0,1.0,2,0.7338893798828124,True,REGULAR,USD
ULTA250530C00375000,2025-04-29 19:03:55+00:00,375.0,29.2,32.4,40.0,0.0,0.0,5.0,8,0.7536645727539062,True,REGULAR,USD
ULTA250530C00377500,2025-05-23 17:20:49+00:00,377.5,32.97,31.8,37.7,32.97,,2.0,0,0.7867452966308592,True,REGULAR,USD
ULTA250530C00380000,2025-05-21 17:21:35+00:00,380.0,33.48,28.1,36.2,0.0,0.0,10.0,13,0.7399928344726561,True,REGULAR,USD
ULTA250530C00385000,2025-05-19 13:30:10+00:00,385.0,29.75,25.4,31.8,0.0,0.0,1.0,2,0.7453638745117188,True,REGULAR,USD
ULTA250530C00387500,2025-05-23 14:52:29+00:00,387.5,26.3,22.4,30.1,26.3,,2.0,1,0.7102079760742188,True,REGULAR,USD
ULTA250530C00390000,2025-05-23 17:02:12+00:00,390.0,24.3,20.8,29.2,-3.5600014,-12.778181,4.0,78,0.73437765625,True,REGULAR,USD
ULTA250530C00392500,2025-05-22 14:27:15+00:00,392.5,25.65,20.4,25.8,25.65,,,1,0.7192410888671875,True,REGULAR,USD
ULTA250530C00395000,2025-05-23 17:40:40+00:00,395.0,20.92,17.4,25.9,-3.1200008,-12.978372,5.0,87,0.7247341979980468,True,REGULAR,USD
ULTA250530C00400000,2025-05-23 17:40:40+00:00,400.0,18.65,15.7,19.7,-2.8999996,-13.457075,3.0,145,0.6735262139892579,True,REGULAR,USD
ULTA250530C00402500,2025-05-23 14:37:13+00:00,402.5,17.27,13.0,20.4,-3.2999992,-16.042778,10.0,12,0.6916534741210938,True,REGULAR,USD
ULTA250530C00405000,2025-05-23 18:58:16+00:00,405.0,15.51,13.2,17.5,-1.3699989,-8.116108,7.0,45,0.6890900231933594,True,REGULAR,USD
ULTA250530C00407500,2025-05-23 14:25:18+00:00,407.5,14.8,13.2,18.9,-0.19999981,-1.3333321,3.0,5,0.7817404638671875,False,REGULAR,USD
ULTA250530C00410000,2025-05-23 19:12:43+00:00,410.0,13.08,12.1,14.3,-2.7200003,-17.21519,9.0,45,0.7004424487304688,False,REGULAR,USD
ULTA250530C00412500,2025-05-23 19:12:43+00:00,412.5,12.13,7.5,16.5,-1.6700001,-12.10145,3.0,7,0.6952545123291016,False,REGULAR,USD
ULTA250530C00415000,2025-05-23 18:52:45+00:00,415.0,11.0,6.9,11.6,-2.4300003,-18.09382,2.0,45,0.6108437353515627,False,REGULAR,USD
ULTA250530C00417500,2025-05-23 19:09:51+00:00,417.5,9.75,6.8,13.7,9.75,,2.0,6,0.7067900415039063,False,REGULAR,USD
ULTA250530C00420000,2025-05-23 19:09:51+00:00,420.0,8.5,4.9,13.3,-2.6800003,-23.971378,5.0,82,0.6942169250488281,False,REGULAR,USD
ULTA250530C00422500,2025-05-20 15:27:43+00:00,422.5,14.5,4.0,11.9,14.5,,,16,0.6779817358398439,False,REGULAR,USD
ULTA250530C00425000,2025-05-23 19:59:47+00:00,425.0,7.05,5.8,8.1,-1.1999998,-14.545452,4.0,66,0.6654696539306644,False,REGULAR,USD
ULTA250530C00427500,2025-05-23 19:28:37+00:00,427.5,6.45,2.4,8.5,6.45,,3.0,1,0.6206092626953126,False,REGULAR,USD
ULTA250530C00430000,2025-05-23 19:28:37+00:00,430.0,5.95,1.8,8.1,-0.35000038,-5.5555615,7.0,21,0.6272009936523439,False,REGULAR,USD
ULTA250530C00432500,2025-05-23 15:43:33+00:00,432.5,5.33,2.3,9.5,5.33,,2.0,0,0.7175321215820312,False,REGULAR,USD
ULTA250530C00435000,2025-05-23 18:23:04+00:00,435.0,3.95,1.8,5.1,-1.9999998,-33.61344,3.0,19,0.5985147570800782,False,REGULAR,USD
ULTA250530C00437500,2025-05-23 19:26:01+00:00,437.5,3.91,0.05,7.1,3.91,,1.0,1,0.637698935546875,False,REGULAR,USD
ULTA250530C00440000,2025-05-23 19:44:50+00:00,440.0,3.7,2.9,5.0,-0.70000005,-15.909092,7.0,58,0.6936065795898438,False,REGULAR,USD
ULTA250530C00442500,2025-05-23 15:49:59+00:00,442.5,3.4,0.4,4.9,3.4,,5.0,1,0.6281775463867189,False,REGULAR,USD
ULTA250530C00445000,2025-05-19 17:50:34+00:00,445.0,4.33,0.05,7.1,0.0,0.0,7.0,66,0.7263210961914062,False,REGULAR,USD
ULTA250530C00447500,2025-05-22 18:54:11+00:00,447.5,3.38,0.1,6.7,3.38,,,1,0.7415797326660156,False,REGULAR,USD
ULTA250530C00450000,2025-05-23 19:44:54+00:00,450.0,1.95,0.0,4.4,-1.1499999,-37.09677,6.0,56,0.6699251757812501,False,REGULAR,USD
ULTA250530C00452500,2025-05-22 18:54:11+00:00,452.5,2.68,0.05,5.0,2.68,,,2,0.724490059814453,False,REGULAR,USD
ULTA250530C00455000,2025-05-23 19:36:52+00:00,455.0,3.06,0.0,4.8,-0.29999995,-8.92857,6.0,53,0.7387721435546875,False,REGULAR,USD
ULTA250530C00457500,2025-05-23 19:38:11+00:00,457.5,1.25,0.0,4.8,1.25,,10.0,1,0.76367423828125,False,REGULAR,USD
ULTA250530C00460000,2025-05-19 17:22:12+00:00,460.0,2.24,0.0,4.8,0.0,0.0,4.0,8,0.7882101257324219,False,REGULAR,USD
ULTA250530C00462500,2025-05-23 18:43:11+00:00,462.5,1.0,0.0,4.8,1.0,,2.0,0,0.8125018749999999,False,REGULAR,USD
ULTA250530C00465000,2025-05-23 14:11:53+00:00,465.0,1.3,0.0,2.3,-0.17000008,-11.564631,1.0,8,0.6948272705078126,False,REGULAR,USD
ULTA250530C00467500,2025-05-20 14:14:14+00:00,467.5,2.0,0.25,5.0,2.0,,,2,0.8818371191406249,False,REGULAR,USD
ULTA250530C00470000,2025-05-20 15:34:38+00:00,470.0,2.0,0.0,4.8,0.0,0.0,2.0,20,0.8833019482421874,False,REGULAR,USD
ULTA250530C00475000,2025-05-22 17:39:24+00:00,475.0,0.88,0.0,4.7,0.0,0.0,4.0,11,0.9238288867187501,False,REGULAR,USD
ULTA250530C00480000,2025-05-19 17:44:01+00:00,480.0,0.78,0.0,4.6,0.0,0.0,2.0,7,0.96289099609375,False,REGULAR,USD
ULTA250530C00485000,2025-05-20 14:56:11+00:00,485.0,1.01,0.0,0.75,0.0,0.0,2.0,7,0.6972686523437501,False,REGULAR,USD
ULTA250530C00495000,2025-05-23 19:22:15+00:00,495.0,0.1,0.0,0.5,-0.1,-50.0,30.0,12,0.7187528125,False,REGULAR,USD
