contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
VRTX250530C00290000,2025-05-15 14:54:27+00:00,290.0,137.5,142.0,150.4,0.0,0.0,1.0,0,1.3574250878906249,True,REGULAR,USD
VRTX250530C00350000,2025-04-16 14:13:32+00:00,350.0,142.2,85.4,93.4,0.0,0.0,,1,1.3637727124023438,True,REGULAR,USD
VRTX250530C00365000,2025-05-07 16:13:07+00:00,365.0,70.0,67.2,73.3,0.0,0.0,,10,1.045414929199219,True,REGULAR,USD
VRTX250530C00400000,2025-05-12 16:05:03+00:00,400.0,38.85,32.6,39.6,0.0,0.0,5.0,10,0.7172879833984375,True,REGULAR,USD
VRTX250530C00410000,2025-05-16 13:33:05+00:00,410.0,25.14,23.1,29.9,0.0,0.0,1.0,5,0.5991251025390626,True,REGULAR,USD
VRTX250530C00420000,2025-05-14 19:47:27+00:00,420.0,12.2,13.4,20.9,0.0,0.0,3.0,2,0.5079394909667969,True,REGULAR,USD
VRTX250530C00425000,2025-05-19 13:48:43+00:00,425.0,17.39,8.6,16.7,0.0,0.0,1.0,7,0.46680220703125,True,REGULAR,USD
VRTX250530C00427500,2025-05-23 16:38:59+00:00,427.5,11.1,8.9,12.0,-0.39999962,-3.4782577,2.0,2,0.31415480773925775,True,REGULAR,USD
VRTX250530C00430000,2025-05-23 19:24:01+00:00,430.0,9.25,8.0,10.0,-0.25,-2.631579,21.0,9,0.29657685852050775,True,REGULAR,USD
VRTX250530C00432500,2025-05-23 16:19:42+00:00,432.5,6.8,6.3,8.6,-6.0,-46.875,25.0,2,0.30188686401367193,True,REGULAR,USD
VRTX250530C00435000,2025-05-23 19:52:00+00:00,435.0,6.18,5.9,7.6,-4.82,-43.818184,34.0,11,0.3182441223144531,True,REGULAR,USD
VRTX250530C00437500,2025-05-23 19:57:42+00:00,437.5,4.8,3.4,5.4,-0.19999981,-3.9999962,173.0,5,0.27399407653808594,False,REGULAR,USD
VRTX250530C00440000,2025-05-23 19:27:55+00:00,440.0,3.7,3.0,4.0,0.35000014,10.447766,9.0,94,0.2580640600585938,False,REGULAR,USD
VRTX250530C00442500,2025-05-23 19:18:52+00:00,442.5,2.96,2.1,3.0,-0.13999987,-4.5161247,11.0,8,0.25220474365234374,False,REGULAR,USD
VRTX250530C00445000,2025-05-23 19:59:31+00:00,445.0,1.9,1.9,2.5,-0.90999997,-32.384342,19.0,25,0.2640454455566406,False,REGULAR,USD
VRTX250530C00447500,2025-05-21 16:18:49+00:00,447.5,4.4,0.0,4.8,0.0,0.0,1.0,2,0.41870698486328123,False,REGULAR,USD
VRTX250530C00450000,2025-05-23 19:30:45+00:00,450.0,1.15,1.0,1.5,-0.65999997,-36.46409,6.0,42,0.26978269287109374,False,REGULAR,USD
VRTX250530C00455000,2025-05-23 19:28:07+00:00,455.0,0.7,0.6,0.8,-0.34999996,-33.333332,1.0,80,0.2690502783203125,False,REGULAR,USD
VRTX250530C00460000,2025-05-22 19:53:32+00:00,460.0,0.77,0.2,0.55,0.0,0.0,5.0,44,0.2890696093749999,False,REGULAR,USD
VRTX250530C00465000,2025-05-20 19:54:50+00:00,465.0,2.4,0.0,4.5,0.0,0.0,20.0,26,0.6364782446289063,False,REGULAR,USD
VRTX250530C00470000,2025-05-23 19:59:07+00:00,470.0,0.4,0.1,0.4,-0.15,-27.272728,2.0,21,0.3505924316406249,False,REGULAR,USD
VRTX250530C00475000,2025-05-20 19:41:52+00:00,475.0,1.0,0.0,4.5,0.0,0.0,10.0,11,0.5930216479492189,False,REGULAR,USD
VRTX250530C00480000,2025-05-21 13:30:02+00:00,480.0,0.7,0.0,1.0,0.0,0.0,1.0,4,0.5178270874023438,False,REGULAR,USD
VRTX250530C00485000,2025-05-12 19:59:31+00:00,485.0,0.89,0.0,4.4,0.0,0.0,,2,0.6844513977050781,False,REGULAR,USD
VRTX250530C00490000,2025-05-20 14:48:15+00:00,490.0,0.3,0.0,4.4,0.0,0.0,1.0,4,0.7302273071289063,False,REGULAR,USD
VRTX250530C00495000,2025-05-12 18:49:13+00:00,495.0,0.41,0.0,3.2,0.0,0.0,1.0,3,0.7133817724609376,False,REGULAR,USD
VRTX250530C00500000,2025-05-16 19:22:51+00:00,500.0,0.56,0.0,4.4,0.0,0.0,2.0,9,0.818117053222656,False,REGULAR,USD
VRTX250530C00505000,2025-05-22 16:04:51+00:00,505.0,0.14,0.1,2.4,0.0,0.0,4.0,8,0.7514673291015624,False,REGULAR,USD
VRTX250530C00510000,2025-05-05 19:48:17+00:00,510.0,15.4,0.0,3.2,0.0,0.0,,1,0.834718449707031,False,REGULAR,USD
VRTX250530C00515000,2025-05-06 13:43:06+00:00,515.0,2.05,0.0,3.2,0.0,0.0,,0,0.8735364208984374,False,REGULAR,USD
VRTX250530C00520000,2025-05-22 16:36:32+00:00,520.0,0.05,0.0,3.2,0.0,0.0,83.0,2,0.9113778393554688,False,REGULAR,USD
VRTX250530C00525000,2025-04-14 16:46:51+00:00,525.0,11.1,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
VRTX250530C00530000,2025-05-05 14:34:23+00:00,530.0,7.22,0.0,3.2,0.0,0.0,1.0,1,0.9851075708007813,False,REGULAR,USD
VRTX250530C00540000,2025-05-05 18:24:36+00:00,540.0,4.92,0.0,4.3,0.0,0.0,1.0,9,1.1276899084472656,False,REGULAR,USD
VRTX250530C00545000,2025-05-09 18:44:32+00:00,545.0,0.4,0.0,4.3,0.0,0.0,3.0,1,1.1638225402832032,False,REGULAR,USD
VRTX250530C00555000,2025-04-23 18:26:58+00:00,555.0,2.3,0.0,4.3,0.0,0.0,,1,1.2343788281249999,False,REGULAR,USD
VRTX250530C00575000,2025-04-28 13:30:04+00:00,575.0,0.8,0.0,4.3,0.0,0.0,1.0,3,1.3686555004882814,False,REGULAR,USD
