contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
XLI250530C00122000,2025-04-22 13:43:42+00:00,122.0,5.4,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
XLI250530C00123000,2025-04-22 15:58:47+00:00,123.0,5.15,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
XLI250530C00123500,2025-04-22 15:58:47+00:00,123.5,4.85,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
XLI250530C00124000,2025-04-22 14:09:00+00:00,124.0,3.99,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
XLI250530C00125000,2025-05-06 13:44:29+00:00,125.0,9.68,13.4,18.4,0.0,0.0,3.0,7,1.2021524267578125,True,REGULAR,USD
XLI250530C00125500,2025-05-05 17:46:27+00:00,125.5,10.57,12.95,17.9,0.0,0.0,5.0,0,1.1777384863281248,True,REGULAR,USD
XLI250530C00126000,2025-05-23 19:55:02+00:00,126.0,14.92,10.65,15.6,-1.3799992,-8.466252,8.0,64,0.7460962890625,True,REGULAR,USD
XLI250530C00126500,2025-04-23 15:47:00+00:00,126.5,4.65,12.05,17.0,0.0,0.0,,30,0.51562984375,True,REGULAR,USD
XLI250530C00127000,2025-05-01 13:47:35+00:00,127.0,6.82,12.1,17.05,0.0,0.0,1.0,17,0.7006865869140625,True,REGULAR,USD
XLI250530C00127500,2025-04-25 13:58:35+00:00,127.5,4.7,11.15,16.1,0.0,0.0,1.0,1,0.532231240234375,True,REGULAR,USD
XLI250530C00128000,2025-05-21 16:45:29+00:00,128.0,15.28,11.1,16.05,0.0,0.0,2.0,7,0.6626010302734376,True,REGULAR,USD
XLI250530C00128500,2025-04-30 13:52:14+00:00,128.5,3.6,10.1,15.05,0.0,0.0,,4,1.059086735839844,True,REGULAR,USD
XLI250530C00129000,2025-04-21 17:29:32+00:00,129.0,1.4,12.45,13.05,0.0,0.0,,83,0.6684603466796877,True,REGULAR,USD
XLI250530C00129500,2025-05-06 14:09:02+00:00,129.5,5.85,8.0,12.9,0.0,0.0,,4,0.7915059912109376,True,REGULAR,USD
XLI250530C00130000,2025-05-06 13:31:31+00:00,130.0,5.4,8.55,13.4,0.0,0.0,11.0,24,0.9575199560546874,True,REGULAR,USD
XLI250530C00130500,2025-05-16 20:01:16+00:00,130.5,13.35,6.85,11.7,0.0,0.0,1.0,1,0.7060576269531251,True,REGULAR,USD
XLI250530C00131000,2025-05-19 15:46:03+00:00,131.0,13.18,7.35,12.25,0.0,0.0,1.0,6,0.8811047045898437,True,REGULAR,USD
XLI250530C00132000,2025-05-19 15:07:52+00:00,132.0,11.95,6.4,11.25,0.0,0.0,1.0,76,0.8313005151367187,True,REGULAR,USD
XLI250530C00133000,2025-05-23 19:55:02+00:00,133.0,7.93,5.4,10.3,0.17999983,2.3225784,7.0,1270,0.7895528857421875,True,REGULAR,USD
XLI250530C00134000,2025-05-09 14:14:23+00:00,134.0,3.8,4.6,9.5,0.0,0.0,1.0,719,0.770510107421875,True,REGULAR,USD
XLI250530C00134500,2025-05-12 13:50:05+00:00,134.5,5.9,4.2,9.1,0.0,0.0,,1,0.7602563037109377,True,REGULAR,USD
XLI250530C00135000,2025-05-22 17:50:21+00:00,135.0,6.92,3.6,8.45,0.0,0.0,1.0,37,0.7097196997070312,True,REGULAR,USD
XLI250530C00135500,2025-05-15 18:07:38+00:00,135.5,7.0,3.05,7.95,0.0,0.0,,2,0.6828644995117189,True,REGULAR,USD
XLI250530C00136000,2025-05-21 17:15:43+00:00,136.0,7.14,2.71,7.65,0.0,0.0,5.0,40,0.6865265722656251,True,REGULAR,USD
XLI250530C00136500,2025-05-15 18:31:27+00:00,136.5,6.25,2.36,7.3,0.0,0.0,,7,0.6811555322265627,True,REGULAR,USD
XLI250530C00137000,2025-05-23 18:49:36+00:00,137.0,4.6,3.9,8.55,-0.52,-10.15625,3.0,60108,0.5664105859375,True,REGULAR,USD
XLI250530C00138000,2025-05-20 17:08:22+00:00,138.0,6.45,1.16,6.1,0.0,0.0,20.0,1328,0.637698935546875,True,REGULAR,USD
XLI250530C00139000,2025-05-23 16:39:13+00:00,139.0,2.64,0.76,5.65,-0.78,-22.807016,39.0,76,0.6538120556640626,True,REGULAR,USD
XLI250530C00140000,2025-05-23 18:51:49+00:00,140.0,2.09,0.0,4.8,-0.11000013,-5.000006,16.0,41,0.6088906298828126,True,REGULAR,USD
XLI250530C00141000,2025-05-23 19:11:28+00:00,141.0,1.28,0.0,4.8,-0.93000007,-42.08145,60.0,543,0.6779817358398439,False,REGULAR,USD
XLI250530C00142000,2025-05-23 19:54:02+00:00,142.0,0.82,0.05,1.7,-0.63000005,-43.448277,142.0,40043,0.3090889404296875,False,REGULAR,USD
XLI250530C00143000,2025-05-23 19:52:41+00:00,143.0,0.48,0.0,4.8,-0.56999993,-54.28571,4.0,85,0.8022480712890624,False,REGULAR,USD
XLI250530C00144000,2025-05-22 19:20:07+00:00,144.0,0.28,0.01,5.0,-0.34,-54.83871,4.0,2033,0.5336960693359375,False,REGULAR,USD
XLI250530C00145000,2025-05-23 19:20:21+00:00,145.0,0.22,0.0,0.15,-0.099999994,-31.25,1.0,6401,0.17627776855468752,False,REGULAR,USD
XLI250530C00146000,2025-05-23 19:20:21+00:00,146.0,0.15,0.0,4.8,-0.059999987,-28.571424,1.0,4672,0.6167030517578126,False,REGULAR,USD
XLI250530C00149000,2025-05-20 19:21:03+00:00,149.0,0.1,0.0,4.8,0.0,0.0,377.0,5885,0.7500025,False,REGULAR,USD
