,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BKNG270115C02100000,2024-12-31 20:10:20+00:00,2100.0,3093.83,2857.3,2882.3,0.0,0.0,1.0,1,0.4983646965789795,True,REGULAR,USD
1,BKNG270115C02160000,2024-10-31 16:08:16+00:00,2160.0,2782.0,3236.0,3256.0,0.0,0.0,,1,1.0468893023204804,True,REGULAR,USD
2,BKNG270115C02200000,2025-07-11 16:53:18+00:00,2200.0,3616.85,3428.0,3468.0,0.0,0.0,1.0,1,1.2819554945373535,True,REGULAR,USD
3,BKNG270115C02400000,2025-02-06 15:36:49+00:00,2400.0,2646.2,2464.0,2496.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
4,BKNG270115C02500000,2025-02-06 15:36:49+00:00,2500.0,2562.2,2380.0,2412.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
5,BKNG270115C03000000,2025-02-21 17:42:24+00:00,3000.0,2449.8,2068.0,2104.0,0.0,0.0,1.0,0,0.4643303079223633,True,REGULAR,USD
6,BKNG270115C03100000,2025-02-21 14:43:50+00:00,3100.0,2321.0,1988.0,2024.0,0.0,0.0,1.0,1,0.4604031163597107,True,REGULAR,USD
7,BKNG270115C03200000,2025-01-17 16:59:33+00:00,3200.0,2099.8,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
8,BKNG270115C03300000,2025-09-09 19:59:07+00:00,3300.0,2468.2,0.0,0.0,0.0,0.0,52.0,50,1.0000000000000003e-05,True,REGULAR,USD
9,BKNG270115C03400000,2025-02-21 18:00:09+00:00,3400.0,2061.9,1760.0,1796.0,0.0,0.0,1.0,1,0.451194529247284,True,REGULAR,USD
10,BKNG270115C03700000,2025-10-01 18:08:10+00:00,3700.0,1927.14,1528.0,1564.0,0.0,0.0,1.0,0,0.4295978366470337,True,REGULAR,USD
11,BKNG270115C03780000,2025-04-04 13:51:10+00:00,3780.0,1259.58,1884.0,1924.0,0.0,0.0,6.0,2,0.6714586687469483,True,REGULAR,USD
12,BKNG270115C03790000,2025-04-30 13:34:41+00:00,3790.0,1612.0,2108.0,2148.0,0.0,0.0,,1,0.8108672935676574,True,REGULAR,USD
13,BKNG270115C03800000,2025-10-16 17:48:16+00:00,3800.0,1531.59,1452.0,1488.0,0.0,0.0,19.0,22,0.4218197467041016,True,REGULAR,USD
14,BKNG270115C03810000,2025-10-23 18:47:20+00:00,3810.0,1629.7,1444.0,1480.0,0.0,0.0,22.0,1,0.4207487811565399,True,REGULAR,USD
15,BKNG270115C03820000,2025-10-23 17:31:54+00:00,3820.0,1656.95,1436.0,1472.0,0.0,0.0,,20,0.4196720936203003,True,REGULAR,USD
16,BKNG270115C03840000,2025-04-09 17:36:09+00:00,3840.0,1336.0,1716.0,1756.0,0.0,0.0,1.0,7,0.5886214386558533,True,REGULAR,USD
17,BKNG270115C03850000,2025-03-24 14:33:11+00:00,3850.0,1388.0,1528.0,1564.0,0.0,0.0,6.0,6,0.48810993920326234,True,REGULAR,USD
18,BKNG270115C03880000,2024-09-26 16:35:59+00:00,3880.0,1093.0,1176.3,1201.3,0.0,0.0,1.0,0,0.2643525256156921,True,REGULAR,USD
19,BKNG270115C03900000,2025-09-26 14:50:32+00:00,3900.0,1910.31,0.0,0.0,0.0,0.0,4.0,6,1.0000000000000003e-05,True,REGULAR,USD
20,BKNG270115C03920000,2025-04-03 17:42:10+00:00,3920.0,1221.8,1760.0,1800.0,0.0,0.0,1.0,1,0.6389329777717591,True,REGULAR,USD
21,BKNG270115C03960000,2024-10-18 19:13:13+00:00,3960.0,1145.0,1613.2,1638.2,0.0,0.0,6.0,6,0.5607152998733521,True,REGULAR,USD
22,BKNG270115C03970000,2024-10-18 19:13:13+00:00,3970.0,1138.8,1604.5,1629.5,0.0,0.0,6.0,6,0.5586935305404663,True,REGULAR,USD
23,BKNG270115C04000000,2025-10-30 19:35:01+00:00,4000.0,1470.1,1304.0,1344.0,0.0,0.0,1.0,4,0.4090234726905822,True,REGULAR,USD
