,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA250905C00050000,2025-08-22 17:33:28+00:00,50.0,128.15,130.4,132.2,0.0,0.0,4.0,217,4.310551486816405,True,REGULAR,USD
1,NVDA250905C00060000,2025-08-25 16:56:58+00:00,60.0,121.2,120.35,121.35,8.029999,7.095519,1.0,47,3.474610688476563,True,REGULAR,USD
2,NVDA250905C00075000,2025-08-25 15:43:49+00:00,75.0,106.42,104.9,106.8,3.949997,3.8547838,15.0,10,2.8232451293945315,True,REGULAR,USD
3,NVDA250905C00080000,2025-08-22 14:22:23+00:00,80.0,96.86,99.95,101.4,0.0,0.0,1.0,2,2.5439489526367183,True,REGULAR,USD
4,NVDA250905C00085000,2025-08-22 14:22:23+00:00,85.0,91.93,94.9,96.95,0.0,0.0,1.0,48,2.4941443896484374,True,REGULAR,USD
5,NVDA250905C00090000,2025-08-22 18:11:14+00:00,90.0,89.5,90.4,91.1,1.2099991,1.3704826,2.0,59,2.249027814941406,True,REGULAR,USD
6,NVDA250905C00100000,2025-08-22 16:14:46+00:00,100.0,80.8,80.15,81.35,3.380005,4.3658032,4.0,4071,1.9472658886718752,True,REGULAR,USD
7,NVDA250905C00105000,2025-08-25 13:34:16+00:00,105.0,76.54,75.5,76.35,3.1699982,4.3205643,2.0,78,1.873047509765625,True,REGULAR,USD
8,NVDA250905C00110000,2025-08-25 15:20:08+00:00,110.0,71.25,68.6,71.1,3.0999985,4.548787,7.0,123,1.0468797656250002,True,REGULAR,USD
9,NVDA250905C00115000,2025-08-25 18:07:44+00:00,115.0,66.3,63.95,66.7,2.9800034,4.7062593,28.0,24,1.3730500097656249,True,REGULAR,USD
10,NVDA250905C00120000,2025-08-25 15:30:53+00:00,120.0,61.39,60.3,61.4,3.2000008,5.499228,246.0,209,1.453127734375,True,REGULAR,USD
11,NVDA250905C00125000,2025-08-25 18:22:21+00:00,125.0,56.73,55.25,56.15,4.239998,8.077724,13.0,208,1.2861363818359375,True,REGULAR,USD
12,NVDA250905C00130000,2025-08-25 18:46:09+00:00,130.0,51.47,49.95,51.2,3.7600021,7.880952,254.0,106,1.133305114746094,True,REGULAR,USD
13,NVDA250905C00135000,2025-08-25 18:07:25+00:00,135.0,46.51,45.6,46.3,3.199997,7.3885865,25.0,265,1.123051259765625,True,REGULAR,USD
14,NVDA250905C00140000,2025-08-25 19:52:42+00:00,140.0,41.1,40.65,41.2,2.4399986,6.3114295,285.0,254,1.003422951660156,True,REGULAR,USD
15,NVDA250905C00145000,2025-08-25 18:36:13+00:00,145.0,36.8,35.3,36.95,2.8099976,8.26713,19.0,339,0.9326178613281251,True,REGULAR,USD
16,NVDA250905C00150000,2025-08-25 19:51:00+00:00,150.0,31.5,30.0,31.4,2.6000004,8.996541,185.0,4020,0.7382838671874999,True,REGULAR,USD
17,NVDA250905C00155000,2025-08-25 19:36:48+00:00,155.0,26.98,26.4,26.55,2.8999996,12.043188,152.0,612,0.7624535473632813,True,REGULAR,USD
18,NVDA250905C00157500,2025-08-25 18:40:13+00:00,157.5,24.87,23.85,24.35,3.0700016,14.082577,113.0,218,0.7216824707031251,True,REGULAR,USD
19,NVDA250905C00160000,2025-08-25 19:50:20+00:00,160.0,22.2,21.85,22.0,2.5500011,12.977106,1140.0,1277,0.7038603833007813,True,REGULAR,USD
20,NVDA250905C00162500,2025-08-25 19:31:38+00:00,162.5,20.0,19.6,19.7,2.3500004,13.314449,574.0,280,0.6687044848632814,True,REGULAR,USD
21,NVDA250905C00165000,2025-08-25 19:51:41+00:00,165.0,17.74,17.55,17.65,2.1899996,14.083598,1270.0,1808,0.6535679174804689,True,REGULAR,USD
22,NVDA250905C00167500,2025-08-25 19:49:22+00:00,167.5,16.0,15.45,15.55,2.25,16.363636,824.0,890,0.6262244409179689,True,REGULAR,USD
23,NVDA250905C00170000,2025-08-25 19:54:10+00:00,170.0,13.6,13.6,13.7,1.6500006,13.807537,2867.0,5672,0.6154823608398439,True,REGULAR,USD
24,NVDA250905C00172500,2025-08-25 19:51:46+00:00,172.5,12.0,11.75,11.8,1.6499996,15.942025,1788.0,1739,0.5939982006835938,True,REGULAR,USD
25,NVDA250905C00175000,2025-08-25 19:53:45+00:00,175.0,10.2,10.15,10.2,1.3999996,15.891028,4181.0,11082,0.5867961242675781,True,REGULAR,USD
26,NVDA250905C00177500,2025-08-25 19:52:43+00:00,177.5,8.72,8.65,8.75,1.3200002,17.83784,3733.0,2849,0.5797161169433593,True,REGULAR,USD
27,NVDA250905C00180000,2025-08-25 19:53:38+00:00,180.0,7.3,7.25,7.3,1.1600003,18.892513,20608.0,21032,0.5665326550292968,False,REGULAR,USD
28,NVDA250905C00182500,2025-08-25 19:54:40+00:00,182.5,6.1,6.05,6.1,1.0299997,20.355724,14359.0,4396,0.56055126953125,False,REGULAR,USD
29,NVDA250905C00185000,2025-08-25 19:51:36+00:00,185.0,5.05,4.95,5.0,0.9500003,23.17074,9871.0,14302,0.551762294921875,False,REGULAR,USD
30,NVDA250905C00187500,2025-08-25 19:53:18+00:00,187.5,4.05,4.0,4.1,0.75000024,23.076931,2611.0,1715,0.5463912548828126,False,REGULAR,USD
31,NVDA250905C00190000,2025-08-25 19:54:40+00:00,190.0,3.22,3.2,3.25,0.60000014,23.07693,10371.0,20954,0.5388229711914063,False,REGULAR,USD
32,NVDA250905C00192500,2025-08-25 19:53:30+00:00,192.5,2.53,2.53,2.55,0.48000002,23.076923,2669.0,2055,0.5327195166015625,False,REGULAR,USD
33,NVDA250905C00195000,2025-08-25 19:54:00+00:00,195.0,1.98,1.97,1.99,0.38,23.75,9907.0,9696,0.5279588220214844,False,REGULAR,USD
34,NVDA250905C00197500,2025-08-25 19:50:56+00:00,197.5,1.58,1.54,1.56,0.32000005,25.396828,1184.0,1429,0.5268602001953125,False,REGULAR,USD
35,NVDA250905C00200000,2025-08-25 19:53:51+00:00,200.0,1.21,1.2,1.21,0.21000004,21.212126,14378.0,23750,0.526371923828125,False,REGULAR,USD
36,NVDA250905C00202500,2025-08-25 19:49:09+00:00,202.5,1.0,0.93,0.94,0.19999999,24.999998,1932.0,2664,0.5271043383789062,False,REGULAR,USD
37,NVDA250905C00205000,2025-08-25 19:51:23+00:00,205.0,0.73,0.71,0.72,0.100000024,15.873019,1605.0,5412,0.5271043383789062,False,REGULAR,USD
38,NVDA250905C00210000,2025-08-25 19:53:00+00:00,210.0,0.45,0.45,0.46,0.03999999,9.756095,3316.0,6833,0.5395553857421876,False,REGULAR,USD
39,NVDA250905C00215000,2025-08-25 19:50:58+00:00,215.0,0.29,0.27,0.28,0.00999999,3.5714252,600.0,2806,0.5463912548828126,False,REGULAR,USD
40,NVDA250905C00220000,2025-08-25 19:50:58+00:00,220.0,0.19,0.19,0.2,-0.010000005,-4.7619066,847.0,2419,0.56836369140625,False,REGULAR,USD
41,NVDA250905C00225000,2025-08-25 19:53:00+00:00,225.0,0.14,0.12,0.13,-0.019999996,-12.499997,1257.0,2947,0.5800823242187501,False,REGULAR,USD
42,NVDA250905C00230000,2025-08-25 19:53:00+00:00,230.0,0.1,0.08,0.09,-0.009999998,-9.090907,1087.0,1910,0.59570716796875,False,REGULAR,USD
43,NVDA250905C00235000,2025-08-25 19:48:37+00:00,235.0,0.08,0.06,0.07,-0.010000005,-11.111116,484.0,1406,0.6171913281250001,False,REGULAR,USD
44,NVDA250905C00240000,2025-08-25 19:41:25+00:00,240.0,0.05,0.05,0.06,-0.009999998,-16.666662,167.0,504,0.64648791015625,False,REGULAR,USD
45,NVDA250905C00245000,2025-08-25 19:19:26+00:00,245.0,0.04,0.03,0.04,0.0,0.0,301.0,515,0.6523472265625001,False,REGULAR,USD
46,NVDA250905C00250000,2025-08-25 19:09:00+00:00,250.0,0.03,0.02,0.03,-0.01,-25.0,192.0,1725,0.6679720703125002,False,REGULAR,USD
47,NVDA250905C00255000,2025-08-25 19:13:32+00:00,255.0,0.03,0.01,0.03,0.0,0.0,164.0,593,0.6875031250000001,False,REGULAR,USD
48,NVDA250905C00260000,2025-08-25 19:12:26+00:00,260.0,0.02,0.01,0.02,0.0,0.0,148.0,876,0.70312796875,False,REGULAR,USD
49,NVDA250905C00265000,2025-08-25 15:04:41+00:00,265.0,0.02,0.01,0.02,0.0,0.0,1.0,206,0.73437765625,False,REGULAR,USD
50,NVDA250905C00270000,2025-08-25 19:19:01+00:00,270.0,0.01,0.0,0.01,0.0,0.0,1257.0,1688,0.6875031250000001,False,REGULAR,USD
51,NVDA250905C00275000,2025-08-25 14:58:45+00:00,275.0,0.01,0.0,0.01,0.0,0.0,321.0,921,0.7187528125,False,REGULAR,USD
52,NVDA250905C00280000,2025-08-25 14:00:22+00:00,280.0,0.01,0.0,0.01,0.0,0.0,3.0,291,0.7500025,False,REGULAR,USD
53,NVDA250905C00285000,2025-08-19 15:37:13+00:00,285.0,0.01,0.0,0.01,0.0,0.0,154.0,225,0.7812521875,False,REGULAR,USD
54,NVDA250905C00290000,2025-08-20 14:00:03+00:00,290.0,0.01,0.0,0.01,0.0,0.0,1.0,84,0.8125018749999999,False,REGULAR,USD
55,NVDA250905C00295000,2025-08-20 19:06:49+00:00,295.0,0.01,0.0,0.01,0.0,0.0,1.0,6,0.8437515624999999,False,REGULAR,USD
56,NVDA250905C00310000,2025-08-01 14:57:17+00:00,310.0,0.03,0.0,0.01,0.0,0.0,1.0,1,0.9062509375,False,REGULAR,USD
57,NVDA250905C00320000,2025-08-20 14:29:34+00:00,320.0,0.01,0.0,0.01,0.0,0.0,1.0,18,0.9687503125,False,REGULAR,USD
58,NVDA250905C00340000,2025-08-22 13:44:54+00:00,340.0,0.01,0.0,0.01,0.0,0.0,5.0,5,1.0625046875000002,False,REGULAR,USD
59,NVDA250905C00350000,2025-07-31 19:40:20+00:00,350.0,0.01,0.0,0.01,0.0,0.0,,3,1.09375453125,False,REGULAR,USD
60,NVDA250905C00355000,2025-08-11 13:30:00+00:00,355.0,0.01,0.0,0.01,0.0,0.0,,20,1.125004375,False,REGULAR,USD
61,NVDA250905C00365000,2025-08-21 18:22:06+00:00,365.0,0.01,0.0,0.01,0.0,0.0,1.0,121,1.15625421875,False,REGULAR,USD
