,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA260515P00015000,2025-08-20 15:45:34+00:00,15.0,0.01,0.0,0.03,0.0,0.0,1.0,22,0.9687503125,False,REGULAR,USD
1,NVDA260515P00020000,2025-08-14 15:07:00+00:00,20.0,0.02,0.01,0.02,0.0,0.0,2.0,7,0.85937640625,False,REGULAR,USD
2,NVDA260515P00025000,2025-07-18 19:25:05+00:00,25.0,0.06,0.02,0.06,0.0,0.0,,1,0.8437515624999999,False,REGULAR,USD
3,NVDA260515P00030000,2025-08-05 14:37:35+00:00,30.0,0.11,0.06,0.07,0.0,0.0,1.0,27,0.8027363476562499,False,REGULAR,USD
4,NVDA260515P00035000,2025-08-25 19:14:54+00:00,35.0,0.1,0.09,0.11,0.0,0.0,10.0,228,0.7695335546875001,False,REGULAR,USD
5,NVDA260515P00040000,2025-08-13 15:53:07+00:00,40.0,0.15,0.13,0.15,0.0,0.0,49.0,49,0.737307314453125,False,REGULAR,USD
6,NVDA260515P00045000,2025-08-11 14:36:44+00:00,45.0,0.18,0.18,0.19,0.0,0.0,2.0,22,0.7050810742187501,False,REGULAR,USD
7,NVDA260515P00050000,2025-08-25 15:37:38+00:00,50.0,0.25,0.23,0.25,-0.050000012,-16.66667,1.0,49,0.676761044921875,False,REGULAR,USD
8,NVDA260515P00055000,2025-08-19 18:45:19+00:00,55.0,0.34,0.3,0.32,0.0,0.0,50.0,74,0.6513706738281251,False,REGULAR,USD
9,NVDA260515P00060000,2025-08-22 13:30:24+00:00,60.0,0.44,0.37,0.39,0.0,0.0,1.0,74,0.6245154736328126,False,REGULAR,USD
10,NVDA260515P00065000,2025-08-25 15:07:08+00:00,65.0,0.48,0.46,0.48,-0.07000002,-12.727277,6.0,64,0.6013223461914063,False,REGULAR,USD
11,NVDA260515P00070000,2025-08-22 18:53:26+00:00,70.0,0.63,0.58,0.59,0.0,0.0,10.0,236,0.5810588769531251,False,REGULAR,USD
12,NVDA260515P00075000,2025-08-22 18:05:32+00:00,75.0,0.76,0.69,0.72,0.0,0.0,11.0,245,0.5600629931640625,False,REGULAR,USD
13,NVDA260515P00080000,2025-08-22 13:34:32+00:00,80.0,0.99,0.85,0.86,0.0,0.0,2.0,299,0.541264353027344,False,REGULAR,USD
14,NVDA260515P00085000,2025-08-25 19:31:53+00:00,85.0,1.02,1.02,1.04,-0.15999997,-13.5593195,3.0,248,0.523442265625,False,REGULAR,USD
15,NVDA260515P00090000,2025-08-25 16:49:50+00:00,90.0,1.21,1.24,1.25,-0.20999992,-14.788728,1.0,296,0.5075732836914062,False,REGULAR,USD
16,NVDA260515P00095000,2025-08-22 15:36:29+00:00,95.0,1.61,1.5,1.52,0.0,0.0,10.0,529,0.4942677526855469,False,REGULAR,USD
17,NVDA260515P00100000,2025-08-25 18:12:52+00:00,100.0,1.79,1.81,1.83,-0.19000006,-9.595963,9.0,2302,0.4805960144042969,False,REGULAR,USD
18,NVDA260515P00105000,2025-08-25 17:40:21+00:00,105.0,2.15,2.18,2.22,-0.21999979,-9.282692,1.0,336,0.46924358886718753,False,REGULAR,USD
19,NVDA260515P00110000,2025-08-25 19:51:29+00:00,110.0,2.62,2.62,2.66,-0.26000023,-9.027785,131.0,557,0.457585990600586,False,REGULAR,USD
20,NVDA260515P00115000,2025-08-25 14:00:44+00:00,115.0,3.32,3.15,3.2,-0.11000013,-3.207001,1.0,230,0.44775942871093743,False,REGULAR,USD
21,NVDA260515P00120000,2025-08-25 14:43:52+00:00,120.0,3.95,3.75,3.8,-0.20000005,-4.819278,6.0,3642,0.4373835559082031,False,REGULAR,USD
22,NVDA260515P00125000,2025-08-25 18:35:01+00:00,125.0,4.41,4.45,4.5,-0.4000001,-8.31601,2040.0,3263,0.42774009765625004,False,REGULAR,USD
23,NVDA260515P00130000,2025-08-25 15:36:12+00:00,130.0,5.2,5.25,5.35,-0.5,-8.77193,39.0,6556,0.4200497448730469,False,REGULAR,USD
24,NVDA260515P00135000,2025-08-25 19:44:06+00:00,135.0,6.25,6.25,6.35,-1.0,-13.793103,1669.0,2425,0.41345801391601555,False,REGULAR,USD
25,NVDA260515P00140000,2025-08-25 19:44:05+00:00,140.0,7.35,7.35,7.45,-0.5999999,-7.547169,24.0,8302,0.40631697204589845,False,REGULAR,USD
26,NVDA260515P00145000,2025-08-25 18:00:46+00:00,145.0,8.5,8.55,8.7,-1.0500002,-10.994766,4.0,1992,0.3997252410888672,False,REGULAR,USD
27,NVDA260515P00150000,2025-08-25 19:32:21+00:00,150.0,9.89,9.95,10.05,-0.96000004,-8.847926,13.0,5140,0.3923705783081054,False,REGULAR,USD
28,NVDA260515P00155000,2025-08-25 19:17:41+00:00,155.0,11.4,11.45,11.55,-0.9000006,-7.317078,112.0,2955,0.3852600537109374,False,REGULAR,USD
29,NVDA260515P00160000,2025-08-25 16:41:40+00:00,160.0,12.88,13.1,13.2,-1.6700001,-11.477663,18.0,4877,0.3782410809326171,False,REGULAR,USD
30,NVDA260515P00165000,2025-08-25 16:31:52+00:00,165.0,14.74,14.95,15.1,-1.2600002,-7.8750014,64.0,1166,0.37296159271240237,False,REGULAR,USD
31,NVDA260515P00170000,2025-08-25 18:39:45+00:00,170.0,16.82,17.05,17.2,-1.1800003,-6.5555573,4.0,4579,0.36829244995117194,False,REGULAR,USD
32,NVDA260515P00175000,2025-08-25 16:31:52+00:00,175.0,18.91,19.2,19.4,-1.4799995,-7.258458,201.0,2453,0.3624331335449219,False,REGULAR,USD
33,NVDA260515P00180000,2025-08-25 19:46:50+00:00,180.0,21.55,21.55,21.7,-2.0500011,-8.686445,11.0,10648,0.3554141607666015,True,REGULAR,USD
34,NVDA260515P00185000,2025-08-25 14:00:44+00:00,185.0,25.15,24.1,24.3,-0.30999947,-1.2175941,1.0,498,0.3505619143676757,True,REGULAR,USD
35,NVDA260515P00190000,2025-08-25 19:10:38+00:00,190.0,26.45,26.8,27.0,-1.6999989,-6.039072,2.0,962,0.3445194943237304,True,REGULAR,USD
36,NVDA260515P00195000,2025-08-25 17:00:52+00:00,195.0,29.65,29.75,29.9,-1.6499996,-5.2715645,27.0,147,0.3389348333740234,True,REGULAR,USD
37,NVDA260515P00200000,2025-08-21 14:57:06+00:00,200.0,35.55,32.75,32.95,0.0,0.0,3.0,633,0.33301448242187504,True,REGULAR,USD
38,NVDA260515P00210000,2025-08-21 14:45:52+00:00,210.0,42.65,39.25,39.5,0.0,0.0,29.0,563,0.3201667105102538,True,REGULAR,USD
39,NVDA260515P00220000,2025-08-22 14:08:15+00:00,220.0,49.33,46.4,46.7,0.0,0.0,19.0,72,0.30713583496093744,True,REGULAR,USD
40,NVDA260515P00230000,2025-08-25 14:43:02+00:00,230.0,55.13,54.15,54.4,-2.25,-3.9212267,10.0,114,0.2912058184814452,True,REGULAR,USD
41,NVDA260515P00240000,2025-08-22 19:41:15+00:00,240.0,65.05,62.4,62.7,0.0,0.0,40.0,376,0.27497062927246096,True,REGULAR,USD
42,NVDA260515P00250000,2025-08-25 18:11:08+00:00,250.0,70.85,71.15,71.45,-6.4100037,-8.296665,40.0,322,0.25476819458007816,True,REGULAR,USD
43,NVDA260515P00260000,2025-08-11 15:31:06+00:00,260.0,78.05,80.2,80.75,0.0,0.0,,21,0.23731231445312498,True,REGULAR,USD
44,NVDA260515P00270000,2025-08-07 19:47:46+00:00,270.0,90.3,89.55,90.2,0.0,0.0,3.0,5,0.17383638671875,True,REGULAR,USD
45,NVDA260515P00300000,2025-08-11 18:56:41+00:00,300.0,117.02,115.95,121.75,0.0,0.0,,0,0.37000141723632807,True,REGULAR,USD
