,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PLTR261016C00040000,2026-04-09 14:42:55+00:00,40.0,91.5,88.2,90.45,0.0,0.0,1.0,1,1.0307665649414064,True,REGULAR,USD
1,PLTR261016C00045000,2026-03-23 13:33:16+00:00,45.0,112.47,83.15,85.75,0.0,0.0,1.0,1,0.954102021484375,True,REGULAR,USD
2,PLTR261016C00050000,2026-03-23 13:33:16+00:00,50.0,107.7,78.75,81.0,0.0,0.0,,1,0.9235847485351563,True,REGULAR,USD
3,PLTR261016C00055000,2026-03-27 17:53:14+00:00,55.0,90.49,74.15,76.15,0.0,0.0,58.0,59,0.8712171081542968,True,REGULAR,USD
4,PLTR261016C00060000,2026-03-11 16:28:59+00:00,60.0,93.17,69.65,71.8,0.0,0.0,,50,0.8479019116210937,True,REGULAR,USD
5,PLTR261016C00075000,2026-04-06 13:30:10+00:00,75.0,77.68,56.55,58.55,0.0,0.0,,15,0.7565942309570313,True,REGULAR,USD
6,PLTR261016C00080000,2026-04-10 13:55:22+00:00,80.0,51.06,52.25,54.35,-5.6899986,-10.026429,8.0,19,0.7282131671142578,True,REGULAR,USD
7,PLTR261016C00085000,2026-04-07 18:16:22+00:00,85.0,68.11,48.3,50.4,0.0,0.0,9.0,17,0.7111845288085938,True,REGULAR,USD
8,PLTR261016C00095000,2026-04-10 14:15:58+00:00,95.0,39.04,40.6,42.5,-4.2599983,-9.838334,2.0,4,0.6673617248535157,True,REGULAR,USD
9,PLTR261016C00100000,2026-04-10 17:53:40+00:00,100.0,37.83,37.6,39.05,-1.6699982,-4.2278433,3.0,179,0.6643710321044924,True,REGULAR,USD
10,PLTR261016C00105000,2026-04-10 16:57:27+00:00,105.0,34.94,34.0,35.9,-2.7200012,-7.2225204,1.0,4,0.6499668792724609,True,REGULAR,USD
11,PLTR261016C00110000,2026-04-10 17:22:50+00:00,110.0,31.15,31.45,32.05,-1.8500004,-5.6060615,10.0,56,0.6366003137207032,True,REGULAR,USD
12,PLTR261016C00115000,2026-04-10 19:48:55+00:00,115.0,28.9,28.55,29.1,-1.3400002,-4.4312177,6.0,32,0.6269568554687501,True,REGULAR,USD
13,PLTR261016C00120000,2026-04-10 19:49:58+00:00,120.0,26.17,25.8,26.4,-0.4699993,-1.7642617,123.0,45,0.6184120190429689,True,REGULAR,USD
14,PLTR261016C00125000,2026-04-10 19:58:40+00:00,125.0,23.6,23.45,23.9,-1.5100002,-6.013541,67.0,59,0.6136513244628907,True,REGULAR,USD
15,PLTR261016C00130000,2026-04-10 19:51:22+00:00,130.0,21.2,21.0,21.5,-1.289999,-5.7358785,117.0,202,0.604190969848633,False,REGULAR,USD
