,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY260331C00345000,2025-06-11 18:06:19+00:00,345.0,265.38,285.87,289.28,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
1,SPY260331C00350000,2025-07-01 14:44:35+00:00,350.0,276.19,288.73,292.0,0.0,0.0,92,46,1.0000000000000003e-05,True,REGULAR,USD
2,SPY260331C00355000,2025-07-01 14:45:30+00:00,355.0,271.74,283.95,287.21,0.0,0.0,6,4,1.0000000000000003e-05,True,REGULAR,USD
3,SPY260331C00360000,2025-07-01 14:44:17+00:00,360.0,266.82,279.12,282.42,0.0,0.0,4,3,1.0000000000000003e-05,True,REGULAR,USD
4,SPY260331C00365000,2025-06-05 13:33:57+00:00,365.0,241.9,269.58,272.61,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
5,SPY260331C00370000,2025-08-07 15:53:22+00:00,370.0,270.75,280.83,284.05,0.0,0.0,2,1,0.5249376119995117,True,REGULAR,USD
6,SPY260331C00375000,2025-08-04 13:40:24+00:00,375.0,261.23,275.8,279.21,0.0,0.0,44,46,0.5155688092041015,True,REGULAR,USD
7,SPY260331C00380000,2025-08-12 13:49:48+00:00,380.0,266.32,270.98,274.42,0.0,0.0,2,18,0.508519319152832,True,REGULAR,USD
8,SPY260331C00385000,2025-07-07 15:18:11+00:00,385.0,248.0,0.0,0.0,0.0,0.0,2,3,1.0000000000000003e-05,True,REGULAR,USD
9,SPY260331C00390000,2025-08-12 13:49:15+00:00,390.0,256.54,261.47,264.79,0.0,0.0,2,4,0.5205431246948241,True,REGULAR,USD
10,SPY260331C00395000,2025-07-01 15:48:31+00:00,395.0,233.51,245.63,248.96,0.0,0.0,4,3,1.0000000000000003e-05,True,REGULAR,USD
11,SPY260331C00400000,2025-08-26 13:46:58+00:00,400.0,250.8,251.84,255.15,0.0,0.0,7,52,0.5046436254882812,True,REGULAR,USD
12,SPY260331C00405000,2025-07-03 14:05:33+00:00,405.0,231.92,226.66,229.42,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
13,SPY260331C00410000,2025-07-22 15:00:03+00:00,410.0,229.69,0.0,0.0,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD
14,SPY260331C00415000,2025-08-19 14:46:04+00:00,415.0,236.85,237.61,240.87,0.0,0.0,2,3,0.4833120516967774,True,REGULAR,USD
15,SPY260331C00420000,2025-08-18 18:11:38+00:00,420.0,233.3,232.81,236.08,0.0,0.0,1,5,0.47577428527832033,True,REGULAR,USD
16,SPY260331C00425000,2025-08-12 13:49:07+00:00,425.0,223.28,228.03,231.29,0.0,0.0,2,4,0.4682365188598633,True,REGULAR,USD
17,SPY260331C00430000,2025-08-12 13:49:23+00:00,430.0,218.23,223.24,226.51,0.0,0.0,2,6,0.46083608016967775,True,REGULAR,USD
18,SPY260331C00435000,2025-06-03 19:25:00+00:00,435.0,176.91,203.4,206.47,0.0,0.0,2,4,1.0000000000000003e-05,True,REGULAR,USD
19,SPY260331C00440000,2025-08-11 17:19:00+00:00,440.0,208.68,213.69,216.97,0.0,0.0,2,3,0.44623356506347656,True,REGULAR,USD
20,SPY260331C00445000,2025-08-14 14:05:04+00:00,445.0,210.46,208.93,212.2,0.0,0.0,2,20,0.4389094195556641,True,REGULAR,USD
21,SPY260331C00450000,2025-08-25 14:04:06+00:00,450.0,203.68,204.17,207.45,0.0,0.0,1,13,0.4317988949584961,True,REGULAR,USD
22,SPY260331C00455000,2025-07-16 14:24:05+00:00,455.0,182.0,198.33,201.82,0.0,0.0,1,31,0.4149381016540527,True,REGULAR,USD
23,SPY260331C00460000,2025-08-06 19:13:48+00:00,460.0,185.85,194.68,197.97,0.0,0.0,2,25,0.4177151734924316,True,REGULAR,USD
24,SPY260331C00465000,2025-08-15 15:54:27+00:00,465.0,191.12,189.94,193.24,0.0,0.0,2,8,0.4107419766235352,True,REGULAR,USD
25,SPY260331C00470000,2025-08-12 15:42:43+00:00,470.0,183.92,185.07,188.52,0.0,0.0,2,3,0.40381455566406255,True,REGULAR,USD
26,SPY260331C00475000,2025-08-12 13:57:07+00:00,475.0,176.06,180.25,183.81,0.0,0.0,2,39,0.3969786865234375,True,REGULAR,USD
27,SPY260331C00480000,2025-08-05 18:31:41+00:00,480.0,165.24,175.82,179.11,0.0,0.0,1,44,0.39017333465576176,True,REGULAR,USD
28,SPY260331C00485000,2025-08-11 18:48:16+00:00,485.0,167.27,171.13,174.43,0.0,0.0,6,29,0.38352056915283206,True,REGULAR,USD
29,SPY260331C00490000,2025-08-13 18:23:59+00:00,490.0,168.17,166.29,169.75,0.0,0.0,2,56,0.3768220277404785,True,REGULAR,USD
30,SPY260331C00495000,2025-08-21 16:17:45+00:00,495.0,155.5,161.79,165.1,0.0,0.0,1,16,0.37032184860229495,True,REGULAR,USD
31,SPY260331C00500000,2025-08-28 18:48:36+00:00,500.0,163.22,156.88,160.45,0.0,0.0,3,231,0.36377589355468753,True,REGULAR,USD
32,SPY260331C00504000,2025-08-22 19:39:08+00:00,504.0,155.0,153.29,156.75,0.0,0.0,1,25,0.35864899169921877,True,REGULAR,USD
33,SPY260331C00505000,2025-08-21 17:26:08+00:00,505.0,144.66,152.25,155.67,0.0,0.0,1,165,0.3560245062255859,True,REGULAR,USD
34,SPY260331C00506000,2025-06-20 13:40:27+00:00,506.0,117.39,138.98,142.21,0.0,0.0,1,2,0.21869677795410153,True,REGULAR,USD
35,SPY260331C00507000,2025-07-03 16:30:25+00:00,507.0,138.88,132.59,135.28,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
36,SPY260331C00508000,2025-08-26 15:32:39+00:00,508.0,148.41,149.6,152.9,0.0,0.0,1,19,0.352194588470459,True,REGULAR,USD
37,SPY260331C00509000,2025-07-28 20:01:41+00:00,509.0,145.59,0.0,0.0,0.0,0.0,3,4,1.0000000000000003e-05,True,REGULAR,USD
38,SPY260331C00510000,2025-08-27 19:09:06+00:00,510.0,151.34,147.75,151.22,0.0,0.0,3,31,0.3510349320983886,True,REGULAR,USD
39,SPY260331C00512000,2025-04-07 14:14:37+00:00,512.0,52.4,84.55,88.07,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
40,SPY260331C00513000,2025-05-19 13:38:20+00:00,513.0,104.38,0.0,0.0,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD
41,SPY260331C00514000,2025-06-25 13:46:20+00:00,514.0,117.35,139.69,143.21,0.0,0.0,1,21,0.3084938536071777,True,REGULAR,USD
