,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPYG260320P00065000,2025-08-20 14:10:02+00:00,65.0,0.55,0.0,1.95,0.0,0.0,,2,0.5063525927734375,False,REGULAR,USD
1,SPYG260320P00080000,2025-08-19 15:14:54+00:00,80.0,1.02,0.0,1.6,0.0,0.0,1.0,2,0.2915109912109374,False,REGULAR,USD
2,SPYG260320P00085000,2025-08-22 16:24:22+00:00,85.0,1.7,1.3,2.05,0.0,0.0,1.0,6,0.257819921875,False,REGULAR,USD
3,SPYG260320P00086000,2025-08-14 19:01:01+00:00,86.0,1.75,1.4,2.25,0.0,0.0,,200,0.2556226782226563,False,REGULAR,USD
4,SPYG260320P00088000,2025-07-22 18:29:57+00:00,88.0,2.93,0.0,0.0,0.0,0.0,,3,0.0312596875,False,REGULAR,USD
5,SPYG260320P00089000,2025-08-22 14:34:36+00:00,89.0,2.15,1.8,2.45,0.0,0.0,10.0,12,0.22766885620117186,False,REGULAR,USD
6,SPYG260320P00090000,2025-08-29 19:49:00+00:00,90.0,2.31,2.0,2.85,0.19000006,8.962268,1.0,17,0.23206334350585936,False,REGULAR,USD
7,SPYG260320P00091000,2025-07-18 18:55:02+00:00,91.0,3.53,2.1,3.1,0.0,0.0,,3,0.2291336853027344,False,REGULAR,USD
8,SPYG260320P00092000,2025-08-25 13:34:42+00:00,92.0,2.34,2.3,3.1,0.0,0.0,20.0,40,0.2156450506591797,False,REGULAR,USD
9,SPYG260320P00095000,2025-08-29 19:49:17+00:00,95.0,3.2,2.7,3.7,0.20000005,6.6666684,1.0,67,0.19605296142578127,False,REGULAR,USD
10,SPYG260320P00096000,2025-08-11 16:04:46+00:00,96.0,3.8,3.1,4.1,0.0,0.0,1.0,5,0.19544261596679688,False,REGULAR,USD
11,SPYG260320P00097000,2025-08-25 14:03:55+00:00,97.0,3.87,3.3,4.4,0.0,0.0,1.0,2,0.1903767486572266,False,REGULAR,USD
12,SPYG260320P00098000,2025-08-22 16:23:00+00:00,98.0,4.2,3.5,4.4,0.0,0.0,1.0,6,0.17420259399414065,False,REGULAR,USD
13,SPYG260320P00099000,2025-08-22 14:34:36+00:00,99.0,4.67,4.0,5.0,0.0,0.0,10.0,20,0.17774259765625,False,REGULAR,USD
14,SPYG260320P00100000,2025-08-25 13:34:42+00:00,100.0,4.84,4.4,5.4,0.0,0.0,20.0,22,0.17347017944335938,True,REGULAR,USD
15,SPYG260320P00110000,2025-08-04 14:01:09+00:00,110.0,12.13,10.4,11.5,0.0,0.0,,1,0.14087773193359376,True,REGULAR,USD
