contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ACN250530P00210000,2025-04-11 18:57:39+00:00,210.0,1.55,0.0,2.3,0.0,0.0,,214,2.216313052978515,False,REGULAR,USD
ACN250530P00235000,2025-04-23 13:30:07+00:00,235.0,1.59,0.0,0.0,0.0,0.0,,2,0.500005,False,REGULAR,USD
ACN250530P00245000,2025-05-13 13:48:16+00:00,245.0,0.75,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
ACN250530P00250000,2025-05-12 14:30:10+00:00,250.0,0.7,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
ACN250530P00255000,2025-05-12 14:30:10+00:00,255.0,0.73,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
ACN250530P00260000,2025-05-23 17:10:29+00:00,260.0,0.12,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
ACN250530P00265000,2025-05-07 13:34:50+00:00,265.0,1.27,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
ACN250530P00270000,2025-05-15 16:55:29+00:00,270.0,0.2,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
ACN250530P00275000,2025-05-13 13:48:04+00:00,275.0,0.3,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
ACN250530P00280000,2025-05-19 17:47:05+00:00,280.0,0.3,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
ACN250530P00285000,2025-05-13 14:11:01+00:00,285.0,0.48,0.0,0.0,0.0,0.0,20.0,0,0.12500875,False,REGULAR,USD
ACN250530P00287500,2025-05-23 13:57:39+00:00,287.5,0.4,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
ACN250530P00290000,2025-05-23 19:47:26+00:00,290.0,0.39,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD
ACN250530P00292500,2025-05-23 19:58:35+00:00,292.5,0.45,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
ACN250530P00295000,2025-05-23 18:40:35+00:00,295.0,0.61,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
ACN250530P00297500,2025-05-15 18:23:22+00:00,297.5,0.6,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD
ACN250530P00300000,2025-05-23 19:47:26+00:00,300.0,1.16,0.0,0.0,0.0,0.0,17.0,0,0.062509375,False,REGULAR,USD
ACN250530P00305000,2025-05-23 19:56:48+00:00,305.0,2.53,0.0,0.0,0.0,0.0,4.0,0,0.0312596875,False,REGULAR,USD
ACN250530P00307500,2025-05-23 17:38:00+00:00,307.5,2.7,0.0,0.0,0.0,0.0,8.0,0,0.015634843750000002,False,REGULAR,USD
ACN250530P00310000,2025-05-23 18:40:35+00:00,310.0,3.73,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00312500,2025-05-23 19:57:27+00:00,312.5,5.5,0.0,0.0,0.0,0.0,32.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00315000,2025-05-23 19:36:59+00:00,315.0,6.62,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00317500,2025-05-23 15:19:49+00:00,317.5,8.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00320000,2025-05-23 16:56:04+00:00,320.0,10.15,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00322500,2025-05-23 19:20:20+00:00,322.5,12.35,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00325000,2025-05-22 19:13:05+00:00,325.0,8.43,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN250530P00330000,2025-05-21 14:43:43+00:00,330.0,10.7,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
