contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BITO250627C00011000,2025-05-30 19:52:33+00:00,11.0,11.0,9.6,9.8,0.0,0.0,2.0,0,2.1875045312499997,True,REGULAR,USD
BITO250627C00012000,2025-06-05 15:19:42+00:00,12.0,8.98,8.6,8.8,0.0,0.0,,1,1.9062504687500001,True,REGULAR,USD
BITO250627C00013000,2025-05-30 19:52:33+00:00,13.0,9.0,7.5,7.75,0.0,0.0,2.0,0,1.9609376953125,True,REGULAR,USD
BITO250627C00015000,2025-06-02 18:52:00+00:00,15.0,5.98,5.55,5.9,0.0,0.0,,1,1.3359408203124996,True,REGULAR,USD
BITO250627C00016000,2025-06-13 14:12:11+00:00,16.0,4.95,4.6,4.9,0.0,0.0,1.0,1,1.1953165234375,True,REGULAR,USD
BITO250627C00018000,2025-06-20 15:52:51+00:00,18.0,2.7,1.66,2.84,-0.5,-15.625,3.0,24,0.914063359375,True,REGULAR,USD
BITO250627C00018500,2025-06-20 18:34:03+00:00,18.5,2.25,2.19,2.27,-0.119999886,-5.0632863,1.0,1253,0.57812921875,True,REGULAR,USD
BITO250627C00019000,2025-06-20 18:30:33+00:00,19.0,1.71,1.64,1.78,-0.110000014,-6.0439568,92.0,274,0.5625043750000001,True,REGULAR,USD
BITO250627C00019500,2025-06-20 18:21:56+00:00,19.5,1.25,1.16,1.32,-0.20000005,-13.793106,4.0,140,0.49219257812500006,True,REGULAR,USD
BITO250627C00020000,2025-06-20 18:41:47+00:00,20.0,0.84,0.8,0.9,-0.28000003,-25.000004,248.0,333,0.43945873046875,True,REGULAR,USD
BITO250627C00020500,2025-06-20 19:46:47+00:00,20.5,0.5,0.47,0.55,-0.16000003,-24.242428,464.0,178,0.40430283203125,True,REGULAR,USD
BITO250627C00021000,2025-06-20 19:59:52+00:00,21.0,0.27,0.24,0.27,-0.13999999,-34.14634,1451.0,1597,0.35938140625,False,REGULAR,USD
BITO250627C00021500,2025-06-20 19:52:04+00:00,21.5,0.14,0.12,0.14,-0.06999999,-33.333332,1242.0,726,0.37305314453125,False,REGULAR,USD
BITO250627C00022000,2025-06-20 19:58:45+00:00,22.0,0.06,0.05,0.07,-0.06,-50.0,2481.0,2343,0.38867798828125,False,REGULAR,USD
BITO250627C00022500,2025-06-20 19:19:10+00:00,22.5,0.04,0.03,0.05,-0.02,-33.333336,242.0,2119,0.4414118359375,False,REGULAR,USD
BITO250627C00023000,2025-06-20 19:34:42+00:00,23.0,0.02,0.02,0.03,-0.02,-50.0,440.0,1512,0.4687553125,False,REGULAR,USD
BITO250627C00023500,2025-06-20 19:21:21+00:00,23.5,0.02,0.0,0.07,0.0,0.0,34.0,823,0.5625043750000001,False,REGULAR,USD
BITO250627C00024000,2025-06-20 15:21:39+00:00,24.0,0.01,0.0,0.05,-0.02,-66.66667,15.0,424,0.5937540625000001,False,REGULAR,USD
BITO250627C00024500,2025-06-13 18:33:11+00:00,24.5,0.04,0.0,0.15,0.0,0.0,2.0,613,0.8203142968749999,False,REGULAR,USD
BITO250627C00025000,2025-06-18 18:55:34+00:00,25.0,0.06,0.0,0.1,0.0,0.0,15.0,55,0.8203142968749999,False,REGULAR,USD
BITO250627C00025500,2025-06-20 13:30:02+00:00,25.5,0.05,0.0,0.03,-0.040000003,-44.444447,14.0,35,0.7187528125,False,REGULAR,USD
BITO250627C00026000,2025-06-16 17:01:44+00:00,26.0,0.01,0.0,0.5,0.0,0.0,16.0,61,1.3828155859374998,False,REGULAR,USD
BITO250627C00027000,2025-06-12 15:32:04+00:00,27.0,0.01,0.0,0.06,0.0,0.0,2.0,5,0.98437515625,False,REGULAR,USD
BITO250627C00028000,2025-06-02 14:04:20+00:00,28.0,0.17,0.0,0.23,0.0,0.0,,1,1.39453427734375,False,REGULAR,USD
BITO250627C00029000,2025-06-02 14:04:20+00:00,29.0,0.16,0.0,0.01,0.0,0.0,,1,0.937500625,False,REGULAR,USD
