contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BITO250703P00011000,2025-06-23 13:30:11+00:00,11.0,0.01,0.0,0.01,0.0,0.0,10.0,32,1.9375003125,False,REGULAR,USD
BITO250703P00013000,2025-06-26 18:00:54+00:00,13.0,0.01,0.0,0.01,0.0,0.0,20.0,47,1.5000025,False,REGULAR,USD
BITO250703P00014000,2025-06-26 14:34:53+00:00,14.0,0.01,0.0,0.01,0.0,0.0,1.0,12,1.3125034374999998,False,REGULAR,USD
BITO250703P00015000,2025-06-05 16:35:55+00:00,15.0,0.06,0.0,0.02,0.0,0.0,,56,1.1875040625,False,REGULAR,USD
BITO250703P00017500,2025-06-24 16:34:36+00:00,17.5,0.05,0.0,0.25,0.0,0.0,114.0,96,1.1757853710937498,False,REGULAR,USD
BITO250703P00018000,2025-06-27 19:27:48+00:00,18.0,0.05,0.01,0.05,0.020000001,66.66667,21.0,512,0.7578149218750001,False,REGULAR,USD
BITO250703P00018500,2025-06-27 19:33:04+00:00,18.5,0.04,0.0,0.08,-0.060000002,-60.000004,3.0,513,0.6953155468750001,False,REGULAR,USD
BITO250703P00019000,2025-06-27 18:45:34+00:00,19.0,0.05,0.0,0.35,-0.05,-50.0,24.0,204,0.8808605664062499,False,REGULAR,USD
BITO250703P00019500,2025-06-27 19:36:14+00:00,19.5,0.1,0.03,0.1,0.030000001,42.857143,85.0,514,0.5468795312500001,False,REGULAR,USD
BITO250703P00020000,2025-06-27 19:50:57+00:00,20.0,0.11,0.11,0.16,-0.019999996,-15.384613,246.0,567,0.5488326367187502,False,REGULAR,USD
BITO250703P00020500,2025-06-27 19:52:12+00:00,20.5,0.3,0.28,0.33,0.01000002,3.448283,846.0,327,0.6074258007812501,False,REGULAR,USD
BITO250703P00021000,2025-06-27 19:53:32+00:00,21.0,0.61,0.49,0.84,0.060000002,10.909091,156.0,415,0.773439765625,False,REGULAR,USD
BITO250703P00021500,2025-06-27 19:54:46+00:00,21.5,0.95,0.71,1.17,0.110000014,13.095241,338.0,324,0.79687703125,True,REGULAR,USD
BITO250703P00022000,2025-06-27 19:34:11+00:00,22.0,1.5,1.04,1.63,0.26,20.967741,166.0,467,0.8906260937499999,True,REGULAR,USD
BITO250703P00022500,2025-06-27 19:33:04+00:00,22.5,1.83,1.55,2.12,-0.13999999,-7.1065984,3.0,333,1.056645341796875,True,REGULAR,USD
BITO250703P00023000,2025-06-27 14:50:45+00:00,23.0,2.4,2.04,2.61,0.19000006,8.597287,5.0,163,1.197269638671875,True,REGULAR,USD
BITO250703P00023500,2025-06-24 17:46:01+00:00,23.5,2.86,2.4,3.5,-0.24000001,-7.741936,3.0,7,1.4609401953124999,True,REGULAR,USD
BITO250703P00024000,2025-06-26 19:37:01+00:00,24.0,3.78,2.9,4.65,0.0,0.0,15.0,16,1.9160160449218753,True,REGULAR,USD
BITO250703P00025000,2025-06-24 19:12:14+00:00,25.0,4.7,4.0,5.55,0.0,0.0,2.0,2,2.1718795703125,True,REGULAR,USD
BITO250703P00026000,2025-06-24 17:51:17+00:00,26.0,5.55,5.0,5.7,0.0,0.0,1.0,0,1.9453127734375002,True,REGULAR,USD
BITO250703P00029000,2025-05-30 19:42:51+00:00,29.0,8.9,8.05,8.65,0.0,0.0,282.0,154,2.4980506298828127,True,REGULAR,USD
BITO250703P00030000,2025-06-27 14:51:59+00:00,30.0,9.45,9.1,9.65,0.19999981,2.1621602,2.0,149,2.691409521484375,True,REGULAR,USD
