contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BK250530C00063000,2025-04-29 18:53:21+00:00,63.0,18.35,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00064000,2025-05-23 15:06:12+00:00,64.0,24.75,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00065000,2025-05-23 15:06:12+00:00,65.0,23.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00066000,2025-05-15 18:40:32+00:00,66.0,23.16,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00067000,2025-05-05 16:01:25+00:00,67.0,16.3,0.0,0.0,0.0,0.0,30.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00068000,2025-05-05 14:37:58+00:00,68.0,14.35,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00069000,2025-05-05 15:03:38+00:00,69.0,11.83,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00071000,2025-05-01 13:56:57+00:00,71.0,10.37,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00072000,2025-04-28 17:58:45+00:00,72.0,7.8,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00073000,2025-05-01 17:41:24+00:00,73.0,8.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00074000,2025-05-16 16:30:30+00:00,74.0,16.37,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00075000,2025-05-23 15:32:06+00:00,75.0,13.55,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00076000,2025-05-22 15:24:45+00:00,76.0,12.87,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00077000,2025-05-23 15:32:23+00:00,77.0,12.28,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00078000,2025-05-19 18:14:52+00:00,78.0,12.45,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00079000,2025-05-19 18:07:18+00:00,79.0,11.24,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00080000,2025-05-22 15:24:12+00:00,80.0,9.08,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00081000,2025-05-22 15:24:57+00:00,81.0,7.75,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00082000,2025-05-22 19:37:49+00:00,82.0,7.35,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00083000,2025-05-20 16:59:03+00:00,83.0,7.35,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00084000,2025-05-07 13:43:36+00:00,84.0,2.09,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00085000,2025-05-23 15:15:42+00:00,85.0,4.07,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00086000,2025-05-23 14:56:55+00:00,86.0,3.05,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00087000,2025-05-21 19:47:50+00:00,87.0,3.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00088000,2025-05-23 16:04:25+00:00,88.0,1.73,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00089000,2025-05-23 19:41:51+00:00,89.0,1.34,0.0,0.0,0.0,0.0,73.0,0,1.0000000000000003e-05,True,REGULAR,USD
BK250530C00090000,2025-05-23 19:27:01+00:00,90.0,0.7,0.0,0.0,0.0,0.0,42.0,0,0.0312596875,False,REGULAR,USD
BK250530C00091000,2025-05-21 16:17:40+00:00,91.0,0.75,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD
BK250530C00092000,2025-05-22 19:46:45+00:00,92.0,0.34,0.0,0.0,0.0,0.0,8.0,0,0.062509375,False,REGULAR,USD
BK250530C00093000,2025-05-23 19:40:47+00:00,93.0,0.14,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
BK250530C00094000,2025-05-22 14:04:07+00:00,94.0,0.05,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
BK250530C00098000,2025-05-19 19:41:17+00:00,98.0,0.16,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
