contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BMY250530P00035000,2025-05-22 18:20:46+00:00,35.0,0.07,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
BMY250530P00036000,2025-05-22 18:20:46+00:00,36.0,0.09,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
BMY250530P00038000,2025-05-23 19:11:59+00:00,38.0,0.02,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
BMY250530P00039000,2025-05-16 18:45:25+00:00,39.0,0.05,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
BMY250530P00040000,2025-05-22 18:41:37+00:00,40.0,0.05,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
BMY250530P00041000,2025-05-23 16:40:51+00:00,41.0,0.02,0.0,0.0,0.0,0.0,4.0,0,0.2500075,False,REGULAR,USD
BMY250530P00042000,2025-05-22 19:17:43+00:00,42.0,0.04,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
BMY250530P00042500,2025-05-22 13:44:01+00:00,42.5,0.07,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
BMY250530P00043000,2025-05-23 19:30:54+00:00,43.0,0.04,0.0,0.0,0.0,0.0,18.0,0,0.2500075,False,REGULAR,USD
BMY250530P00043500,2025-05-23 18:52:59+00:00,43.5,0.07,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
BMY250530P00044000,2025-05-23 19:57:48+00:00,44.0,0.06,0.0,0.0,0.0,0.0,108.0,0,0.12500875,False,REGULAR,USD
BMY250530P00044500,2025-05-23 19:11:06+00:00,44.5,0.12,0.0,0.0,0.0,0.0,37.0,0,0.12500875,False,REGULAR,USD
BMY250530P00045000,2025-05-23 19:35:38+00:00,45.0,0.18,0.0,0.0,0.0,0.0,67.0,0,0.12500875,False,REGULAR,USD
BMY250530P00045500,2025-05-23 19:59:41+00:00,45.5,0.25,0.0,0.0,0.0,0.0,147.0,0,0.062509375,False,REGULAR,USD
BMY250530P00046000,2025-05-23 19:59:09+00:00,46.0,0.37,0.0,0.0,0.0,0.0,92.0,0,0.062509375,False,REGULAR,USD
BMY250530P00046500,2025-05-23 19:51:34+00:00,46.5,0.54,0.0,0.0,0.0,0.0,221.0,0,0.0312596875,False,REGULAR,USD
BMY250530P00047000,2025-05-23 19:56:45+00:00,47.0,0.77,0.0,0.0,0.0,0.0,291.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00047500,2025-05-23 19:55:12+00:00,47.5,1.07,0.0,0.0,0.0,0.0,252.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00048000,2025-05-23 19:57:57+00:00,48.0,1.32,0.0,0.0,0.0,0.0,46.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00048500,2025-05-23 17:05:58+00:00,48.5,1.8,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00049000,2025-05-22 15:38:39+00:00,49.0,2.46,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00049500,2025-05-23 13:45:00+00:00,49.5,2.61,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00050000,2025-05-23 13:56:15+00:00,50.0,3.07,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00051000,2025-05-21 13:51:15+00:00,51.0,3.64,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00052000,2025-05-16 17:11:09+00:00,52.0,5.51,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00053000,2025-05-21 17:35:52+00:00,53.0,5.45,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00054000,2025-05-23 14:01:02+00:00,54.0,7.25,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00055000,2025-05-12 18:52:55+00:00,55.0,6.97,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00056000,2025-04-22 14:27:27+00:00,56.0,6.57,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00057000,2025-04-23 15:23:04+00:00,57.0,8.9,9.2,10.25,0.0,0.0,,0,1.0859420703125,True,REGULAR,USD
BMY250530P00058000,2025-04-24 16:32:03+00:00,58.0,9.45,9.6,12.35,0.0,0.0,,0,2.2402387744140624,True,REGULAR,USD
BMY250530P00059000,2025-04-30 19:05:08+00:00,59.0,9.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
BMY250530P00060000,2025-04-24 13:48:23+00:00,60.0,12.65,11.35,13.95,0.0,0.0,,0,2.1367234082031246,True,REGULAR,USD
