contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
EFA250711C00082000,2025-06-20 16:09:34+00:00,82.0,5.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00082500,2025-06-20 16:09:34+00:00,82.5,4.52,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00085000,2025-06-02 17:33:41+00:00,85.0,5.02,0.0,5.65,0.0,0.0,,0,0.6962920996093751,True,REGULAR,USD
EFA250711C00085500,2025-06-02 17:33:41+00:00,85.5,4.54,2.99,4.95,0.0,0.0,,0,0.594730615234375,True,REGULAR,USD
EFA250711C00086000,2025-07-01 15:19:46+00:00,86.0,2.86,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00086500,2025-06-23 16:56:02+00:00,86.5,1.05,0.0,0.0,0.0,0.0,15.0,8,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00087000,2025-07-01 19:42:59+00:00,87.0,2.58,0.0,0.0,0.0,0.0,5.0,42,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00087500,2025-06-27 17:02:43+00:00,87.5,2.39,0.0,0.0,0.0,0.0,383.0,470,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00088000,2025-07-01 15:57:32+00:00,88.0,1.63,0.0,0.0,0.0,0.0,1.0,705,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00088500,2025-07-02 18:22:03+00:00,88.5,1.43,0.0,0.0,0.0,0.0,10.0,54,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00089000,2025-07-03 16:43:38+00:00,89.0,0.97,0.0,0.0,0.0,0.0,1618.0,1644,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00089500,2025-07-03 15:19:05+00:00,89.5,0.68,0.0,0.0,0.0,0.0,36.0,700,1.0000000000000003e-05,True,REGULAR,USD
EFA250711C00090000,2025-07-03 16:47:03+00:00,90.0,0.4,0.0,0.0,0.0,0.0,23.0,840,0.015634843750000002,False,REGULAR,USD
EFA250711C00090500,2025-07-03 16:33:46+00:00,90.5,0.22,0.0,0.0,0.0,0.0,460.0,2572,0.0312596875,False,REGULAR,USD
EFA250711C00091000,2025-07-03 14:19:49+00:00,91.0,0.12,0.0,0.0,0.0,0.0,6.0,27,0.0312596875,False,REGULAR,USD
EFA250711C00091500,2025-06-30 19:00:31+00:00,91.5,0.1,0.0,0.0,0.0,0.0,6.0,124,0.062509375,False,REGULAR,USD
EFA250711C00092000,2025-07-02 17:18:24+00:00,92.0,0.07,0.0,0.0,0.0,0.0,1.0,1,0.062509375,False,REGULAR,USD
EFA250711C00092500,2025-06-09 19:04:33+00:00,92.5,0.14,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
EFA250711C00093000,2025-07-03 16:40:09+00:00,93.0,0.02,0.0,0.0,0.0,0.0,30.0,30,0.062509375,False,REGULAR,USD
