contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
EFA250718P00060000,2025-05-14 18:10:29+00:00,60.0,0.04,0.0,1.49,0.0,0.0,812.0,6853,2.1914107714843745,False,REGULAR,USD
EFA250718P00065000,2025-04-22 13:35:08+00:00,65.0,0.32,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
EFA250718P00068000,2025-06-02 15:17:25+00:00,68.0,0.34,0.0,0.08,0.0,0.0,,1,0.9335944140625,False,REGULAR,USD
EFA250718P00070000,2025-07-08 14:54:05+00:00,70.0,0.01,0.0,0.04,0.0,0.0,510.0,9013,0.773439765625,False,REGULAR,USD
EFA250718P00071000,2025-06-27 13:37:25+00:00,71.0,0.75,0.0,0.04,0.0,0.0,1.0,64,0.73437765625,False,REGULAR,USD
EFA250718P00072000,2025-07-02 15:05:37+00:00,72.0,0.02,0.0,0.24,0.0,0.0,2.0,5,0.8984385156249999,False,REGULAR,USD
EFA250718P00073000,2025-06-27 13:37:25+00:00,73.0,0.53,0.0,0.86,0.0,0.0,2.0,2,1.109379453125,False,REGULAR,USD
EFA250718P00074000,2025-06-16 16:56:34+00:00,74.0,0.11,0.0,0.05,0.0,0.0,51.0,595,0.6250037500000001,False,REGULAR,USD
EFA250718P00075000,2025-06-30 14:11:35+00:00,75.0,0.04,0.0,0.05,0.0,0.0,1.0,7512,0.585941640625,False,REGULAR,USD
EFA250718P00076000,2025-06-16 16:55:40+00:00,76.0,0.18,0.0,0.04,0.0,0.0,45.0,1134,0.5312546875,False,REGULAR,USD
EFA250718P00077000,2025-07-10 16:23:15+00:00,77.0,0.01,0.0,0.04,0.0,0.0,884.0,1592,0.5429733203125001,False,REGULAR,USD
EFA250718P00078000,2025-06-18 20:04:17+00:00,78.0,0.2,0.0,0.05,0.0,0.0,226.0,12150,0.5195360546875,False,REGULAR,USD
EFA250718P00079000,2025-07-10 16:23:15+00:00,79.0,0.01,0.0,0.02,0.0,0.0,888.0,694,0.414068359375,False,REGULAR,USD
EFA250718P00080000,2025-07-10 16:29:25+00:00,80.0,0.02,0.0,0.05,0.0,0.0,8.0,24058,0.4335994140625,False,REGULAR,USD
EFA250718P00081000,2025-07-10 16:29:29+00:00,81.0,0.02,0.0,0.04,0.0,0.0,8.0,12238,0.37500625,False,REGULAR,USD
EFA250718P00082000,2025-07-11 19:34:17+00:00,82.0,0.02,0.0,0.24,-0.02,-50.0,2.0,32089,0.48633326171875,False,REGULAR,USD
EFA250718P00083000,2025-07-10 16:28:01+00:00,83.0,0.03,0.01,0.05,0.0,0.0,15.0,3540,0.30274134765625,False,REGULAR,USD
EFA250718P00083500,2025-07-07 19:54:01+00:00,83.5,0.09,0.01,0.05,0.0,0.0,82.0,99,0.28125718749999995,False,REGULAR,USD
EFA250718P00084000,2025-07-11 18:22:14+00:00,84.0,0.03,0.02,0.24,0.0,0.0,3.0,582,0.375982802734375,False,REGULAR,USD
EFA250718P00084500,2025-07-10 14:54:59+00:00,84.5,0.04,0.02,0.06,0.0,0.0,10.0,77,0.2461012890625,False,REGULAR,USD
EFA250718P00085000,2025-07-11 18:27:03+00:00,85.0,0.04,0.03,0.06,0.01,33.333336,133.0,24250,0.22364057617187497,False,REGULAR,USD
EFA250718P00085500,2025-07-09 18:01:01+00:00,85.5,0.04,0.04,0.07,0.0,0.0,8.0,33,0.20703917968749996,False,REGULAR,USD
EFA250718P00086000,2025-07-11 18:13:18+00:00,86.0,0.08,0.05,0.09,0.029999997,59.999996,5.0,7559,0.195320546875,False,REGULAR,USD
EFA250718P00086500,2025-07-08 16:21:36+00:00,86.5,0.17,0.08,0.11,0.0,0.0,1.0,67,0.179695703125,False,REGULAR,USD
EFA250718P00087000,2025-07-11 14:19:41+00:00,87.0,0.14,0.0,0.19,0.07,100.0,5.0,6025,0.18262536132812499,False,REGULAR,USD
EFA250718P00087500,2025-07-11 19:23:55+00:00,87.5,0.18,0.01,0.41,0.040000007,28.571432,9.0,4490,0.21436332519531248,False,REGULAR,USD
EFA250718P00088000,2025-07-11 20:14:18+00:00,88.0,0.29,0.26,0.38,0.13999999,93.33332,2322.0,21220,0.16846534667968754,False,REGULAR,USD
EFA250718P00088500,2025-07-11 19:45:08+00:00,88.5,0.43,0.22,0.63,0.22000001,104.76191,15.0,4506,0.1840901904296875,False,REGULAR,USD
EFA250718P00089000,2025-07-11 19:46:14+00:00,89.0,0.58,0.54,0.84,0.26,81.25,3.0,1251,0.17920742675781248,True,REGULAR,USD
EFA250718P00089500,2025-07-10 18:38:44+00:00,89.5,0.46,0.64,1.1,0.0,0.0,258.0,259,0.17432466308593753,True,REGULAR,USD
EFA250718P00090000,2025-07-10 18:27:20+00:00,90.0,0.65,1.12,1.46,0.0,0.0,257.0,1546,0.18164880859375,True,REGULAR,USD
EFA250718P00090500,2025-07-07 19:41:47+00:00,90.5,2.01,1.28,1.86,0.0,0.0,151.0,198,0.1909260595703125,True,REGULAR,USD
EFA250718P00091000,2025-06-09 15:20:01+00:00,91.0,2.85,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
EFA250718P00095000,2025-06-09 19:25:13+00:00,95.0,6.48,0.0,0.0,0.0,0.0,24.0,0,1.0000000000000003e-05,True,REGULAR,USD
