contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ETHA250703C00009000,2025-06-03 16:04:26+00:00,9.0,10.99,8.9,11.0,0.0,0.0,1.0,6,5.394534506835937,True,REGULAR,USD
ETHA250703C00010000,2025-05-30 19:41:43+00:00,10.0,9.81,8.15,8.95,0.0,0.0,3.0,4,3.6171884570312502,True,REGULAR,USD
ETHA250703C00011000,2025-06-10 18:44:48+00:00,11.0,9.9,7.2,7.9,0.0,0.0,3.0,4,3.144533388671875,True,REGULAR,USD
ETHA250703C00012000,2025-05-30 18:15:43+00:00,12.0,7.7,6.15,7.95,0.0,0.0,5.0,6,3.83593791015625,True,REGULAR,USD
ETHA250703C00013000,2025-05-30 16:40:43+00:00,13.0,6.64,5.2,6.1,0.0,0.0,3.0,4,2.5390661523437497,True,REGULAR,USD
ETHA250703C00013500,2025-06-17 14:51:20+00:00,13.5,5.93,4.75,5.4,0.0,0.0,8.0,4,2.1679733300781248,True,REGULAR,USD
ETHA250703C00014000,2025-06-27 18:45:15+00:00,14.0,4.15,4.25,4.35,-1.1599998,-21.845572,12.0,7,1.125004375,True,REGULAR,USD
ETHA250703C00014500,2025-06-27 14:48:53+00:00,14.5,3.88,3.75,3.85,-0.9699998,-19.999996,2.0,4,1.000005,True,REGULAR,USD
ETHA250703C00015000,2025-06-27 18:47:38+00:00,15.0,3.15,3.25,3.35,-0.3499999,-9.999997,8.0,21,0.87500125,True,REGULAR,USD
ETHA250703C00015500,2025-06-20 16:58:08+00:00,15.5,3.42,2.71,3.0,0.0,0.0,2.0,6,0.9531254687499999,True,REGULAR,USD
ETHA250703C00016000,2025-06-25 17:02:56+00:00,16.0,2.41,2.22,2.45,0.0,0.0,1.0,24,0.7578149218750001,True,REGULAR,USD
ETHA250703C00016500,2025-06-25 18:31:55+00:00,16.5,2.0,1.33,1.93,0.0,0.0,1.0,14,0.8164080859374999,True,REGULAR,USD
ETHA250703C00017000,2025-06-24 15:36:34+00:00,17.0,1.85,1.37,1.46,0.0,0.0,15.0,693,0.6289099609375001,True,REGULAR,USD
ETHA250703C00017500,2025-06-27 17:45:13+00:00,17.5,0.9,0.99,1.07,-0.30000007,-25.000006,13.0,148,0.6171913281250001,True,REGULAR,USD
ETHA250703C00018000,2025-06-27 18:30:08+00:00,18.0,0.56,0.67,0.73,-0.32999998,-37.07865,599.0,65,0.5976602734375001,True,REGULAR,USD
ETHA250703C00018500,2025-06-27 19:59:42+00:00,18.5,0.43,0.42,0.44,-0.19999999,-31.746029,4435.0,2808,0.570316796875,False,REGULAR,USD
ETHA250703C00019000,2025-06-27 19:57:13+00:00,19.0,0.25,0.23,0.29,-0.18,-41.860466,14789.0,309,0.57617611328125,False,REGULAR,USD
ETHA250703C00019500,2025-06-27 19:53:48+00:00,19.5,0.15,0.12,0.17,-0.099999994,-39.999996,1384.0,546,0.57812921875,False,REGULAR,USD
ETHA250703C00020000,2025-06-27 19:52:32+00:00,20.0,0.07,0.07,0.1,-0.1,-58.823532,551.0,1301,0.5976602734375001,False,REGULAR,USD
