contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
FANG250530C00095000,2025-05-23 13:32:36+00:00,95.0,39.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00096000,2025-05-23 13:32:36+00:00,96.0,38.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00100000,2025-05-13 16:43:08+00:00,100.0,46.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00110000,2025-05-06 13:31:51+00:00,110.0,28.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00115000,2025-05-14 18:04:52+00:00,115.0,29.4,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00125000,2025-05-14 18:04:52+00:00,125.0,19.9,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00126000,2025-05-23 16:04:25+00:00,126.0,9.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00130000,2025-05-14 19:09:14+00:00,130.0,14.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00134000,2025-05-23 19:55:36+00:00,134.0,3.62,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00135000,2025-05-23 19:56:53+00:00,135.0,3.2,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
FANG250530C00136000,2025-05-23 19:54:11+00:00,136.0,2.6,0.0,0.0,0.0,0.0,15.0,0,0.0039162109375,False,REGULAR,USD
FANG250530C00137000,2025-05-23 19:54:11+00:00,137.0,2.1,0.0,0.0,0.0,0.0,2.0,0,0.0312596875,False,REGULAR,USD
FANG250530C00138000,2025-05-23 19:36:42+00:00,138.0,1.82,0.0,0.0,0.0,0.0,9.0,0,0.0312596875,False,REGULAR,USD
FANG250530C00139000,2025-05-23 19:51:24+00:00,139.0,1.4,0.0,0.0,0.0,0.0,12.0,0,0.062509375,False,REGULAR,USD
FANG250530C00140000,2025-05-23 18:34:03+00:00,140.0,1.12,0.0,0.0,0.0,0.0,54.0,0,0.062509375,False,REGULAR,USD
FANG250530C00141000,2025-05-23 14:38:49+00:00,141.0,0.79,0.0,0.0,0.0,0.0,4.0,0,0.062509375,False,REGULAR,USD
FANG250530C00142000,2025-05-23 15:19:09+00:00,142.0,0.63,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
FANG250530C00143000,2025-05-23 19:54:43+00:00,143.0,0.5,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
FANG250530C00144000,2025-05-23 17:44:25+00:00,144.0,0.4,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
FANG250530C00145000,2025-05-23 18:26:19+00:00,145.0,0.31,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
FANG250530C00146000,2025-05-22 13:39:58+00:00,146.0,0.25,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
FANG250530C00147000,2025-05-20 19:19:02+00:00,147.0,0.54,0.0,0.0,0.0,0.0,12.0,0,0.12500875,False,REGULAR,USD
FANG250530C00148000,2025-05-22 14:24:30+00:00,148.0,0.2,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
FANG250530C00149000,2025-05-23 13:30:11+00:00,149.0,0.07,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
FANG250530C00150000,2025-05-20 18:13:25+00:00,150.0,0.32,0.0,0.0,0.0,0.0,21.0,0,0.2500075,False,REGULAR,USD
FANG250530C00152500,2025-05-13 19:35:36+00:00,152.5,1.59,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
FANG250530C00155000,2025-05-20 17:49:36+00:00,155.0,0.13,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
FANG250530C00160000,2025-05-21 17:41:43+00:00,160.0,0.1,0.0,0.0,0.0,0.0,7.0,0,0.2500075,False,REGULAR,USD
FANG250530C00165000,2025-04-17 15:22:56+00:00,165.0,1.05,0.0,2.15,0.0,0.0,1.0,1,1.4492215039062502,False,REGULAR,USD
FANG250530C00200000,2025-05-06 16:46:35+00:00,200.0,0.04,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
