contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
FBTC250801C00070000,2025-06-26 17:39:58+00:00,70.0,24.66,31.7,34.2,0.0,0.0,,1,2.1875045312499997,True,REGULAR,USD
FBTC250801C00080000,2025-07-18 16:14:27+00:00,80.0,23.2,21.8,23.5,0.0,0.0,,2,1.4111357568359377,True,REGULAR,USD
FBTC250801C00085000,2025-07-07 15:26:15+00:00,85.0,10.81,16.9,19.3,0.0,0.0,1.0,6,1.3193393408203122,True,REGULAR,USD
FBTC250801C00088500,2025-07-25 16:27:27+00:00,88.5,13.73,13.4,15.1,6.7099996,95.58404,1.0,1,0.98242205078125,True,REGULAR,USD
FBTC250801C00089000,2025-07-07 14:04:04+00:00,89.0,7.55,12.9,14.5,0.0,0.0,1.0,0,0.9345709667968749,True,REGULAR,USD
FBTC250801C00089500,2025-06-23 19:41:34+00:00,89.5,5.19,0.0,0.0,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD
FBTC250801C00090000,2025-06-25 19:16:02+00:00,90.0,7.3,11.9,13.6,0.0,0.0,,1,0.8984385156249999,True,REGULAR,USD
FBTC250801C00091000,2025-07-21 18:48:43+00:00,91.0,11.72,10.9,12.6,0.0,0.0,1.0,0,0.84179845703125,True,REGULAR,USD
FBTC250801C00091500,2025-07-18 17:11:04+00:00,91.5,11.55,10.4,12.1,0.0,0.0,1.0,7,0.8139667041015625,True,REGULAR,USD
FBTC250801C00092000,2025-06-23 17:36:41+00:00,92.0,3.89,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
FBTC250801C00092500,2025-07-11 17:57:19+00:00,92.5,11.24,9.4,11.1,0.0,0.0,1.0,1,0.7578149218750001,True,REGULAR,USD
FBTC250801C00093000,2025-07-02 15:50:26+00:00,93.0,5.2,8.9,10.7,0.0,0.0,1.0,1,0.745119736328125,True,REGULAR,USD
FBTC250801C00093500,2025-07-14 15:39:54+00:00,93.5,12.38,8.4,10.2,0.0,0.0,5.0,2,0.7163114306640624,True,REGULAR,USD
FBTC250801C00094000,2025-07-25 18:38:50+00:00,94.0,10.0,8.0,9.7,0.25,2.5641026,1.0,13,0.7026396923828125,True,REGULAR,USD
FBTC250801C00094500,2025-07-23 19:56:32+00:00,94.5,9.0,7.5,9.1,0.0,0.0,10.0,11,0.65820654296875,True,REGULAR,USD
FBTC250801C00095000,2025-07-25 13:38:07+00:00,95.0,6.87,7.0,8.7,-2.1999998,-24.255787,2.0,12,0.6435582519531251,True,REGULAR,USD
FBTC250801C00095500,2025-07-23 19:54:32+00:00,95.5,8.3,6.6,8.3,0.0,0.0,10.0,17,0.641605146484375,True,REGULAR,USD
FBTC250801C00096000,2025-07-25 15:47:05+00:00,96.0,5.35,6.0,7.8,-3.0800004,-36.536182,2.0,138,0.5971719970703125,True,REGULAR,USD
FBTC250801C00096500,2025-07-23 17:19:44+00:00,96.5,7.75,5.8,7.4,0.0,0.0,1.0,5,0.6176796044921876,True,REGULAR,USD
FBTC250801C00097000,2025-07-25 18:20:08+00:00,97.0,5.35,5.4,6.2,-1.9500003,-26.712332,9.0,21,0.5092822509765625,True,REGULAR,USD
FBTC250801C00097500,2025-07-10 18:00:35+00:00,97.5,5.2,4.8,6.4,0.0,0.0,4.0,3,0.55273884765625,True,REGULAR,USD
FBTC250801C00098000,2025-07-25 14:00:57+00:00,98.0,4.53,4.4,6.1,-2.27,-33.382355,1.0,30,0.5542036767578126,True,REGULAR,USD
FBTC250801C00098500,2025-07-24 13:56:19+00:00,98.5,5.61,4.0,5.7,0.0,0.0,1.0,9,0.5417526293945314,True,REGULAR,USD
FBTC250801C00099000,2025-07-18 15:00:44+00:00,99.0,5.77,3.7,5.3,0.0,0.0,3.0,8,0.5380905566406251,True,REGULAR,USD
FBTC250801C00099500,2025-07-14 17:13:16+00:00,99.5,7.45,3.3,5.0,0.0,0.0,2.0,1,0.5317429638671876,True,REGULAR,USD
FBTC250801C00100000,2025-07-25 19:06:04+00:00,100.0,3.2,3.1,3.4,-1.8,-36.0,188.0,242,0.44165597412109375,True,REGULAR,USD
FBTC250801C00101000,2025-07-25 19:31:03+00:00,101.0,2.7,2.45,3.0,-1.02,-27.419355,14.0,55,0.47876497802734375,True,REGULAR,USD
FBTC250801C00102000,2025-07-25 19:26:00+00:00,102.0,2.1,1.9,2.2,-1.3000002,-38.2353,33.0,89,0.424810439453125,False,REGULAR,USD
FBTC250801C00103000,2025-07-25 19:56:26+00:00,103.0,1.9,1.45,1.8,-0.93999994,-33.09859,357.0,51,0.43457596679687505,False,REGULAR,USD
FBTC250801C00104000,2025-07-25 19:39:32+00:00,104.0,1.25,1.1,1.35,-1.0,-44.444447,54.0,186,0.42139250488281255,False,REGULAR,USD
FBTC250801C00105000,2025-07-25 18:10:42+00:00,105.0,1.07,0.85,1.1,-0.92999995,-46.499996,242.0,201,0.43555251953125,False,REGULAR,USD
FBTC250801C00106000,2025-07-25 14:09:03+00:00,106.0,0.7,0.65,0.8,-0.8,-53.333336,10.0,122,0.42627526855468756,False,REGULAR,USD
FBTC250801C00107000,2025-07-25 19:43:08+00:00,107.0,0.6,0.0,1.85,-0.54999995,-47.826084,28.0,113,0.5122119091796875,False,REGULAR,USD
FBTC250801C00108000,2025-07-25 14:50:26+00:00,108.0,0.5,0.0,1.0,0.02000001,4.166669,361.0,23,0.5839885351562499,False,REGULAR,USD
FBTC250801C00109000,2025-07-25 15:08:08+00:00,109.0,0.38,0.0,1.1,-0.02000001,-5.000003,9.0,22,0.508793974609375,False,REGULAR,USD
FBTC250801C00110000,2025-07-25 19:38:06+00:00,110.0,0.3,0.15,0.85,-0.19999999,-39.999996,55.0,320,0.5371140039062501,False,REGULAR,USD
FBTC250801C00113000,2025-07-25 19:19:08+00:00,113.0,0.15,0.1,1.4,-0.06999999,-31.818178,10.0,17,0.7490259472656251,False,REGULAR,USD
FBTC250801C00115000,2025-07-25 16:21:01+00:00,115.0,0.15,0.0,0.9,-0.43999997,-74.57627,10.0,18,0.7187528125,False,REGULAR,USD
FBTC250801C00120000,2025-07-25 13:30:02+00:00,120.0,0.05,0.0,0.15,-0.06,-54.545456,9.0,51,0.632816171875,False,REGULAR,USD
FBTC250801C00125000,2025-07-16 18:31:36+00:00,125.0,0.22,,0.25,0.0,0.0,,7,0.936524072265625,False,REGULAR,USD
