contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
FEZ250718P00047000,2025-05-23 15:53:47+00:00,47.0,0.2,0.0,2.15,0.0,0.0,1,1,1.9111332568359378,False,REGULAR,USD
FEZ250718P00048000,2025-05-23 16:25:33+00:00,48.0,0.24,0.0,2.2,0.0,0.0,3015,3012,1.8105478222656248,False,REGULAR,USD
FEZ250718P00050000,2025-07-02 14:55:56+00:00,50.0,0.03,0.0,1.05,0.0,0.0,1,77,1.2334022705078125,False,REGULAR,USD
FEZ250718P00051000,2025-06-20 13:44:08+00:00,51.0,0.15,0.0,1.05,0.0,0.0,65,7060,1.1357465087890626,False,REGULAR,USD
FEZ250718P00052000,2025-06-23 13:41:07+00:00,52.0,0.24,0.0,1.25,0.0,0.0,750,770,1.0996138769531252,False,REGULAR,USD
FEZ250718P00053000,2025-07-07 16:18:23+00:00,53.0,0.01,0.0,1.05,0.0,0.0,545,661,0.940430283203125,False,REGULAR,USD
FEZ250718P00054000,2025-07-10 15:59:00+00:00,54.0,0.03,0.0,2.1,0.0,0.0,1,3710,1.1044966650390626,False,REGULAR,USD
FEZ250718P00055000,2025-07-10 18:36:47+00:00,55.0,0.03,0.0,1.25,0.0,0.0,1,4585,0.7949239257812499,False,REGULAR,USD
FEZ250718P00055500,2025-07-01 15:52:36+00:00,55.5,0.12,0.0,1.1,0.0,0.0,1,1,0.7070341796875,False,REGULAR,USD
FEZ250718P00056000,2025-07-07 15:12:11+00:00,56.0,0.12,0.0,1.1,0.0,0.0,5,195,0.6562534375000001,False,REGULAR,USD
FEZ250718P00057000,2025-07-02 17:50:00+00:00,57.0,0.17,0.0,1.1,0.0,0.0,6,2267,0.55273884765625,False,REGULAR,USD
FEZ250718P00057500,2025-07-09 18:23:37+00:00,57.5,0.05,0.05,0.1,0.0,0.0,1,6,0.270515107421875,False,REGULAR,USD
FEZ250718P00058000,2025-07-11 19:50:01+00:00,58.0,0.15,0.05,0.15,0.040000007,36.363644,5,1664,0.2617261328125,False,REGULAR,USD
FEZ250718P00058500,2025-07-08 18:58:03+00:00,58.5,0.15,0.1,0.15,0.0,0.0,1,5,0.21778125976562498,False,REGULAR,USD
FEZ250718P00059000,2025-07-11 19:08:26+00:00,59.0,0.2,0.15,0.25,0.1,100.0,7,1011,0.21436332519531248,False,REGULAR,USD
FEZ250718P00059500,2025-07-11 15:15:02+00:00,59.5,0.31,0.25,0.35,0.16,106.66666,3,1016,0.1948322705078125,False,REGULAR,USD
FEZ250718P00060000,2025-07-11 18:43:42+00:00,60.0,0.44,0.4,0.5,0.18,69.230774,219,850,0.1757894921875,False,REGULAR,USD
FEZ250718P00061000,2025-07-11 16:11:53+00:00,61.0,1.12,1.0,1.15,-0.23000002,-17.037039,40,67,0.186531572265625,True,REGULAR,USD
FEZ250718P00062000,2025-07-09 19:18:01+00:00,62.0,1.03,0.85,3.1,0.0,0.0,7,8,0.6391637646484375,True,REGULAR,USD
FEZ250718P00063000,2025-06-12 15:36:33+00:00,63.0,3.7,0.9,3.4,0.0,0.0,32,0,0.4804739453125,True,REGULAR,USD
