contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
IBIT250606P00025000,2025-05-29 19:24:57+00:00,25.0,0.01,0.0,0.02,0.0,0.0,25.0,1504,2.2500043749999996,False,REGULAR,USD
IBIT250606P00029000,2025-05-23 15:52:53+00:00,29.0,0.01,0.0,0.02,0.0,0.0,1.0,1680,1.875000625,False,REGULAR,USD
IBIT250606P00030000,2025-05-22 19:05:21+00:00,30.0,0.02,0.0,0.02,0.0,0.0,1039.0,1723,1.8125009374999999,False,REGULAR,USD
IBIT250606P00031000,2025-05-30 17:54:35+00:00,31.0,0.01,0.0,0.03,0.0,0.0,301.0,629,1.8125009374999999,False,REGULAR,USD
IBIT250606P00032000,2025-05-05 19:33:51+00:00,32.0,0.08,0.0,0.02,0.0,0.0,5.0,11,1.65625171875,False,REGULAR,USD
IBIT250606P00033000,2025-05-30 19:44:37+00:00,33.0,0.01,0.0,0.03,0.0,0.0,25.0,21,1.640626796875,False,REGULAR,USD
IBIT250606P00034000,2025-05-29 17:43:34+00:00,34.0,0.01,0.0,0.03,0.0,0.0,29.0,231,1.5625021874999998,False,REGULAR,USD
IBIT250606P00035000,2025-05-30 14:45:44+00:00,35.0,0.01,0.0,0.03,-0.01,-50.0,1.0,196,1.484377578125,False,REGULAR,USD
IBIT250606P00036000,2025-05-30 17:22:09+00:00,36.0,0.02,0.01,0.03,0.0,0.0,135.0,596,1.46875265625,False,REGULAR,USD
IBIT250606P00037000,2025-05-30 19:55:44+00:00,37.0,0.01,0.01,0.04,0.0,0.0,210.0,747,1.421877890625,False,REGULAR,USD
IBIT250606P00038000,2025-05-30 18:35:29+00:00,38.0,0.02,0.01,0.03,0.0,0.0,33.0,516,1.3125034374999998,False,REGULAR,USD
IBIT250606P00039000,2025-05-30 19:13:14+00:00,39.0,0.03,0.01,0.03,0.01,50.0,27.0,873,1.2500037499999999,False,REGULAR,USD
IBIT250606P00040000,2025-05-30 19:55:17+00:00,40.0,0.03,0.02,0.03,0.0,0.0,205.0,9752,1.2109414453124998,False,REGULAR,USD
IBIT250606P00041000,2025-05-30 19:12:53+00:00,41.0,0.03,0.02,0.05,0.01,50.0,628.0,5998,1.1953165234375,False,REGULAR,USD
IBIT250606P00042000,2025-05-30 19:40:41+00:00,42.0,0.04,0.02,0.05,0.01,33.333336,367.0,648,1.125004375,False,REGULAR,USD
IBIT250606P00043000,2025-05-30 17:37:54+00:00,43.0,0.04,0.03,0.06,0.01,33.333336,20.0,4308,1.09375453125,False,REGULAR,USD
IBIT250606P00044000,2025-05-30 19:27:58+00:00,44.0,0.03,0.03,0.06,-0.01,-25.0,374.0,379,1.0273486132812502,False,REGULAR,USD
IBIT250606P00045000,2025-05-30 19:59:35+00:00,45.0,0.05,0.05,0.06,0.020000001,66.66667,737.0,894,0.992187578125,False,REGULAR,USD
IBIT250606P00046000,2025-05-30 19:55:32+00:00,46.0,0.07,0.04,0.06,0.030000001,75.00001,1130.0,1825,0.9062509375,False,REGULAR,USD
IBIT250606P00047000,2025-05-30 19:17:52+00:00,47.0,0.06,0.04,0.08,0.03,100.0,42.0,475,0.867188828125,False,REGULAR,USD
IBIT250606P00047500,2025-05-30 19:08:59+00:00,47.5,0.06,0.04,0.08,0.02,50.0,2.0,1289,0.8320329296874999,False,REGULAR,USD
IBIT250606P00048000,2025-05-30 19:47:10+00:00,48.0,0.06,0.05,0.08,0.009999998,19.999996,68.0,551,0.8125018749999999,False,REGULAR,USD
IBIT250606P00048500,2025-05-30 17:35:31+00:00,48.5,0.08,0.05,0.09,0.029999997,59.999996,47.0,539,0.78711150390625,False,REGULAR,USD
