contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
IEF250711C00092000,2025-05-30 15:49:49+00:00,92.0,2.71,1.14,4.95,0.0,0.0,1.0,0,0.778322529296875,True,REGULAR,USD
IEF250711C00092500,2025-06-23 18:46:10+00:00,92.5,2.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
IEF250711C00093000,2025-06-30 17:34:34+00:00,93.0,2.59,0.0,0.0,0.0,0.0,150.0,0,1.0000000000000003e-05,True,REGULAR,USD
IEF250711C00093500,2025-06-30 17:34:34+00:00,93.5,2.68,0.0,0.0,0.0,0.0,75.0,0,1.0000000000000003e-05,True,REGULAR,USD
IEF250711C00094000,2025-07-03 15:53:28+00:00,94.0,0.93,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
IEF250711C00094500,2025-07-03 14:41:04+00:00,94.5,0.51,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
IEF250711C00095000,2025-07-03 15:19:07+00:00,95.0,0.26,0.0,0.0,0.0,0.0,61.0,187,0.007822421875,False,REGULAR,USD
IEF250711C00095500,2025-07-03 15:13:20+00:00,95.5,0.11,0.0,0.0,0.0,0.0,37.0,160,0.015634843750000002,False,REGULAR,USD
IEF250711C00096000,2025-07-03 16:05:31+00:00,96.0,0.03,0.0,0.0,0.0,0.0,8.0,210,0.0312596875,False,REGULAR,USD
IEF250711C00096500,2025-07-03 15:12:23+00:00,96.5,0.02,0.0,0.0,0.0,0.0,35.0,57,0.0312596875,False,REGULAR,USD
IEF250711C00097000,2025-06-30 14:24:55+00:00,97.0,0.05,0.0,0.0,0.0,0.0,5.0,11,0.062509375,False,REGULAR,USD
IEF250711C00097500,2025-07-03 13:30:17+00:00,97.5,0.02,0.0,0.0,0.0,0.0,2.0,5,0.062509375,False,REGULAR,USD
IEF250711C00098000,2025-06-17 14:03:32+00:00,98.0,0.04,0.0,0.0,0.0,0.0,4.0,4,0.062509375,False,REGULAR,USD
IEF250711C00098500,2025-06-27 18:01:15+00:00,98.5,0.01,0.0,0.0,0.0,0.0,1.0,3,0.062509375,False,REGULAR,USD
IEF250711C00099000,2025-05-29 20:03:55+00:00,99.0,0.09,0.01,0.02,0.0,0.0,100.0,100,0.1914143359375,False,REGULAR,USD
IEF250711C00100000,2025-06-27 18:01:29+00:00,100.0,0.02,0.0,0.0,0.0,0.0,1.0,7,0.12500875,False,REGULAR,USD
IEF250711C00101000,2025-06-05 13:53:16+00:00,101.0,0.03,0.0,0.01,0.0,0.0,,0,0.23438265625,False,REGULAR,USD
IEF250711C00102000,2025-06-05 13:53:16+00:00,102.0,0.02,0.0,0.01,0.0,0.0,,1,0.26563234375,False,REGULAR,USD
