contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
IGV250718C00080000,2025-07-10 19:51:37+00:00,80.0,29.22,25.5,29.7,0.0,0.0,1.0,0,1.15625421875,True,REGULAR,USD
IGV250718C00090000,2025-07-10 19:38:10+00:00,90.0,18.45,15.7,18.9,-1.5999985,-7.9800425,2.0,4,1.3740265673828125,True,REGULAR,USD
IGV250718C00093000,2025-06-02 16:53:21+00:00,93.0,11.9,13.8,17.0,0.0,0.0,3.0,4,1.0327196801757816,True,REGULAR,USD
IGV250718C00094000,2025-07-01 19:07:00+00:00,94.0,14.36,11.6,14.9,0.0,0.0,10.0,0,1.1376996240234376,True,REGULAR,USD
IGV250718C00095000,2025-06-20 18:01:11+00:00,95.0,10.8,10.7,14.7,0.0,0.0,3.0,4,0.6269568554687501,True,REGULAR,USD
IGV250718C00096000,2025-07-07 17:30:11+00:00,96.0,15.0,11.5,11.8,0.0,0.0,3.0,128,0.55273884765625,True,REGULAR,USD
IGV250718C00098000,2025-07-07 18:29:15+00:00,98.0,10.25,7.7,11.7,-2.4300003,-19.16404,1.0,14,0.500005,True,REGULAR,USD
IGV250718C00099000,2025-07-03 13:48:23+00:00,99.0,11.2,6.6,10.8,0.0,0.0,1.0,1,1.0546922265625,True,REGULAR,USD
IGV250718C00100000,2025-07-09 14:58:06+00:00,100.0,10.87,7.5,8.1,0.0,0.0,13.0,185,0.561527822265625,True,REGULAR,USD
IGV250718C00100500,2025-07-01 14:04:53+00:00,100.5,9.08,5.4,8.5,0.0,0.0,,5,0.7709983837890625,True,REGULAR,USD
IGV250718C00101000,2025-07-03 15:12:11+00:00,101.0,10.52,5.4,8.0,0.0,0.0,1.0,12,0.7397486962890624,True,REGULAR,USD
IGV250718C00102000,2025-07-10 13:36:49+00:00,102.0,9.25,5.5,5.9,0.0,0.0,4.0,103,0.39649041015625003,True,REGULAR,USD
IGV250718C00103000,2025-07-10 17:49:17+00:00,103.0,7.1,4.3,5.0,0.0,0.0,3.0,35,0.3745179736328125,True,REGULAR,USD
IGV250718C00104000,2025-07-11 19:58:08+00:00,104.0,3.9,3.7,4.0,-3.3399997,-46.132595,4.0,52,0.32031929687499994,True,REGULAR,USD
IGV250718C00105000,2025-07-11 19:04:06+00:00,105.0,3.12,2.0,3.3,-1.8299999,-36.969696,17.0,185,0.33008482421874996,True,REGULAR,USD
IGV250718C00106000,2025-07-11 18:01:25+00:00,106.0,2.6,1.2,2.35,-0.70000005,-21.212124,2.0,151,0.2739330419921875,True,REGULAR,USD
IGV250718C00107000,2025-07-11 19:04:04+00:00,107.0,1.55,1.15,1.65,-2.4600003,-61.346638,23.0,257,0.2546461254882813,True,REGULAR,USD
IGV250718C00108000,2025-07-11 18:18:46+00:00,108.0,0.85,0.85,1.1,-1.5300001,-64.28571,25.0,433,0.24390404541015626,False,REGULAR,USD
IGV250718C00109000,2025-07-11 19:53:06+00:00,109.0,0.54,0.5,0.65,-1.31,-70.81081,47.0,223,0.22901161621093752,False,REGULAR,USD
IGV250718C00110000,2025-07-11 19:55:16+00:00,110.0,0.34,0.25,0.35,-0.51,-59.999996,100.0,504,0.21875781249999998,False,REGULAR,USD
IGV250718C00111000,2025-07-11 15:17:01+00:00,111.0,0.25,0.0,0.35,-0.22999999,-47.916664,45.0,2635,0.26758544921875,False,REGULAR,USD
IGV250718C00112000,2025-07-11 19:33:23+00:00,112.0,0.07,0.0,0.15,-0.19,-73.07693,10.0,1189,0.2436599072265625,False,REGULAR,USD
IGV250718C00113000,2025-07-10 16:50:29+00:00,113.0,0.05,0.0,0.35,-0.120000005,-70.588234,3.0,1856,0.3569400244140625,False,REGULAR,USD
IGV250718C00114000,2025-07-11 19:48:18+00:00,114.0,0.04,0.0,0.4,-0.050000004,-55.555557,1.0,40,0.4155331884765625,False,REGULAR,USD
IGV250718C00115000,2025-07-10 18:08:59+00:00,115.0,0.1,0.0,0.75,0.0,0.0,19.0,30,0.5625043750000001,False,REGULAR,USD
IGV250718C00117000,2025-06-09 19:58:52+00:00,117.0,0.3,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
IGV250718C00120000,2025-06-17 15:27:13+00:00,120.0,0.01,0.0,1.35,-0.14,-93.33333,2.0,9,0.747072841796875,False,REGULAR,USD
IGV250718C00125000,2025-06-30 17:16:00+00:00,125.0,0.18,0.0,1.15,0.0,0.0,1.0,1,0.8911143701171874,False,REGULAR,USD
