contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
IGV250801P00100000,2025-07-10 16:04:30+00:00,100.0,0.3,0.0,1.15,0.0,0.0,2.0,2,0.7695335546875001,False,REGULAR,USD
IGV250801P00101500,2025-07-18 13:46:22+00:00,101.5,0.1,,1.15,0.0,0.0,,40,0.8793957373046875,False,REGULAR,USD
IGV250801P00102000,2025-07-18 13:46:19+00:00,102.0,0.1,,1.15,0.0,0.0,,10,0.852540537109375,False,REGULAR,USD
IGV250801P00103000,2025-07-18 13:46:21+00:00,103.0,0.15,0.0,1.15,0.0,0.0,40.0,66,0.6279334082031252,False,REGULAR,USD
IGV250801P00103500,2025-07-01 14:37:17+00:00,103.5,0.99,0.0,1.15,0.0,0.0,,2,0.6040078662109377,False,REGULAR,USD
IGV250801P00104500,2025-07-02 16:48:50+00:00,104.5,1.05,0.0,1.4,0.0,0.0,,2,0.5937540625000001,False,REGULAR,USD
IGV250801P00106000,2025-07-24 19:06:13+00:00,106.0,0.2,0.0,1.15,0.0,0.0,1.0,179,0.631839619140625,False,REGULAR,USD
IGV250801P00106500,2025-07-14 13:43:28+00:00,106.5,1.2,0.0,1.25,0.0,0.0,1.0,2,0.6264685791015626,False,REGULAR,USD
IGV250801P00107000,2025-07-16 19:21:37+00:00,107.0,0.93,0.0,1.25,0.0,0.0,6.0,3,0.5976602734375001,False,REGULAR,USD
IGV250801P00107500,2025-07-07 16:28:38+00:00,107.5,1.05,0.05,1.55,0.0,0.0,,1,0.6323278955078125,False,REGULAR,USD
IGV250801P00108000,2025-07-15 17:07:12+00:00,108.0,1.5,0.1,0.25,0.0,0.0,3.0,2,0.28711650390624993,False,REGULAR,USD
IGV250801P00108500,2025-07-22 17:28:16+00:00,108.5,0.77,0.15,0.6,0.0,0.0,1.0,2,0.362311064453125,False,REGULAR,USD
IGV250801P00109000,2025-07-25 18:56:27+00:00,109.0,0.18,0.15,0.3,-0.32,-64.0,5.0,77,0.2573316455078125,False,REGULAR,USD
IGV250801P00110000,2025-07-25 16:30:44+00:00,110.0,0.21,0.3,0.55,-0.44,-67.69231,6.0,5535,0.2695385546875,False,REGULAR,USD
IGV250801P00111000,2025-07-25 14:03:43+00:00,111.0,0.75,0.45,0.75,-0.14999998,-16.666664,2.0,69,0.25171646728515623,False,REGULAR,USD
IGV250801P00113000,2025-07-25 16:44:33+00:00,113.0,1.2,1.2,1.55,-0.5,-29.411762,2.0,13,0.24073024902343748,True,REGULAR,USD
