contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
JETS250606C00016500,2025-05-30 18:18:33+00:00,16.5,6.15,6.15,6.5,0.0,0.0,4.0,0,1.4921900390624998,True,REGULAR,USD
JETS250606C00017500,2025-05-30 18:18:33+00:00,17.5,5.15,5.15,5.5,0.0,0.0,3.0,0,1.2656286718749998,True,REGULAR,USD
JETS250606C00018500,2025-04-29 19:42:26+00:00,18.5,1.78,4.2,4.3,0.0,0.0,,12,0.8125018749999999,True,REGULAR,USD
JETS250606C00019000,2025-04-30 18:56:37+00:00,19.0,1.37,3.35,5.0,0.0,0.0,,54,1.4882838085937498,True,REGULAR,USD
JETS250606C00021000,2025-05-30 19:11:24+00:00,21.0,1.71,1.68,2.01,-0.059999943,-3.3898273,5.0,6,0.5429733203125001,True,REGULAR,USD
JETS250606C00021500,2025-05-27 15:56:05+00:00,21.5,1.4,1.07,1.56,0.0,0.0,3.0,4,0.6621127539062501,True,REGULAR,USD
JETS250606C00022000,2025-05-30 17:40:52+00:00,22.0,0.8,0.78,1.12,-0.31,-27.927929,17.0,9,0.56836369140625,True,REGULAR,USD
JETS250606C00022500,2025-05-30 19:31:27+00:00,22.5,0.5,0.47,0.63,-0.100000024,-16.66667,221.0,35,0.4101621484375,True,REGULAR,USD
JETS250606C00023000,2025-05-30 19:45:14+00:00,23.0,0.25,0.22,0.28,-0.030000001,-10.714286,134.0,347,0.32031929687499994,False,REGULAR,USD
JETS250606C00023500,2025-05-30 19:14:52+00:00,23.5,0.09,0.07,0.32,-0.029999994,-24.999996,23.0,55,0.49805189453125004,False,REGULAR,USD
JETS250606C00024000,2025-05-30 14:28:46+00:00,24.0,0.03,0.0,0.06,-0.03,-50.0,6.0,81,0.33008482421874996,False,REGULAR,USD
JETS250606C00024500,2025-05-28 16:37:26+00:00,24.5,0.05,0.0,0.75,0.0,0.0,1.0,2,0.789064609375,False,REGULAR,USD
JETS250606C00025000,2025-05-19 14:49:52+00:00,25.0,0.05,0.0,0.01,0.0,0.0,,1,0.3437565625,False,REGULAR,USD
JETS250606C00026000,2025-05-13 15:14:56+00:00,26.0,0.03,0.0,0.75,0.0,0.0,5.0,6,1.09375453125,False,REGULAR,USD
JETS250606C00027000,2025-05-08 13:55:25+00:00,27.0,0.02,0.0,0.56,0.0,0.0,,10,1.15234798828125,False,REGULAR,USD
JETS250606C00028000,2025-05-08 13:54:59+00:00,28.0,0.02,0.0,0.53,0.0,0.0,,5,1.2851598242187499,False,REGULAR,USD
JETS250606C00029000,2025-05-08 13:54:42+00:00,29.0,0.02,0.0,0.53,0.0,0.0,,5,1.4296903515625,False,REGULAR,USD
JETS250606C00030000,2025-05-08 19:07:54+00:00,30.0,0.03,0.0,0.02,0.0,0.0,,40,0.85937640625,False,REGULAR,USD
