contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
KRE250718C00028000,2025-06-20 16:56:58+00:00,28.0,28.9,33.85,37.5,0.0,0.0,30.0,0,4.4043013696289055,True,REGULAR,USD
KRE250718C00029000,2025-04-17 17:26:51+00:00,29.0,22.8,28.4,32.85,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00030000,2025-04-17 19:21:25+00:00,30.0,21.66,27.4,31.75,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00033000,2025-03-28 18:14:34+00:00,33.0,23.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00034000,2025-05-07 18:32:07+00:00,34.0,21.95,23.35,24.75,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00035000,2025-04-16 17:00:03+00:00,35.0,16.7,22.45,26.95,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00036000,2025-04-07 17:00:16+00:00,36.0,14.55,18.8,23.45,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00040000,2025-04-07 17:00:12+00:00,40.0,11.1,14.85,19.45,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00041000,2025-03-10 14:14:30+00:00,41.0,16.15,9.1,12.05,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00042000,2025-04-08 18:30:02+00:00,42.0,9.5,12.9,17.45,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00043000,2025-06-20 16:56:58+00:00,43.0,13.9,19.0,22.1,0.0,0.0,150.0,0,2.2558637353515625,True,REGULAR,USD
KRE250718C00044000,2025-07-07 14:53:22+00:00,44.0,19.15,18.6,21.05,0.0,0.0,16.0,16,2.3691447021484366,True,REGULAR,USD
KRE250718C00045000,2025-07-07 14:53:22+00:00,45.0,18.15,17.4,20.05,0.0,0.0,1.0,1,2.1816451708984372,True,REGULAR,USD
KRE250718C00046000,2025-04-24 18:30:10+00:00,46.0,9.43,8.85,13.0,0.0,0.0,4.0,12,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00047000,2025-06-10 19:31:25+00:00,47.0,11.95,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00048000,2025-04-30 19:36:39+00:00,48.0,7.15,7.3,11.4,0.0,0.0,4.0,1082,1.0000000000000003e-05,True,REGULAR,USD
KRE250718C00049000,2025-07-07 15:23:47+00:00,49.0,14.05,13.55,16.1,0.0,0.0,6.0,11,1.8173837255859375,True,REGULAR,USD
KRE250718C00050000,2025-07-11 13:30:03+00:00,50.0,13.13,12.65,15.1,6.21,89.73988,16.0,314,1.7402356738281248,True,REGULAR,USD
KRE250718C00051000,2025-07-07 16:29:48+00:00,51.0,11.75,11.5,14.1,0.0,0.0,8.0,411,1.5908223583984373,True,REGULAR,USD
KRE250718C00052000,2025-06-18 14:37:10+00:00,52.0,5.09,10.55,13.1,0.0,0.0,1.0,603,1.5009790576171875,True,REGULAR,USD
KRE250718C00053000,2025-07-08 14:14:04+00:00,53.0,9.92,9.55,12.05,-0.3800001,-3.6893215,10.0,932,1.3837921435546874,True,REGULAR,USD
KRE250718C00054000,2025-07-10 17:37:41+00:00,54.0,10.0,8.75,10.7,0.0,0.0,1.0,929,1.2412147314453121,True,REGULAR,USD
KRE250718C00055000,2025-07-10 19:42:58+00:00,55.0,8.82,7.55,9.75,0.0,0.0,1.0,597,1.1015669921875002,True,REGULAR,USD
KRE250718C00055500,2025-06-26 13:49:39+00:00,55.5,3.6,6.8,9.65,0.0,0.0,,2,1.0888717431640624,True,REGULAR,USD
KRE250718C00056000,2025-07-10 15:45:02+00:00,56.0,7.67,6.6,9.15,0.0,0.0,93.0,2797,1.109379453125,True,REGULAR,USD
KRE250718C00056500,2025-07-08 18:28:45+00:00,56.5,7.22,6.1,8.25,0.0,0.0,1.0,3,0.963867548828125,True,REGULAR,USD
KRE250718C00057000,2025-07-10 19:13:27+00:00,57.0,6.15,5.5,8.15,-0.63999987,-9.425624,17.0,4749,0.981445498046875,True,REGULAR,USD
KRE250718C00057500,2025-07-10 19:43:16+00:00,57.5,6.39,4.3,7.65,0.0,0.0,1.0,46,0.7685570019531252,True,REGULAR,USD
KRE250718C00058000,2025-07-10 19:20:58+00:00,58.0,5.81,4.4,7.2,0.0,0.0,375.0,4888,0.8652357226562499,True,REGULAR,USD
KRE250718C00058500,2025-07-11 19:36:10+00:00,58.5,4.8,4.1,6.7,-0.4199996,-8.04597,17.0,267,0.8530288134765626,True,REGULAR,USD
KRE250718C00059000,2025-07-10 19:20:58+00:00,59.0,4.24,3.65,6.25,-0.61000013,-12.577322,551.0,17792,0.8173846386718748,True,REGULAR,USD
KRE250718C00059500,2025-07-11 19:28:26+00:00,59.5,3.81,3.15,5.75,-0.09000015,-2.307696,1.0,843,0.7612328564453126,True,REGULAR,USD
KRE250718C00060000,2025-07-11 15:11:28+00:00,60.0,3.4,3.0,4.0,-0.39999986,-10.526312,3.0,26117,0.532231240234375,True,REGULAR,USD
KRE250718C00060500,2025-07-07 17:30:14+00:00,60.5,2.65,2.34,4.1,-0.16999984,-6.028363,1.0,63,0.5625043750000001,True,REGULAR,USD
KRE250718C00061000,2025-07-11 14:21:40+00:00,61.0,2.53,2.07,2.66,-0.56999993,-18.387096,27.0,29348,0.48389187988281257,True,REGULAR,USD
KRE250718C00061500,2025-07-11 15:21:55+00:00,61.5,2.04,1.68,3.45,-0.49,-19.36759,13.0,288,0.5610395458984375,True,REGULAR,USD
KRE250718C00062000,2025-07-11 18:39:06+00:00,62.0,1.67,1.32,2.87,-0.44999993,-21.226414,6.0,6059,0.5043994873046875,True,REGULAR,USD
KRE250718C00062500,2025-07-11 14:48:20+00:00,62.5,1.19,1.0,3.0,-0.6099999,-33.888885,27.0,2271,0.5610395458984375,True,REGULAR,USD
KRE250718C00063000,2025-07-11 19:42:54+00:00,63.0,1.0,0.66,1.7,-0.39999998,-28.571426,411.0,10001,0.5449264257812501,False,REGULAR,USD
KRE250718C00064000,2025-07-11 19:54:25+00:00,64.0,0.49,0.27,0.76,-0.40999997,-45.555553,81.0,10361,0.38086556640624997,False,REGULAR,USD
KRE250718C00065000,2025-07-11 19:54:25+00:00,65.0,0.28,0.15,2.33,-0.19,-40.42553,1904.0,19062,0.6518589501953126,False,REGULAR,USD
KRE250718C00066000,2025-07-11 15:11:30+00:00,66.0,0.13,0.0,2.2,-0.15,-53.571434,37.0,14641,0.708010732421875,False,REGULAR,USD
KRE250718C00067000,2025-07-11 17:44:16+00:00,67.0,0.08,0.0,1.32,-0.060000002,-42.857143,2.0,1496,0.6347692773437501,False,REGULAR,USD
KRE250718C00068000,2025-07-11 14:45:33+00:00,68.0,0.03,0.0,1.6,-0.049999997,-62.5,1.0,1057,0.7753928710937501,False,REGULAR,USD
KRE250718C00069000,2025-07-11 19:37:32+00:00,69.0,0.01,0.0,1.27,-0.03,-75.0,2.0,1325,0.7832052929687501,False,REGULAR,USD
KRE250718C00070000,2025-07-10 16:24:27+00:00,70.0,0.02,0.0,0.8,0.0,0.0,5.0,3625,0.73633076171875,False,REGULAR,USD
KRE250718C00071000,2025-07-07 13:30:09+00:00,71.0,0.04,0.0,0.9,0.0,0.0,2.0,261,0.8300798242187499,False,REGULAR,USD
KRE250718C00072000,2025-07-10 15:57:47+00:00,72.0,0.01,0.0,1.16,0.0,0.0,1.0,35,0.965820654296875,False,REGULAR,USD
KRE250718C00073000,2025-07-01 16:39:53+00:00,73.0,0.02,0.0,1.06,0.0,0.0,20.0,41,1.0029346728515625,False,REGULAR,USD
KRE250718C00074000,2025-06-10 13:56:10+00:00,74.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
KRE250718C00075000,2025-04-11 18:09:26+00:00,75.0,0.04,0.02,0.03,0.0,0.0,175.0,615,0.6171913281250001,False,REGULAR,USD
KRE250718C00076000,2025-05-22 16:12:43+00:00,76.0,0.01,0.0,4.8,0.0,0.0,2.0,153,2.014653400878906,False,REGULAR,USD
KRE250718C00077000,2025-07-03 15:00:34+00:00,77.0,0.02,0.0,1.02,0.0,0.0,1.0,10070,1.2265663671875,False,REGULAR,USD
KRE250718C00078000,2025-03-07 20:42:19+00:00,78.0,0.28,0.0,0.0,0.0,0.0,4.0,29,0.500005,False,REGULAR,USD
KRE250718C00079000,2025-02-18 16:01:12+00:00,79.0,0.68,0.0,0.1,0.0,0.0,,0,0.8476577734374999,False,REGULAR,USD
KRE250718C00080000,2025-02-26 15:11:34+00:00,80.0,0.36,0.04,2.0,0.0,0.0,,1,1.685548447265625,False,REGULAR,USD
KRE250718C00081000,2025-03-14 16:41:30+00:00,81.0,0.09,0.0,0.02,0.0,0.0,2.0,7,0.7500025,False,REGULAR,USD
KRE250718C00083000,2025-04-10 19:41:17+00:00,83.0,0.02,0.0,2.13,0.0,0.0,1.0,9,1.875000625,False,REGULAR,USD
KRE250718C00085000,2025-01-30 14:45:50+00:00,85.0,0.33,0.0,0.4,0.0,0.0,,6,1.3398470507812497,False,REGULAR,USD
KRE250718C00086000,2025-02-04 15:33:24+00:00,86.0,0.24,0.0,0.0,0.0,0.0,,3,0.500005,False,REGULAR,USD
KRE250718C00090000,2025-01-28 20:07:53+00:00,90.0,0.16,0.01,0.51,0.0,0.0,10.0,20,1.611330068359375,False,REGULAR,USD
