contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NUGT250718C00045000,2025-07-03 16:05:05+00:00,45.0,30.65,28.3,32.1,0.0,0.0,141,29,1.984375078125,True,REGULAR,USD
NUGT250718C00050000,2025-06-13 19:58:29+00:00,50.0,32.2,23.4,27.1,0.0,0.0,5,8,1.71484517578125,True,REGULAR,USD
NUGT250718C00051000,2025-06-20 13:41:17+00:00,51.0,26.3,22.1,26.1,0.0,0.0,14,14,1.21875390625,True,REGULAR,USD
NUGT250718C00054000,2025-07-11 16:59:37+00:00,54.0,20.8,19.2,23.1,-0.70000076,-3.2558177,3,3,1.2382850585937497,True,REGULAR,USD
NUGT250718C00055000,2025-06-30 18:33:45+00:00,55.0,18.65,18.3,22.0,0.0,0.0,10,10,1.1796916015624999,True,REGULAR,USD
NUGT250718C00057000,2025-07-09 17:56:33+00:00,57.0,15.2,16.2,20.1,0.0,0.0,1,0,1.05859845703125,True,REGULAR,USD
NUGT250718C00058000,2025-06-20 17:14:17+00:00,58.0,19.12,15.2,19.1,0.0,0.0,5,5,1.000005,True,REGULAR,USD
NUGT250718C00059000,2025-06-02 13:53:55+00:00,59.0,21.39,14.0,16.7,0.0,0.0,10,11,1.486330693359375,True,REGULAR,USD
NUGT250718C00060000,2025-07-11 15:06:42+00:00,60.0,14.93,13.2,17.0,-1.1700001,-7.267081,10,31,0.7421900781249999,True,REGULAR,USD
NUGT250718C00061000,2025-05-27 19:16:00+00:00,61.0,11.7,8.6,12.3,0.0,0.0,6,7,1.0000000000000003e-05,True,REGULAR,USD
NUGT250718C00062000,2025-07-08 17:45:08+00:00,62.0,8.96,11.3,15.0,0.0,0.0,1,14,0.773439765625,True,REGULAR,USD
NUGT250718C00063000,2025-07-07 18:58:56+00:00,63.0,13.95,10.4,13.6,0.0,0.0,1,6,1.5947285888671874,True,REGULAR,USD
NUGT250718C00064000,2025-07-09 17:11:25+00:00,64.0,8.8,10.1,13.3,0.0,0.0,2,11,1.0957076464843751,True,REGULAR,USD
NUGT250718C00065000,2025-07-11 17:00:33+00:00,65.0,9.8,8.5,12.3,1.4800005,17.788467,2,50,0.8437515624999999,True,REGULAR,USD
NUGT250718C00066000,2025-07-07 17:33:01+00:00,66.0,11.25,7.6,10.6,0.0,0.0,10,23,1.3168979467773436,True,REGULAR,USD
NUGT250718C00067000,2025-05-22 14:02:14+00:00,67.0,7.08,8.7,11.9,0.0,0.0,2,1,1.4653347045898437,True,REGULAR,USD
NUGT250718C00068000,2025-07-11 17:48:58+00:00,68.0,7.03,5.9,9.5,0.9100003,14.869287,10,18,0.7861349511718749,True,REGULAR,USD
NUGT250718C00069000,2025-07-08 19:59:12+00:00,69.0,3.9,5.0,8.6,0.0,0.0,1,2,0.7490259472656251,True,REGULAR,USD
NUGT250718C00070000,2025-07-11 18:46:09+00:00,70.0,6.1,4.5,6.2,2.5,69.44445,84,119,0.8095722167968749,True,REGULAR,USD
NUGT250718C00071000,2025-07-10 19:52:12+00:00,71.0,4.0,3.2,7.1,0.0,0.0,3,80,0.7016631396484375,True,REGULAR,USD
NUGT250718C00071500,2025-07-11 15:48:58+00:00,71.5,4.7,2.85,6.8,1.5999999,51.6129,1,38,0.709963837890625,True,REGULAR,USD
NUGT250718C00072000,2025-07-11 13:54:50+00:00,72.0,4.3,2.7,4.7,0.9000001,26.470589,18,89,0.772463212890625,True,REGULAR,USD
NUGT250718C00073000,2025-07-11 19:07:32+00:00,73.0,3.9,3.6,3.8,1.1400001,41.30435,72,308,0.6669955175781253,True,REGULAR,USD
NUGT250718C00073500,2025-07-11 18:33:37+00:00,73.5,3.5,3.2,3.6,1.0,40.0,5,17,0.6665072412109377,True,REGULAR,USD
NUGT250718C00074000,2025-07-11 19:57:35+00:00,74.0,2.65,2.95,3.6,0.84000015,46.40885,35,22,0.7084990087890625,True,REGULAR,USD
NUGT250718C00075000,2025-07-11 19:52:39+00:00,75.0,2.68,2.45,2.8,0.7800001,41.052635,153,426,0.6738313867187502,True,REGULAR,USD
NUGT250718C00076000,2025-07-11 19:50:08+00:00,76.0,2.18,1.95,2.4,0.6300001,40.645172,72,186,0.6752962158203126,False,REGULAR,USD
NUGT250718C00076500,2025-07-11 17:35:46+00:00,76.5,1.87,1.6,3.0,0.67999995,57.14285,4,19,0.762697685546875,False,REGULAR,USD
NUGT250718C00077000,2025-07-11 19:26:35+00:00,77.0,1.86,1.75,1.95,0.61,48.8,56,505,0.6948272705078126,False,REGULAR,USD
NUGT250718C00078000,2025-07-11 19:57:39+00:00,78.0,1.4,1.45,1.6,0.60999995,77.21518,30,246,0.700198310546875,False,REGULAR,USD
NUGT250718C00079000,2025-07-11 18:57:42+00:00,79.0,1.27,0.0,2.1,0.52,69.333336,47,31,0.6459996337890624,False,REGULAR,USD
NUGT250718C00080000,2025-07-11 19:59:35+00:00,80.0,1.0,0.95,1.1,0.39999998,66.666664,132,285,0.7138700488281251,False,REGULAR,USD
NUGT250718C00081000,2025-07-11 18:07:13+00:00,81.0,0.85,0.7,0.9,0.39000002,84.782616,95,107,0.70898728515625,False,REGULAR,USD
NUGT250718C00082000,2025-07-11 17:39:49+00:00,82.0,0.68,0.55,0.7,0.23000002,51.111115,70,57,0.7075224560546876,False,REGULAR,USD
NUGT250718C00083000,2025-07-11 19:02:14+00:00,83.0,0.55,0.0,0.6,-1.1299999,-67.2619,12,18,0.614261669921875,False,REGULAR,USD
NUGT250718C00084000,2025-07-11 16:28:14+00:00,84.0,0.4,0.0,1.1,-0.24999997,-38.461536,5,11,0.7934590966796875,False,REGULAR,USD
NUGT250718C00085000,2025-07-11 19:21:37+00:00,85.0,0.36,0.0,0.45,0.22000001,157.14287,8,89,0.6679720703125002,False,REGULAR,USD
NUGT250718C00086000,2025-07-11 19:41:56+00:00,86.0,0.26,0.0,0.35,0.099999994,62.5,121,44,0.6757844921875001,False,REGULAR,USD
NUGT250718C00087000,2025-07-01 13:30:12+00:00,87.0,0.95,0.0,2.15,0.0,0.0,4,27,1.1826212744140623,False,REGULAR,USD
NUGT250718C00088000,2025-06-30 19:56:45+00:00,88.0,0.6,0.0,1.7,0.0,0.0,3,4,1.1460003637695313,False,REGULAR,USD
NUGT250718C00089000,2025-06-24 13:30:00+00:00,89.0,1.3,0.0,1.55,0.0,0.0,1,1,1.1650432373046877,False,REGULAR,USD
NUGT250718C00090000,2025-07-11 19:43:37+00:00,90.0,0.11,0.0,0.15,0.009999998,9.999998,163,159,0.726565234375,False,REGULAR,USD
NUGT250718C00095000,2025-07-01 13:30:01+00:00,95.0,0.57,0.0,0.75,0.0,0.0,1,310,1.2148476757812499,False,REGULAR,USD
NUGT250718C00100000,2025-07-11 15:05:48+00:00,100.0,0.02,0.0,0.85,-0.030000001,-60.000004,1,11,1.4482449462890625,False,REGULAR,USD
NUGT250718C00115000,2025-07-07 19:14:09+00:00,115.0,0.05,0.0,2.15,0.0,0.0,10,10,2.4013711840820307,False,REGULAR,USD
NUGT250718C00120000,2025-07-11 18:55:01+00:00,120.0,0.05,0.0,0.05,0.0,0.0,6,48,1.40625296875,False,REGULAR,USD
