contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDL250613P00020000,2025-05-21 17:24:57+00:00,20.0,0.14,0.0,0.5,0.0,0.0,,15,4.1562548046875,False,REGULAR,USD
NVDL250613P00025000,2025-05-28 16:55:22+00:00,25.0,0.05,0.0,0.5,0.0,0.0,1.0,41,3.3437516406249994,False,REGULAR,USD
NVDL250613P00026000,2025-05-13 17:50:37+00:00,26.0,0.34,0.0,0.5,0.0,0.0,1.0,32,3.2031269921874994,False,REGULAR,USD
NVDL250613P00027000,2025-05-30 14:19:37+00:00,27.0,0.09,0.0,0.5,0.0,0.0,36.0,39,3.0664085839843747,False,REGULAR,USD
NVDL250613P00028000,2025-05-09 16:29:23+00:00,28.0,0.99,0.0,0.5,0.0,0.0,,10,2.933596416015625,False,REGULAR,USD
NVDL250613P00029000,2025-06-02 18:09:01+00:00,29.0,0.02,0.0,0.5,0.0,0.0,60.0,66,2.8085967285156253,False,REGULAR,USD
NVDL250613P00029500,2025-05-12 14:57:33+00:00,29.5,0.69,0.0,0.5,0.0,0.0,2.0,2,2.746096884765625,False,REGULAR,USD
NVDL250613P00030000,2025-06-04 17:44:37+00:00,30.0,0.03,0.0,0.75,0.0,0.0,1.0,14,2.9101589746093754,False,REGULAR,USD
NVDL250613P00031000,2025-05-08 19:51:10+00:00,31.0,1.51,0.0,0.5,0.0,0.0,,20,2.566409833984375,False,REGULAR,USD
NVDL250613P00031500,2025-05-16 18:42:14+00:00,31.5,0.42,0.0,0.5,0.0,0.0,1.0,1,2.50781623046875,False,REGULAR,USD
NVDL250613P00032000,2025-05-23 13:41:20+00:00,32.0,0.5,0.0,0.5,0.0,0.0,1.0,2,2.4492226269531248,False,REGULAR,USD
NVDL250613P00032500,2025-05-13 13:30:09+00:00,32.5,0.73,0.01,0.5,0.0,0.0,1.0,3,2.4023477441406245,False,REGULAR,USD
NVDL250613P00033000,2025-05-29 15:52:30+00:00,33.0,0.15,0.01,0.5,0.0,0.0,2.0,7,2.3476603808593746,False,REGULAR,USD
NVDL250613P00033500,2025-05-14 14:29:28+00:00,33.5,0.6,0.01,0.5,0.0,0.0,,2,2.291019897460937,False,REGULAR,USD
NVDL250613P00034000,2025-05-23 15:58:38+00:00,34.0,0.62,0.01,0.5,0.0,0.0,1.0,9,2.2382856542968748,False,REGULAR,USD
NVDL250613P00034500,2025-05-14 15:04:59+00:00,34.5,0.71,0.01,0.5,0.0,0.0,3.0,2,2.183598291015625,False,REGULAR,USD
NVDL250613P00035000,2025-06-03 15:29:08+00:00,35.0,0.44,0.01,0.5,0.0,0.0,1.0,10,2.128910927734375,False,REGULAR,USD
NVDL250613P00035500,2025-05-29 15:49:29+00:00,35.5,0.16,0.01,0.5,0.0,0.0,16.0,56,2.0781298046874994,False,REGULAR,USD
NVDL250613P00036000,2025-06-05 19:19:43+00:00,36.0,0.05,0.01,0.05,0.0,0.0,250.0,254,1.4375028125,False,REGULAR,USD
NVDL250613P00036500,2025-05-13 13:30:04+00:00,36.5,1.69,0.02,0.5,0.0,0.0,1.0,2,1.984375078125,False,REGULAR,USD
NVDL250613P00037000,2025-06-05 19:17:11+00:00,37.0,0.05,0.05,0.08,0.0,0.0,11.0,61,1.5156274218749999,False,REGULAR,USD
NVDL250613P00037500,2025-06-05 15:19:01+00:00,37.5,0.09,0.02,0.5,0.0,0.0,1.0,114,1.8828130859374999,False,REGULAR,USD
NVDL250613P00038000,2025-05-30 16:50:40+00:00,38.0,0.31,0.02,0.36,0.0,0.0,2.0,89,1.72265763671875,False,REGULAR,USD
NVDL250613P00038500,2025-06-06 15:57:24+00:00,38.5,0.04,0.04,0.06,-0.04,-50.0,25.0,211,1.3437532812499997,False,REGULAR,USD
NVDL250613P00039000,2025-06-06 19:48:27+00:00,39.0,0.08,0.02,0.1,-0.030000001,-27.272728,50.0,25,1.3398470507812497,False,REGULAR,USD
