contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
OIH250530P00125000,2025-04-22 14:08:10+00:00,125.0,0.46,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
OIH250530P00140000,2025-04-22 14:07:56+00:00,140.0,0.73,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
OIH250530P00150000,2025-04-21 19:32:41+00:00,150.0,1.34,0.0,0.55,0.0,0.0,,3,1.7441419042968749,False,REGULAR,USD
OIH250530P00170000,2025-04-15 17:36:32+00:00,170.0,3.53,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
OIH250530P00175000,2025-04-24 14:59:18+00:00,175.0,1.9,0.0,1.5,0.0,0.0,,2,1.3276400805664061,False,REGULAR,USD
OIH250530P00180000,2025-05-14 13:55:50+00:00,180.0,0.07,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
OIH250530P00185000,2025-05-09 15:22:15+00:00,185.0,1.11,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
OIH250530P00188000,2025-05-20 19:11:07+00:00,188.0,0.08,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
OIH250530P00190000,2025-05-12 14:16:17+00:00,190.0,0.3,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
OIH250530P00193000,2025-05-22 19:55:25+00:00,193.0,0.17,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
OIH250530P00195000,2025-05-22 13:42:58+00:00,195.0,0.8,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
OIH250530P00198000,2025-05-23 16:20:02+00:00,198.0,0.45,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
OIH250530P00200000,2025-05-22 17:36:01+00:00,200.0,0.55,0.0,0.0,0.0,0.0,1001.0,0,0.12500875,False,REGULAR,USD
OIH250530P00202500,2025-05-14 14:59:07+00:00,202.5,0.7,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
OIH250530P00205000,2025-05-21 19:31:47+00:00,205.0,1.67,0.0,0.0,0.0,0.0,341.0,0,0.12500875,False,REGULAR,USD
OIH250530P00207500,2025-05-23 14:21:27+00:00,207.5,1.7,0.0,0.0,0.0,0.0,4.0,0,0.12500875,False,REGULAR,USD
OIH250530P00210000,2025-05-23 19:39:43+00:00,210.0,1.36,0.0,0.0,0.0,0.0,4.0,0,0.062509375,False,REGULAR,USD
OIH250530P00212500,2025-05-23 14:15:29+00:00,212.5,2.93,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD
OIH250530P00215000,2025-05-23 18:46:53+00:00,215.0,3.05,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD
OIH250530P00217500,2025-05-23 14:19:07+00:00,217.5,5.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
OIH250530P00220000,2025-05-22 19:32:16+00:00,220.0,6.07,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
OIH250530P00222500,2025-05-19 15:05:15+00:00,222.5,3.8,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
OIH250530P00225000,2025-05-20 15:13:41+00:00,225.0,5.3,0.0,0.0,0.0,0.0,27.0,0,1.0000000000000003e-05,True,REGULAR,USD
OIH250530P00230000,2025-05-22 18:32:25+00:00,230.0,14.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
OIH250530P00235000,2025-05-15 13:40:53+00:00,235.0,11.24,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
OIH250530P00250000,2025-04-25 13:55:03+00:00,250.0,35.6,31.8,35.7,0.0,0.0,5.0,0,0.500005,True,REGULAR,USD
OIH250530P00260000,2025-04-25 13:55:03+00:00,260.0,45.2,41.5,45.7,0.0,0.0,5.0,0,1.4501980615234376,True,REGULAR,USD
