contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
QQQ250725C00350000,2025-07-15 14:57:00+00:00,350.0,208.38,209.55,212.89,0.0,0.0,3.0,4,1.890381407470703,True,REGULAR,USD
QQQ250725C00355000,2025-07-09 14:49:25+00:00,355.0,200.13,204.56,207.89,0.0,0.0,,1,1.8413093872070312,True,REGULAR,USD
QQQ250725C00360000,2025-07-09 14:49:34+00:00,360.0,195.08,199.56,202.89,0.0,0.0,,1,1.7927256457519531,True,REGULAR,USD
QQQ250725C00390000,2025-07-09 14:49:25+00:00,390.0,165.17,169.59,172.92,0.0,0.0,,2,1.5183129553222656,True,REGULAR,USD
QQQ250725C00400000,2025-07-09 16:27:21+00:00,400.0,154.9,159.6,162.93,0.0,0.0,,602,0.7187528125,True,REGULAR,USD
QQQ250725C00405000,2025-07-09 20:02:10+00:00,405.0,152.1,154.6,158.42,0.0,0.0,,11,1.0253954980468751,True,REGULAR,USD
QQQ250725C00410000,2025-07-14 19:15:29+00:00,410.0,147.41,149.6,153.43,0.0,0.0,2.0,1,0.9941406835937501,True,REGULAR,USD
QQQ250725C00415000,2025-07-15 16:21:35+00:00,415.0,144.47,144.61,147.94,0.0,0.0,1.0,3,0.710940390625,True,REGULAR,USD
QQQ250725C00420000,2025-07-11 19:01:39+00:00,420.0,135.43,139.61,142.95,0.0,0.0,4.0,10,0.70312796875,True,REGULAR,USD
QQQ250725C00425000,2025-07-17 16:50:32+00:00,425.0,137.39,134.62,137.94,0.0,0.0,1.0,3,0.6757844921875001,True,REGULAR,USD
QQQ250725C00430000,2025-07-11 19:04:37+00:00,430.0,125.2,129.62,132.96,0.0,0.0,4.0,4,0.6757844921875001,True,REGULAR,USD
QQQ250725C00435000,2025-07-18 16:06:32+00:00,435.0,126.99,124.63,127.96,7.3399963,6.134556,11.0,10,0.6562534375000001,True,REGULAR,USD
QQQ250725C00440000,2025-07-18 17:56:17+00:00,440.0,121.0,119.63,122.97,4.8499985,4.1756334,1.0,3,0.63867548828125,True,REGULAR,USD
QQQ250725C00445000,2025-07-14 14:15:44+00:00,445.0,109.63,114.64,117.97,0.0,0.0,1.0,3,0.6191444335937502,True,REGULAR,USD
QQQ250725C00450000,2025-07-15 16:32:18+00:00,450.0,111.13,109.64,112.98,1.5799942,1.4422585,1.0,39,0.5976602734375001,True,REGULAR,USD
QQQ250725C00455000,2025-07-15 17:31:14+00:00,455.0,105.71,104.65,108.47,1.9000015,1.8302683,3.0,8,0.7128934960937501,True,REGULAR,USD
QQQ250725C00460000,2025-07-16 15:34:31+00:00,460.0,101.27,99.65,102.99,7.0399933,7.471074,2.0,6,0.5546919531250001,True,REGULAR,USD
