contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
RSP250620P00095000,2025-04-23 14:17:37+00:00,95.0,0.15,0.0,5.0,0.0,0.0,50.0,52,3.6411141784667973,False,REGULAR,USD
RSP250620P00100000,2025-04-24 19:08:48+00:00,100.0,0.08,0.0,5.0,0.0,0.0,13.0,15,3.3925796435546873,False,REGULAR,USD
RSP250620P00110000,2025-04-11 16:24:42+00:00,110.0,0.69,0.0,0.75,0.0,0.0,,1,1.951172119140625,False,REGULAR,USD
RSP250620P00115000,2024-12-26 17:55:57+00:00,115.0,0.45,0.0,0.75,0.0,0.0,,2,1.79296978515625,False,REGULAR,USD
RSP250620P00120000,2025-04-14 19:54:16+00:00,120.0,0.57,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
RSP250620P00125000,2025-04-09 19:53:44+00:00,125.0,0.61,0.0,1.25,0.0,0.0,1.0,1,1.6416033544921875,False,REGULAR,USD
RSP250620P00130000,2025-05-06 15:23:55+00:00,130.0,0.3,0.0,5.0,0.0,0.0,1.0,139,2.0986375659179686,False,REGULAR,USD
RSP250620P00135000,2025-04-30 14:27:56+00:00,135.0,0.83,0.0,6.2,0.0,0.0,1.0,128,2.042973642578125,False,REGULAR,USD
RSP250620P00140000,2025-05-23 13:30:46+00:00,140.0,0.15,0.0,0.2,0.0,0.0,6.0,505,0.86132951171875,False,REGULAR,USD
RSP250620P00145000,2025-05-27 13:30:08+00:00,145.0,0.11,0.0,1.5,0.0,0.0,1.0,178,1.0903365795898439,False,REGULAR,USD
RSP250620P00150000,2025-06-11 14:06:00+00:00,150.0,0.1,0.0,0.35,0.0,0.0,2.0,1083,0.6992217578125001,False,REGULAR,USD
RSP250620P00155000,2025-06-13 19:16:49+00:00,155.0,0.2,0.0,0.4,0.15,300.00003,1.0,3134,0.596683720703125,False,REGULAR,USD
RSP250620P00160000,2025-06-11 18:40:46+00:00,160.0,0.09,0.0,0.2,0.0,0.0,7.0,8746,0.47852083984375,False,REGULAR,USD
RSP250620P00165000,2025-06-12 19:00:36+00:00,165.0,0.1,0.0,1.55,0.0,0.0,8.0,1138,0.5127001855468749,False,REGULAR,USD
RSP250620P00167000,2025-06-09 19:59:31+00:00,167.0,0.1,0.0,3.1,0.0,0.0,2.0,4777,0.5854533642578125,False,REGULAR,USD
RSP250620P00168000,2025-06-10 14:20:08+00:00,168.0,0.08,0.0,1.1,0.0,0.0,2.0,368,0.47900911621093745,False,REGULAR,USD
RSP250620P00169000,2025-06-12 19:16:14+00:00,169.0,0.15,0.05,5.0,0.0,0.0,11.0,149,0.6508823974609376,False,REGULAR,USD
RSP250620P00170000,2025-06-11 19:04:48+00:00,170.0,0.23,0.05,0.45,0.08,53.33333,1.0,10540,0.29834686035156244,False,REGULAR,USD
RSP250620P00171000,2025-06-10 13:30:07+00:00,171.0,0.18,0.0,0.65,0.0,0.0,1.0,187,0.3061592822265625,False,REGULAR,USD
RSP250620P00172000,2025-06-12 19:17:19+00:00,172.0,0.25,0.05,5.0,0.049999997,24.999998,3.0,10153,0.5290574438476563,False,REGULAR,USD
RSP250620P00173000,2025-06-12 14:14:06+00:00,173.0,0.3,0.0,1.7,0.0,0.0,10.0,112,0.38477177734374995,False,REGULAR,USD
RSP250620P00174000,2025-06-12 19:35:06+00:00,174.0,0.45,0.15,1.05,0.16,55.172413,2.0,228,0.2622144091796875,False,REGULAR,USD
RSP250620P00175000,2025-06-13 19:49:38+00:00,175.0,0.7,0.0,5.0,0.29999998,74.99999,32.0,185,0.6774934594726563,False,REGULAR,USD
RSP250620P00176000,2025-06-13 19:49:38+00:00,176.0,0.98,0.0,5.0,0.49,100.0,11.0,7142,0.6252478881835939,False,REGULAR,USD
RSP250620P00177000,2025-06-12 19:35:06+00:00,177.0,0.61,0.0,1.5,0.0,0.0,6.0,562,0.18421225952148437,False,REGULAR,USD
RSP250620P00178000,2025-06-13 19:39:15+00:00,178.0,1.85,0.0,4.9,0.99,115.11627,18.0,1492,0.5026905200195313,True,REGULAR,USD
RSP250620P00179000,2025-06-13 19:32:11+00:00,179.0,2.62,0.0,5.0,1.3399999,104.6875,9.0,373,0.4523980541992188,True,REGULAR,USD
RSP250620P00180000,2025-06-13 18:21:26+00:00,180.0,3.34,0.4,5.4,1.67,100.0,8.0,207,0.4304256176757813,True,REGULAR,USD
RSP250620P00181000,2025-05-15 19:26:16+00:00,181.0,4.3,0.8,5.8,0.0,0.0,6.0,6,0.4028380029296875,True,REGULAR,USD
RSP250620P00182000,2025-06-13 17:40:04+00:00,182.0,4.1,1.8,6.8,1.0999999,36.666664,10.0,139,0.44165597412109375,True,REGULAR,USD
RSP250620P00183000,2025-04-08 19:30:07+00:00,183.0,28.1,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
RSP250620P00184000,2025-04-08 19:30:07+00:00,184.0,29.1,0.0,0.0,0.0,0.0,174.0,0,1.0000000000000003e-05,True,REGULAR,USD
RSP250620P00185000,2025-06-12 16:10:02+00:00,185.0,4.5,4.9,9.9,0.0,0.0,5.0,15,0.5620160986328125,True,REGULAR,USD
RSP250620P00186000,2024-12-10 17:44:26+00:00,186.0,6.9,11.0,15.9,0.0,0.0,1.0,3,0.9077157666015624,True,REGULAR,USD
RSP250620P00187000,2025-04-16 19:49:51+00:00,187.0,26.29,4.6,9.6,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
RSP250620P00188000,2025-06-03 19:13:42+00:00,188.0,10.0,7.9,12.9,0.0,0.0,4.0,21,0.6604037866210939,True,REGULAR,USD
RSP250620P00189000,2025-04-16 19:49:51+00:00,189.0,28.29,6.6,11.6,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
RSP250620P00190000,2025-04-14 14:15:09+00:00,190.0,27.3,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
RSP250620P00200000,2025-05-13 19:14:19+00:00,200.0,21.82,19.5,24.4,0.0,0.0,3.0,0,0.9143074975585939,True,REGULAR,USD
