contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
RSP250711C00172500,2025-06-12 13:53:45+00:00,172.5,7.46,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00175000,2025-06-20 16:22:33+00:00,175.0,4.18,0.0,0.0,0.0,0.0,8.0,7,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00177000,2025-06-27 18:59:49+00:00,177.0,4.52,0.0,0.0,0.0,0.0,70.0,23,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00177500,2025-06-20 19:09:21+00:00,177.5,2.4,0.0,0.0,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00178000,2025-06-18 19:55:22+00:00,178.0,2.3,0.0,0.0,0.0,0.0,4.0,34,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00179000,2025-06-25 19:59:33+00:00,179.0,2.13,0.0,0.0,0.0,0.0,1.0,103,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00180000,2025-07-01 16:44:57+00:00,180.0,4.65,0.0,0.0,0.0,0.0,22.0,38,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00181000,2025-07-03 15:34:02+00:00,181.0,4.7,0.0,0.0,0.0,0.0,1.0,57,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00182000,2025-07-03 15:15:48+00:00,182.0,3.89,0.0,0.0,0.0,0.0,5.0,70,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00182500,2025-07-03 15:28:22+00:00,182.5,3.15,0.0,0.0,0.0,0.0,7.0,18,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00183000,2025-07-03 14:56:08+00:00,183.0,3.6,0.0,0.0,0.0,0.0,109.0,114,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00184000,2025-07-03 15:19:07+00:00,184.0,2.56,0.0,0.0,0.0,0.0,2.0,31,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00185000,2025-07-03 16:58:55+00:00,185.0,1.4,0.0,0.0,0.0,0.0,84.0,132,1.0000000000000003e-05,True,REGULAR,USD
RSP250711C00186000,2025-07-03 16:15:42+00:00,186.0,0.85,0.0,0.0,0.0,0.0,8.0,27,0.015634843750000002,False,REGULAR,USD
RSP250711C00187000,2025-07-03 13:52:41+00:00,187.0,0.35,0.0,0.0,0.0,0.0,6.0,8,0.0312596875,False,REGULAR,USD
RSP250711C00187500,2025-07-02 18:33:04+00:00,187.5,0.27,0.0,0.0,0.0,0.0,,13,0.0312596875,False,REGULAR,USD
RSP250711C00188000,2025-07-02 19:56:36+00:00,188.0,0.73,0.0,0.0,0.0,0.0,,3,0.0312596875,False,REGULAR,USD
RSP250711C00189000,2025-07-02 17:59:09+00:00,189.0,0.14,0.0,0.0,0.0,0.0,,174,0.0312596875,False,REGULAR,USD
