contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SCHD250725C00023000,2025-06-05 17:40:03+00:00,23.0,3.71,3.8,4.5,0.0,0.0,,0,0.87500125,True,REGULAR,USD
SCHD250725C00023500,2025-07-09 18:25:59+00:00,23.5,3.55,3.4,4.5,-0.35000014,-8.974362,1.0,1,1.16016044921875,True,REGULAR,USD
SCHD250725C00024000,2025-07-09 18:25:59+00:00,24.0,3.12,2.5,3.6,-0.48000002,-13.333334,1.0,2,1.19141029296875,True,REGULAR,USD
SCHD250725C00024500,2025-06-10 19:32:08+00:00,24.5,2.82,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
SCHD250725C00025000,2025-07-16 18:04:18+00:00,25.0,1.88,1.95,2.3,0.0,0.0,10.0,1,0.6796907031250001,True,REGULAR,USD
SCHD250725C00025500,2025-07-18 14:05:56+00:00,25.5,1.75,1.45,1.65,0.27999997,19.047617,5.0,28,0.42188078125,True,REGULAR,USD
SCHD250725C00026000,2025-07-17 18:27:07+00:00,26.0,1.26,1.0,1.15,0.110000014,9.565219,2.0,123,0.3242255078124999,True,REGULAR,USD
SCHD250725C00026500,2025-07-18 19:52:38+00:00,26.5,0.6,0.55,0.65,-0.120000005,-16.666668,15.0,118,0.22071091796874998,True,REGULAR,USD
SCHD250725C00027000,2025-07-18 19:55:09+00:00,27.0,0.18,0.15,0.25,-0.16999999,-48.571426,315.0,731,0.1601646484375,True,REGULAR,USD
SCHD250725C00027500,2025-07-18 19:58:08+00:00,27.5,0.05,0.05,0.1,-0.040000003,-44.444447,93.0,754,0.18360191406249998,False,REGULAR,USD
SCHD250725C00028000,2025-07-17 19:36:13+00:00,28.0,0.03,0.0,0.05,-0.020000001,-40.000004,5.0,169,0.21875781249999998,False,REGULAR,USD
SCHD250725C00028500,2025-07-11 15:49:24+00:00,28.5,0.04,0.0,0.05,0.0,0.0,1.0,10,0.2929758203124999,False,REGULAR,USD
SCHD250725C00029000,2025-06-23 13:30:04+00:00,29.0,0.28,0.0,0.05,0.0,0.0,,1,0.3632876171875,False,REGULAR,USD
SCHD250725C00030000,2025-07-14 16:41:28+00:00,30.0,0.17,0.0,0.3,0.0,0.0,35.0,38,0.6445348046875,False,REGULAR,USD
