contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SOXL250620P00001000,2025-06-06 18:57:06+00:00,1.0,0.01,0.0,0.01,0.0,0.0,65.0,129,8.75000453125,False,REGULAR,USD
SOXL250620P00002000,2025-05-06 15:28:06+00:00,2.0,0.01,0.0,0.02,0.0,0.0,,1,7.125001093750001,False,REGULAR,USD
SOXL250620P00003000,2025-05-30 16:33:20+00:00,3.0,0.01,0.0,0.02,0.0,0.0,8.0,93,5.87500265625,False,REGULAR,USD
SOXL250620P00004000,2025-06-03 13:47:49+00:00,4.0,0.01,0.0,0.08,0.0,0.0,1.0,169,5.937502578125001,False,REGULAR,USD
SOXL250620P00005000,2025-06-11 15:21:26+00:00,5.0,0.01,0.0,0.02,0.0,0.0,2.0,916,4.2500046875,False,REGULAR,USD
SOXL250620P00006000,2025-06-09 14:38:59+00:00,6.0,0.02,0.0,0.01,0.0,0.0,1.0,915,3.50000125,False,REGULAR,USD
SOXL250620P00007000,2025-06-13 19:54:54+00:00,7.0,0.01,0.0,0.02,0.0,0.0,39.0,2564,3.2500018749999997,False,REGULAR,USD
SOXL250620P00008000,2025-06-13 19:59:14+00:00,8.0,0.01,0.0,0.04,0.0,0.0,217.0,3357,3.156252109375,False,REGULAR,USD
SOXL250620P00009000,2025-06-13 19:58:50+00:00,9.0,0.02,0.0,0.05,0.0,0.0,6.0,2002,2.8750028125,False,REGULAR,USD
SOXL250620P00010000,2025-06-13 19:38:53+00:00,10.0,0.02,0.01,0.02,0.0,0.0,48.0,3099,2.3437541406249993,False,REGULAR,USD
SOXL250620P00011000,2025-06-13 19:35:55+00:00,11.0,0.02,0.01,0.03,0.0,0.0,89.0,1724,2.1250046874999997,False,REGULAR,USD
SOXL250620P00012000,2025-06-13 19:54:12+00:00,12.0,0.03,0.01,0.04,0.01,50.0,899.0,5333,1.9062504687500001,False,REGULAR,USD
SOXL250620P00012500,2025-06-13 19:41:03+00:00,12.5,0.04,0.03,0.06,-0.010000002,-20.000004,21.0,621,1.953125234375,False,REGULAR,USD
SOXL250620P00013000,2025-06-13 19:32:19+00:00,13.0,0.05,0.03,0.04,0.0,0.0,126.0,4058,1.734376328125,False,REGULAR,USD
SOXL250620P00013500,2025-06-13 19:58:39+00:00,13.5,0.06,0.02,0.1,0.009999998,19.999996,6.0,1058,1.765626171875,False,REGULAR,USD
SOXL250620P00014000,2025-06-13 19:45:27+00:00,14.0,0.05,0.06,0.09,0.010000002,25.000006,526.0,2837,1.6953140234375002,False,REGULAR,USD
SOXL250620P00014500,2025-06-13 19:56:36+00:00,14.5,0.06,0.06,0.07,0.009999998,19.999996,384.0,1041,1.5156274218749999,False,REGULAR,USD
SOXL250620P00015000,2025-06-13 19:59:02+00:00,15.0,0.09,0.07,0.09,0.030000005,50.00001,974.0,6298,1.4375028125,False,REGULAR,USD
SOXL250620P00015500,2025-06-13 19:42:27+00:00,15.5,0.11,0.1,0.11,0.05,83.333336,300.0,2037,1.3906280468749999,False,REGULAR,USD
SOXL250620P00016000,2025-06-13 19:59:39+00:00,16.0,0.13,0.12,0.14,0.049999997,62.5,2247.0,4880,1.3203158984374999,False,REGULAR,USD
SOXL250620P00016500,2025-06-13 19:56:27+00:00,16.5,0.15,0.15,0.18,0.07000001,87.500015,551.0,6193,1.2656286718749998,False,REGULAR,USD
SOXL250620P00017000,2025-06-13 19:59:35+00:00,17.0,0.2,0.2,0.22,0.1,100.0,1506.0,5655,1.2070352148437498,False,REGULAR,USD
SOXL250620P00017500,2025-06-13 19:59:41+00:00,17.5,0.27,0.26,0.28,0.14000002,107.69232,1933.0,2464,1.154301103515625,False,REGULAR,USD
SOXL250620P00018000,2025-06-13 19:59:38+00:00,18.0,0.36,0.35,0.38,0.21000001,140.0,4818.0,5856,1.12891060546875,False,REGULAR,USD
SOXL250620P00018500,2025-06-13 19:59:13+00:00,18.5,0.49,0.45,0.49,0.29000002,145.00002,6728.0,2092,1.0859420703125,False,REGULAR,USD
SOXL250620P00019000,2025-06-13 19:59:33+00:00,19.0,0.6,0.59,0.65,0.33,122.22222,12014.0,3855,1.0625046875000002,False,REGULAR,USD
SOXL250620P00019500,2025-06-13 19:59:38+00:00,19.5,0.78,0.76,0.8,0.41999996,116.66665,3094.0,2601,1.017583037109375,False,REGULAR,USD
SOXL250620P00020000,2025-06-13 19:59:39+00:00,20.0,0.97,0.95,0.99,0.52000004,115.55557,14773.0,4527,0.96679720703125,False,REGULAR,USD
SOXL250620P00020500,2025-06-13 19:58:23+00:00,20.5,1.25,1.21,1.25,0.68,119.29824,6449.0,1255,0.9492192578124999,True,REGULAR,USD
SOXL250620P00021000,2025-06-13 19:59:18+00:00,21.0,1.51,1.5,1.53,0.78999996,109.722206,4077.0,2468,0.914063359375,True,REGULAR,USD
SOXL250620P00021500,2025-06-13 19:59:32+00:00,21.5,1.88,1.84,1.89,0.95,102.150536,1564.0,2172,0.9082040429687499,True,REGULAR,USD
SOXL250620P00022000,2025-06-13 19:58:02+00:00,22.0,2.27,2.21,2.29,1.11,95.68966,1074.0,2351,0.90429783203125,True,REGULAR,USD
SOXL250620P00022500,2025-06-13 19:58:54+00:00,22.5,2.6,2.43,2.75,1.0999999,73.33333,590.0,809,0.7812521875,True,REGULAR,USD
SOXL250620P00023000,2025-06-13 18:11:00+00:00,23.0,3.05,3.05,3.15,1.24,68.50829,97.0,308,0.8984385156249999,True,REGULAR,USD
SOXL250620P00023500,2025-06-13 19:25:20+00:00,23.5,3.5,3.5,3.65,1.3699999,64.319244,440.0,23,0.9414068359375,True,REGULAR,USD
SOXL250620P00024000,2025-06-13 18:04:15+00:00,24.0,3.8,3.7,4.25,1.31,52.61044,4.0,121,0.6875031250000001,True,REGULAR,USD
SOXL250620P00025000,2025-06-13 18:31:00+00:00,25.0,5.05,4.8,5.25,1.6300001,47.66082,34.0,216,1.0546922265625,True,REGULAR,USD
SOXL250620P00026000,2025-06-12 16:07:15+00:00,26.0,4.35,5.6,6.55,0.0,0.0,202.0,78,1.3515657421874998,True,REGULAR,USD
SOXL250620P00027000,2025-06-13 19:14:05+00:00,27.0,6.79,6.85,7.05,2.0900002,44.46809,28.0,22,1.421877890625,True,REGULAR,USD
SOXL250620P00028000,2025-06-11 19:26:54+00:00,28.0,6.7,7.45,8.55,0.0,0.0,5.0,6,1.3437532812499997,True,REGULAR,USD
SOXL250620P00029000,2025-06-09 14:37:46+00:00,29.0,8.03,8.4,9.5,0.0,0.0,20.0,14,2.605472236328125,True,REGULAR,USD
SOXL250620P00030000,2025-06-11 18:31:13+00:00,30.0,8.95,9.55,10.55,0.0,0.0,1.0,1,1.7968760156249999,True,REGULAR,USD
SOXL250620P00034000,2025-05-13 17:42:59+00:00,34.0,15.41,13.4,14.35,0.0,0.0,,8,3.0117212207031248,True,REGULAR,USD
SOXL250620P00035000,2025-06-13 19:19:54+00:00,35.0,14.89,14.4,15.35,1.2400007,9.084254,1.0,4,3.1250021875,True,REGULAR,USD
