contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SOXL250711C00005000,2025-06-30 19:49:59+00:00,5.0,19.75,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00007000,2025-06-16 13:46:06+00:00,7.0,14.25,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00008000,2025-05-30 17:44:11+00:00,8.0,7.6,16.75,19.2,0.0,0.0,10,0,8.585942133789063,True,REGULAR,USD
SOXL250711C00009000,2025-05-30 17:43:10+00:00,9.0,6.9,16.5,17.6,0.0,0.0,5,0,5.406253242187499,True,REGULAR,USD
SOXL250711C00010000,2025-06-20 17:46:57+00:00,10.0,10.96,0.0,0.0,0.0,0.0,40,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00011000,2025-06-24 19:56:07+00:00,11.0,13.17,0.0,0.0,0.0,0.0,32,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00011500,2025-06-24 15:15:57+00:00,11.5,12.49,0.0,0.0,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00012000,2025-06-26 14:18:43+00:00,12.0,13.19,0.0,0.0,0.0,0.0,66,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00012500,2025-07-03 14:31:22+00:00,12.5,14.07,0.0,0.0,0.0,0.0,20,56,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00013000,2025-06-24 15:53:14+00:00,13.0,10.7,0.0,0.0,0.0,0.0,1,34,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00013500,2025-07-03 14:59:33+00:00,13.5,13.1,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00014000,2025-06-30 14:24:17+00:00,14.0,10.99,0.0,0.0,0.0,0.0,20,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00014500,2025-06-30 19:34:13+00:00,14.5,10.58,0.0,0.0,0.0,0.0,1,60,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00015000,2025-07-03 16:45:04+00:00,15.0,11.5,0.0,0.0,0.0,0.0,7,71,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00015500,2025-07-02 18:56:03+00:00,15.5,10.62,0.0,0.0,0.0,0.0,38,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00016000,2025-07-03 15:26:30+00:00,16.0,10.55,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00016500,2025-07-03 15:27:18+00:00,16.5,10.02,0.0,0.0,0.0,0.0,38,220,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00017000,2025-07-03 16:35:48+00:00,17.0,9.61,0.0,0.0,0.0,0.0,16,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00017500,2025-07-03 16:53:48+00:00,17.5,8.82,0.0,0.0,0.0,0.0,20,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00018000,2025-07-03 16:27:25+00:00,18.0,8.51,0.0,0.0,0.0,0.0,17,820,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00018500,2025-07-03 16:47:34+00:00,18.5,7.87,0.0,0.0,0.0,0.0,30,202,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00019000,2025-07-03 15:46:08+00:00,19.0,7.64,0.0,0.0,0.0,0.0,35,356,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00019500,2025-07-03 16:08:47+00:00,19.5,7.18,0.0,0.0,0.0,0.0,61,194,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00020000,2025-07-03 16:50:00+00:00,20.0,6.4,0.0,0.0,0.0,0.0,136,1522,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00020500,2025-07-03 16:58:55+00:00,20.5,5.9,0.0,0.0,0.0,0.0,91,749,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00021000,2025-07-03 16:59:32+00:00,21.0,5.5,0.0,0.0,0.0,0.0,82,1976,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00021500,2025-07-03 16:51:40+00:00,21.5,4.95,0.0,0.0,0.0,0.0,119,1262,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00022000,2025-07-03 16:55:03+00:00,22.0,4.55,0.0,0.0,0.0,0.0,733,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00022500,2025-07-03 16:53:00+00:00,22.5,3.95,0.0,0.0,0.0,0.0,54,1089,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00023000,2025-07-03 16:52:03+00:00,23.0,3.55,0.0,0.0,0.0,0.0,402,0,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00023500,2025-07-03 16:54:40+00:00,23.5,3.14,0.0,0.0,0.0,0.0,58,557,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00024000,2025-07-03 16:56:48+00:00,24.0,2.74,0.0,0.0,0.0,0.0,1273,3062,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00024500,2025-07-03 16:59:39+00:00,24.5,2.38,0.0,0.0,0.0,0.0,456,2177,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00025000,2025-07-03 16:59:58+00:00,25.0,1.99,0.0,0.0,0.0,0.0,1926,5873,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00026000,2025-07-03 16:59:57+00:00,26.0,1.38,0.0,0.0,0.0,0.0,4724,7998,1.0000000000000003e-05,True,REGULAR,USD
SOXL250711C00027000,2025-07-03 16:59:58+00:00,27.0,0.87,0.0,0.0,0.0,0.0,10775,0,0.062509375,False,REGULAR,USD
SOXL250711C00028000,2025-07-03 16:59:44+00:00,28.0,0.51,0.0,0.0,0.0,0.0,3537,8098,0.12500875,False,REGULAR,USD
SOXL250711C00029000,2025-07-03 16:59:20+00:00,29.0,0.29,0.0,0.0,0.0,0.0,2898,0,0.2500075,False,REGULAR,USD
SOXL250711C00030000,2025-07-03 16:57:29+00:00,30.0,0.14,0.0,0.0,0.0,0.0,2148,6244,0.2500075,False,REGULAR,USD
SOXL250711C00031000,2025-07-03 16:58:50+00:00,31.0,0.08,0.0,0.0,0.0,0.0,2836,0,0.2500075,False,REGULAR,USD
SOXL250711C00032000,2025-07-03 16:58:48+00:00,32.0,0.07,0.0,0.0,0.0,0.0,468,1171,0.500005,False,REGULAR,USD
SOXL250711C00033000,2025-07-03 16:35:38+00:00,33.0,0.02,0.0,0.0,0.0,0.0,120,430,0.500005,False,REGULAR,USD
SOXL250711C00034000,2025-07-03 16:29:49+00:00,34.0,0.02,0.0,0.0,0.0,0.0,1117,1161,0.500005,False,REGULAR,USD
SOXL250711C00035000,2025-07-03 16:24:24+00:00,35.0,0.02,0.0,0.0,0.0,0.0,1002,0,0.500005,False,REGULAR,USD
SOXL250711C00036000,2025-06-30 19:14:07+00:00,36.0,0.02,0.0,0.0,0.0,0.0,419,0,0.500005,False,REGULAR,USD
SOXL250711C00037000,2025-07-03 16:15:43+00:00,37.0,0.03,0.0,0.0,0.0,0.0,1040,0,0.500005,False,REGULAR,USD
