contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXL250801P00080000,2025-06-20 13:45:46+00:00,80.0,0.05,0.0,0.65,0.0,0.0,1.0,1,3.1914082714843746,False,REGULAR,USD
SPXL250801P00090000,2025-07-07 13:30:12+00:00,90.0,0.12,0.0,0.95,0.0,0.0,,2,2.9589869775390625,False,REGULAR,USD
SPXL250801P00095000,2025-07-07 19:42:40+00:00,95.0,0.25,0.0,1.15,0.0,0.0,,2,2.853518491210937,False,REGULAR,USD
SPXL250801P00100000,2025-06-20 15:50:50+00:00,100.0,1.1,0.0,1.75,0.0,0.0,10.0,10,2.8769559326171876,False,REGULAR,USD
SPXL250801P00110000,2025-07-21 16:07:06+00:00,110.0,0.35,0.0,0.2,0.0,0.0,1.0,1,1.7773448632812499,False,REGULAR,USD
SPXL250801P00120000,2025-06-18 19:04:37+00:00,120.0,2.43,0.0,2.15,0.0,0.0,,1,2.2441450146484367,False,REGULAR,USD
SPXL250801P00130000,2025-07-23 18:44:40+00:00,130.0,0.1,0.0,0.95,0.0,0.0,11.0,23,1.619142529296875,False,REGULAR,USD
SPXL250801P00135000,2025-07-25 17:33:10+00:00,135.0,0.08,0.0,0.3,0.009999998,14.285712,50.0,47,1.22266013671875,False,REGULAR,USD
SPXL250801P00140000,2025-07-25 19:46:50+00:00,140.0,0.06,0.05,0.1,-0.32999998,-84.61539,5.0,43,1.0039112304687499,False,REGULAR,USD
SPXL250801P00144000,2025-07-25 18:45:12+00:00,144.0,0.1,0.0,0.15,-1.62,-94.18604,8.0,9,0.9179695703125,False,REGULAR,USD
SPXL250801P00145000,2025-07-21 13:30:13+00:00,145.0,0.1,0.0,0.35,-0.24000001,-70.588234,1.0,17,1.013676806640625,False,REGULAR,USD
SPXL250801P00146000,2025-07-01 18:30:17+00:00,146.0,2.0,0.0,1.15,0.0,0.0,,1,1.2270546459960938,False,REGULAR,USD
SPXL250801P00147000,2025-06-27 13:56:14+00:00,147.0,2.6,0.0,1.15,0.0,0.0,4.0,4,1.2001993115234375,False,REGULAR,USD
SPXL250801P00149000,2025-07-14 14:37:21+00:00,149.0,0.88,0.0,2.2,0.0,0.0,2.0,3,1.3300814746093748,False,REGULAR,USD
SPXL250801P00149500,2025-07-14 17:20:23+00:00,149.5,0.97,0.0,2.2,0.0,0.0,3.0,2,1.3154331103515622,False,REGULAR,USD
SPXL250801P00150000,2025-07-25 15:16:02+00:00,150.0,0.1,0.0,0.1,-0.050000004,-33.333336,32.0,175,0.7539087109375,False,REGULAR,USD
SPXL250801P00151000,2025-07-10 19:00:39+00:00,151.0,0.95,0.0,2.1,0.0,0.0,1.0,1,1.2563513745117185,False,REGULAR,USD
SPXL250801P00152000,2025-07-25 19:55:28+00:00,152.0,0.08,0.05,2.25,-0.42000002,-84.0,10.0,24,1.255863095703125,False,REGULAR,USD
SPXL250801P00153000,2025-07-15 19:46:41+00:00,153.0,1.18,0.0,1.15,0.0,0.0,1.0,5,1.040043862304688,False,REGULAR,USD
SPXL250801P00154000,2025-07-14 17:25:58+00:00,154.0,1.22,0.0,1.15,0.0,0.0,1.0,2,1.013676806640625,False,REGULAR,USD
SPXL250801P00155000,2025-07-24 18:16:00+00:00,155.0,0.2,0.0,0.5,0.0,0.0,1.0,17,0.8378922460937499,False,REGULAR,USD
SPXL250801P00156000,2025-06-20 13:42:48+00:00,156.0,8.58,0.0,0.7,0.0,0.0,1.0,1,0.867188828125,False,REGULAR,USD
SPXL250801P00157000,2025-06-25 13:50:33+00:00,157.0,5.7,0.0,1.15,0.0,0.0,7.0,7,0.9355475195312499,False,REGULAR,USD
SPXL250801P00157500,2025-07-17 17:21:34+00:00,157.5,1.0,0.0,1.15,0.0,0.0,3.0,3,0.922852333984375,False,REGULAR,USD
SPXL250801P00159000,2025-07-23 19:02:34+00:00,159.0,0.32,0.0,1.15,0.0,0.0,1.0,2,0.883790224609375,False,REGULAR,USD
SPXL250801P00160000,2025-07-25 18:10:03+00:00,160.0,0.3,0.0,0.6,0.04000002,15.3846245,1.0,42,0.7480493945312501,False,REGULAR,USD
SPXL250801P00161000,2025-07-25 18:54:00+00:00,161.0,0.19,0.0,0.95,-10.71,-98.25689,1.0,0,0.79687703125,False,REGULAR,USD
SPXL250801P00162000,2025-07-24 13:43:37+00:00,162.0,0.35,0.0,1.15,0.0,0.0,1.0,4,0.805666005859375,False,REGULAR,USD
SPXL250801P00162500,2025-07-23 18:46:11+00:00,162.5,0.4,0.0,0.6,-0.049999982,-11.111108,1.0,4,0.6894562304687502,False,REGULAR,USD
SPXL250801P00163000,2025-07-21 15:12:38+00:00,163.0,0.8,0.0,1.15,0.0,0.0,2.0,2,0.780275634765625,False,REGULAR,USD
SPXL250801P00164000,2025-07-21 15:14:04+00:00,164.0,0.87,0.0,0.95,0.0,0.0,1.0,9,0.7216824707031251,False,REGULAR,USD
SPXL250801P00165000,2025-07-25 14:53:55+00:00,165.0,0.3,0.05,0.5,-0.03999999,-11.764703,8.0,67,0.6201209863281252,False,REGULAR,USD
SPXL250801P00166000,2025-07-21 18:25:26+00:00,166.0,1.02,0.0,0.85,0.0,0.0,2.0,6,0.6547886083984377,False,REGULAR,USD
SPXL250801P00167000,2025-07-25 16:08:03+00:00,167.0,0.3,0.0,0.7,-0.099999994,-24.999998,1.0,26,0.6035195898437502,False,REGULAR,USD
SPXL250801P00167500,2025-07-24 19:50:33+00:00,167.5,0.45,0.0,0.75,0.0,0.0,4.0,7,0.6005899316406251,False,REGULAR,USD
SPXL250801P00168000,2025-07-25 18:31:53+00:00,168.0,0.35,0.0,0.95,-0.15,-30.000002,28.0,49,0.6215858154296876,False,REGULAR,USD
SPXL250801P00169000,2025-07-24 15:01:01+00:00,169.0,0.75,0.0,1.0,0.0,0.0,2.0,13,0.6040078662109377,False,REGULAR,USD
SPXL250801P00170000,2025-07-25 19:19:36+00:00,170.0,0.37,0.3,0.55,-0.23000002,-38.333336,21.0,72,0.5561567822265626,False,REGULAR,USD
SPXL250801P00171000,2025-07-25 17:09:18+00:00,171.0,0.43,0.0,1.15,-0.26999998,-38.571426,2.0,44,0.5732464550781251,False,REGULAR,USD
SPXL250801P00172000,2025-07-25 18:35:00+00:00,172.0,0.46,0.45,0.5,-0.39000002,-45.882355,9.0,35,0.5210008837890624,False,REGULAR,USD
SPXL250801P00173000,2025-07-25 13:32:41+00:00,173.0,0.75,0.0,0.85,-0.19999999,-21.05263,24.0,54,0.5830119824218749,False,REGULAR,USD
