contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXU250613P00019000,2025-06-06 19:45:52+00:00,19.0,0.63,0.0,0.7,0.22999999,57.5,44.0,43,0.49805189453125004,True,REGULAR,USD
SPXU250613P00019500,2025-06-05 19:57:06+00:00,19.5,0.72,0.8,1.1,0.0,0.0,14.0,37,0.5644574804687501,True,REGULAR,USD
SPXU250613P00020000,2025-06-06 18:57:26+00:00,20.0,1.48,1.2,1.9,0.35000002,30.973452,10.0,283,0.64648791015625,True,REGULAR,USD
SPXU250613P00020500,2025-06-04 14:32:27+00:00,20.5,1.83,0.1,4.0,0.0,0.0,2.0,5,0.773439765625,True,REGULAR,USD
SPXU250613P00021000,2025-06-02 14:38:54+00:00,21.0,1.65,0.3,4.5,0.0,0.0,17.0,23,0.6289099609375001,True,REGULAR,USD
SPXU250613P00021500,2025-06-03 14:01:38+00:00,21.5,2.35,2.4,3.4,0.0,0.0,2.0,4,0.7187528125,True,REGULAR,USD
SPXU250613P00022000,2025-06-02 14:03:51+00:00,22.0,2.16,2.95,3.9,0.0,0.0,33.0,40,0.867188828125,True,REGULAR,USD
SPXU250613P00022500,2025-05-07 14:34:46+00:00,22.5,1.67,3.2,4.5,0.0,0.0,,0,0.6953155468750001,True,REGULAR,USD
SPXU250613P00023000,2025-05-12 19:59:30+00:00,23.0,3.2,3.7,4.9,0.0,0.0,4.0,0,1.7890635546875,True,REGULAR,USD
SPXU250613P00024000,2025-05-12 13:43:01+00:00,24.0,3.81,4.7,5.9,0.0,0.0,,1,1.9882813085937499,True,REGULAR,USD
SPXU250613P00024500,2025-05-12 14:34:05+00:00,24.5,4.36,5.4,6.6,0.0,0.0,1.0,1,1.44140904296875,True,REGULAR,USD
SPXU250613P00026000,2025-05-21 14:29:23+00:00,26.0,6.63,6.5,7.9,0.0,0.0,2.0,0,2.345707260742187,True,REGULAR,USD
