contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250703P00375000,2025-06-25 13:30:09+00:00,375.0,0.01,0.0,0.01,0.0,0.0,1.0,1865.0,1.125004375,False,REGULAR,USD
SPY250703P00380000,2025-06-23 16:55:14+00:00,380.0,0.02,0.0,0.01,0.0,0.0,521.0,663.0,1.09375453125,False,REGULAR,USD
SPY250703P00385000,2025-06-24 13:33:13+00:00,385.0,0.01,0.0,0.01,0.0,0.0,1.0,1282.0,1.0625046875000002,False,REGULAR,USD
SPY250703P00390000,2025-06-25 16:23:53+00:00,390.0,0.01,0.0,0.01,0.0,0.0,2.0,590.0,1.0312548437500002,False,REGULAR,USD
SPY250703P00395000,2025-06-24 14:52:54+00:00,395.0,0.01,0.0,0.01,0.0,0.0,2.0,657.0,1.000005,False,REGULAR,USD
SPY250703P00400000,2025-06-24 16:49:57+00:00,400.0,0.01,0.0,0.01,0.0,0.0,603.0,770.0,0.9687503125,False,REGULAR,USD
SPY250703P00405000,2025-06-26 16:35:53+00:00,405.0,0.01,0.0,0.01,0.0,0.0,1.0,256.0,0.9531254687499999,False,REGULAR,USD
SPY250703P00410000,2025-06-26 19:49:49+00:00,410.0,0.01,0.0,0.01,0.0,0.0,1.0,914.0,0.937500625,False,REGULAR,USD
SPY250703P00415000,2025-06-25 13:33:55+00:00,415.0,0.01,0.0,0.01,0.0,0.0,63.0,3282.0,0.9062509375,False,REGULAR,USD
SPY250703P00420000,2025-06-24 19:16:58+00:00,420.0,0.01,0.0,0.01,0.0,0.0,56.0,4794.0,0.87500125,False,REGULAR,USD
SPY250703P00425000,2025-06-25 13:30:05+00:00,425.0,0.01,0.0,0.01,0.0,0.0,50.0,270.0,0.8437515624999999,False,REGULAR,USD
SPY250703P00430000,2025-06-27 16:43:39+00:00,430.0,0.01,0.0,0.01,0.0,0.0,11.0,1083.0,0.8125018749999999,False,REGULAR,USD
SPY250703P00435000,2025-06-25 13:31:36+00:00,435.0,0.01,0.0,0.01,0.0,0.0,210.0,344.0,0.79687703125,False,REGULAR,USD
SPY250703P00440000,2025-06-25 18:57:52+00:00,440.0,0.01,0.0,0.01,0.0,0.0,154.0,440.0,0.7812521875,False,REGULAR,USD
SPY250703P00445000,2025-06-25 19:29:07+00:00,445.0,0.02,0.0,0.01,0.0,0.0,5.0,633.0,0.7500025,False,REGULAR,USD
SPY250703P00450000,2025-06-26 17:36:36+00:00,450.0,0.01,0.0,0.01,0.0,0.0,18.0,5780.0,0.7187528125,False,REGULAR,USD
SPY250703P00455000,2025-06-27 14:10:36+00:00,455.0,0.01,0.0,0.01,0.0,0.0,1.0,461.0,0.70312796875,False,REGULAR,USD
SPY250703P00460000,2025-06-26 15:50:10+00:00,460.0,0.01,0.0,0.01,0.0,0.0,2.0,1156.0,0.6718782812500002,False,REGULAR,USD
SPY250703P00465000,2025-06-26 17:58:10+00:00,465.0,0.02,0.0,0.01,0.0,0.0,98.0,562.0,0.6562534375000001,False,REGULAR,USD
SPY250703P00470000,2025-06-26 15:58:44+00:00,470.0,0.01,0.0,0.01,0.0,0.0,61.0,1085.0,0.6250037500000001,False,REGULAR,USD
SPY250703P00475000,2025-06-27 20:02:15+00:00,475.0,0.01,0.0,0.01,0.0,0.0,20.0,835.0,0.6093789062500001,False,REGULAR,USD
SPY250703P00480000,2025-06-27 17:16:49+00:00,480.0,0.01,0.0,0.01,-0.01,-50.0,626.0,424.0,0.57812921875,False,REGULAR,USD
SPY250703P00485000,2025-06-27 18:27:09+00:00,485.0,0.01,0.0,0.01,-0.01,-50.0,938.0,1582.0,0.5625043750000001,False,REGULAR,USD
SPY250703P00490000,2025-06-27 19:22:06+00:00,490.0,0.01,0.0,0.01,-0.01,-50.0,413.0,1357.0,0.5312546875,False,REGULAR,USD
SPY250703P00495000,2025-06-27 16:37:32+00:00,495.0,0.02,0.0,0.01,0.0,0.0,11.0,1757.0,0.51562984375,False,REGULAR,USD
SPY250703P00500000,2025-06-27 20:03:23+00:00,500.0,0.01,0.01,0.02,-0.01,-50.0,78.0,4722.0,0.5390671093750001,False,REGULAR,USD
SPY250703P00505000,2025-06-27 16:44:27+00:00,505.0,0.01,0.0,0.01,0.0,0.0,75.0,1382.0,0.500005,False,REGULAR,USD
SPY250703P00510000,2025-06-27 20:02:37+00:00,510.0,0.01,0.0,0.01,-0.02,-66.66667,25.0,5991.0,0.476567734375,False,REGULAR,USD
SPY250703P00515000,2025-06-27 20:09:45+00:00,515.0,0.01,0.0,0.01,-0.01,-50.0,11.0,1699.0,0.45313046875,False,REGULAR,USD
SPY250703P00520000,2025-06-27 19:02:31+00:00,520.0,0.02,0.01,0.02,0.0,0.0,468.0,2731.0,0.45703667968750006,False,REGULAR,USD
SPY250703P00525000,2025-06-27 19:00:45+00:00,525.0,0.01,0.01,0.02,-0.01,-50.0,1055.0,1784.0,0.4335994140625,False,REGULAR,USD
SPY250703P00530000,2025-06-27 19:10:21+00:00,530.0,0.01,0.01,0.02,-0.03,-75.0,1201.0,3764.0,0.4101621484375,False,REGULAR,USD
SPY250703P00535000,2025-06-27 20:04:21+00:00,535.0,0.02,0.01,0.02,-0.02,-50.0,1368.0,5571.0,0.38477177734374995,False,REGULAR,USD
SPY250703P00540000,2025-06-27 20:10:21+00:00,540.0,0.02,0.01,0.02,-0.02,-50.0,1294.0,5167.0,0.36133451171875,False,REGULAR,USD
SPY250703P00545000,2025-06-27 20:14:47+00:00,545.0,0.02,0.02,0.03,-0.030000001,-60.000004,139.0,2729.0,0.35156898437499995,False,REGULAR,USD
SPY250703P00550000,2025-06-27 19:40:12+00:00,550.0,0.03,0.02,0.03,-0.020000001,-40.000004,737.0,8950.0,0.32813171874999997,False,REGULAR,USD
SPY250703P00555000,2025-06-27 19:27:02+00:00,555.0,0.03,0.02,0.03,-0.03,-50.0,96.0,2488.0,0.304694453125,False,REGULAR,USD
SPY250703P00558000,2025-06-27 19:45:43+00:00,558.0,0.02,0.02,0.03,-0.04,-66.66667,20.0,1559.0,0.2890696093749999,False,REGULAR,USD
