contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SVIX250725P00009500,2025-07-11 18:58:52+00:00,9.5,0.02,0.0,0.75,0.0,0.0,95,95,3.4843762890625003,False,REGULAR,USD
SVIX250725P00011000,2025-07-17 19:14:18+00:00,11.0,0.03,0.0,0.05,0.0,0.0,11,12,1.46875265625,False,REGULAR,USD
SVIX250725P00012000,2025-07-16 15:52:10+00:00,12.0,0.05,0.0,0.05,0.0,0.0,6,42,1.1875040625,False,REGULAR,USD
SVIX250725P00012500,2025-07-16 15:55:15+00:00,12.5,0.05,0.0,0.05,0.0,0.0,20,21,1.0625046875000002,False,REGULAR,USD
SVIX250725P00013500,2025-07-18 15:13:32+00:00,13.5,0.03,0.0,0.05,-0.03,-50.0,3,8,0.804689453125,False,REGULAR,USD
SVIX250725P00014000,2025-07-16 15:33:13+00:00,14.0,0.2,0.0,0.05,0.0,0.0,25,44,0.6796907031250001,False,REGULAR,USD
SVIX250725P00014500,2025-07-18 17:55:50+00:00,14.5,0.06,0.05,0.1,-0.040000003,-40.000004,85,57,0.7226590234375,False,REGULAR,USD
SVIX250725P00015000,2025-07-18 19:58:37+00:00,15.0,0.11,0.1,0.15,-0.09,-45.0,87,52,0.6757844921875001,False,REGULAR,USD
SVIX250725P00015500,2025-07-18 19:47:02+00:00,15.5,0.15,0.1,0.2,-0.099999994,-39.999996,62,78,0.5507857421875001,False,REGULAR,USD
SVIX250725P00016000,2025-07-18 19:54:46+00:00,16.0,0.3,0.25,0.3,-0.049999982,-14.285709,1226,115,0.523442265625,False,REGULAR,USD
SVIX250725P00016500,2025-07-18 19:56:57+00:00,16.5,0.41,0.35,0.5,-0.14000002,-25.454548,12,329,0.5273484765625001,True,REGULAR,USD
SVIX250725P00017000,2025-07-18 15:31:24+00:00,17.0,0.73,0.4,0.9,-0.16999996,-18.888885,41,27,0.64062859375,True,REGULAR,USD
