contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SVXY250627C00030000,2025-06-03 17:51:11+00:00,30.0,11.32,8.4,12.5,0.0,0.0,4.0,2,1.16016044921875,True,REGULAR,USD
SVXY250627C00033000,2025-05-12 18:41:07+00:00,33.0,8.17,6.3,11.1,0.0,0.0,,1,1.96875015625,True,REGULAR,USD
SVXY250627C00033500,2025-06-12 16:20:03+00:00,33.5,8.15,5.6,9.1,0.0,0.0,2.0,2,1.2636755566406248,True,REGULAR,USD
SVXY250627C00034000,2025-05-09 18:43:23+00:00,34.0,5.8,5.6,9.7,0.0,0.0,,0,1.7578137109375,True,REGULAR,USD
SVXY250627C00034500,2025-05-16 14:52:17+00:00,34.5,7.45,4.6,7.3,0.0,0.0,8.0,3,0.6835969140625001,True,REGULAR,USD
SVXY250627C00035000,2025-06-20 17:57:05+00:00,35.0,5.39,4.2,6.8,-1.6100001,-23.000002,1.0,0,0.710940390625,True,REGULAR,USD
SVXY250627C00035500,2025-05-15 15:44:18+00:00,35.5,6.78,2.7,6.7,0.0,0.0,,3,1.8046884765624998,True,REGULAR,USD
SVXY250627C00036000,2025-06-12 16:20:03+00:00,36.0,5.75,3.7,5.4,0.0,0.0,2.0,0,0.6562534375000001,True,REGULAR,USD
SVXY250627C00036500,2025-05-16 14:42:53+00:00,36.5,5.67,3.3,5.1,0.0,0.0,16.0,10,0.726565234375,True,REGULAR,USD
SVXY250627C00037000,2025-05-30 14:17:54+00:00,37.0,4.2,2.3,5.0,0.0,0.0,3.0,13,0.62305064453125,True,REGULAR,USD
SVXY250627C00037500,2025-05-20 17:21:51+00:00,37.5,4.61,1.35,5.5,0.0,0.0,10.0,10,0.7382838671874999,True,REGULAR,USD
SVXY250627C00038000,2025-06-18 14:33:14+00:00,38.0,2.65,1.15,4.1,-0.65999985,-19.939573,1.0,26,1.2714880175781247,True,REGULAR,USD
SVXY250627C00038500,2025-05-27 15:06:31+00:00,38.5,3.35,1.25,3.1,0.0,0.0,4.0,8,0.928711650390625,True,REGULAR,USD
SVXY250627C00039000,2025-06-17 15:36:35+00:00,39.0,2.15,0.85,3.1,0.0,0.0,1.0,7,0.5273484765625001,True,REGULAR,USD
SVXY250627C00039500,2025-06-06 15:53:15+00:00,39.5,2.55,0.4,2.65,0.0,0.0,1.0,6,0.989257919921875,True,REGULAR,USD
SVXY250627C00040000,2025-06-20 19:29:01+00:00,40.0,0.9,0.85,1.3,-0.52,-36.619717,4.0,68,0.495122236328125,True,REGULAR,USD
SVXY250627C00040500,2025-06-20 20:04:30+00:00,40.5,0.76,0.4,0.8,-1.14,-60.000004,18.0,4,0.38477177734374995,False,REGULAR,USD
SVXY250627C00041000,2025-06-20 16:47:17+00:00,41.0,0.3,0.15,0.75,-0.19999999,-39.999996,8.0,6,0.4580132324218751,False,REGULAR,USD
SVXY250627C00041500,2025-06-20 18:43:35+00:00,41.5,0.15,0.0,0.35,-1.2,-88.88889,2.0,11,0.34766277343749996,False,REGULAR,USD
SVXY250627C00042000,2025-06-17 18:50:13+00:00,42.0,0.05,0.0,0.05,-0.08,-61.538464,38.0,54,0.21094539062499998,False,REGULAR,USD
SVXY250627C00042500,2025-06-16 18:57:27+00:00,42.5,0.2,0.0,0.25,0.0,0.0,3.0,35,0.41992767578125,False,REGULAR,USD
SVXY250627C00043000,2025-06-16 17:15:32+00:00,43.0,0.1,0.0,0.1,0.0,0.0,6.0,20,0.35742830078125,False,REGULAR,USD
SVXY250627C00043500,2025-06-11 14:57:09+00:00,43.5,0.3,0.0,0.2,0.0,0.0,,4,0.49219257812500006,False,REGULAR,USD
SVXY250627C00044000,2025-05-21 17:18:43+00:00,44.0,0.51,0.0,0.75,0.0,0.0,2.0,2,0.6699251757812501,False,REGULAR,USD
SVXY250627C00045000,2025-06-06 19:35:55+00:00,45.0,0.05,0.0,1.35,0.0,0.0,1.0,9,0.96679720703125,False,REGULAR,USD
SVXY250627C00046000,2025-06-13 18:27:20+00:00,46.0,0.23,0.0,1.35,0.0,0.0,1.0,1,1.076176494140625,False,REGULAR,USD
SVXY250627C00047000,2025-05-19 17:57:24+00:00,47.0,0.05,0.0,4.8,0.0,0.0,,1,2.096684445800781,False,REGULAR,USD
SVXY250627C00055000,2025-05-15 19:20:14+00:00,55.0,0.1,0.0,2.0,0.0,0.0,,3,2.095707885742187,False,REGULAR,USD
