contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TLT250718C00049000,2025-06-30 19:48:48+00:00,49.0,39.35,36.7,36.95,0.0,0.0,2.0,1,1.78125109375,True,REGULAR,USD
TLT250718C00050000,2025-06-30 19:48:48+00:00,50.0,38.35,35.7,35.95,0.0,0.0,4.0,1,1.7265638671875,True,REGULAR,USD
TLT250718C00052000,2025-05-08 16:10:09+00:00,52.0,35.7,33.3,33.55,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
TLT250718C00053000,2025-03-05 14:59:59+00:00,53.0,38.85,39.9,40.05,0.0,0.0,,0,5.666995103759765,True,REGULAR,USD
TLT250718C00055000,2025-04-10 14:13:31+00:00,55.0,33.25,32.05,32.25,0.0,0.0,2.0,0,2.858401291503906,True,REGULAR,USD
TLT250718C00056000,2024-12-09 15:06:05+00:00,56.0,37.9,29.6,29.75,0.0,0.0,,33,1.0000000000000003e-05,True,REGULAR,USD
TLT250718C00057000,2025-06-20 14:16:31+00:00,57.0,29.09,28.7,28.95,0.0,0.0,1.0,1,1.3437532812499997,True,REGULAR,USD
TLT250718C00058000,2025-04-23 15:23:06+00:00,58.0,30.0,24.15,27.85,0.0,0.0,1.0,0,1.3828155859374998,True,REGULAR,USD
TLT250718C00059000,2025-04-09 17:58:06+00:00,59.0,29.1,28.05,28.3,0.0,0.0,,0,2.5166052709960933,True,REGULAR,USD
TLT250718C00060000,2025-04-09 15:40:21+00:00,60.0,26.5,27.05,27.3,0.0,0.0,10.0,0,2.4306679858398432,True,REGULAR,USD
TLT250718C00061000,2024-11-06 16:45:50+00:00,61.0,29.0,33.35,33.5,0.0,0.0,1.0,0,5.045902130126953,True,REGULAR,USD
TLT250718C00062000,2025-03-07 18:47:45+00:00,62.0,28.35,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
TLT250718C00063000,2025-06-04 14:00:00+00:00,63.0,23.05,24.05,24.2,0.0,0.0,5.0,0,2.1533249291992185,True,REGULAR,USD
TLT250718C00064000,2025-01-23 16:12:41+00:00,64.0,22.8,25.55,25.7,0.0,0.0,5.0,0,3.075197624511718,True,REGULAR,USD
TLT250718C00065000,2025-06-30 18:11:57+00:00,65.0,23.35,20.7,20.95,0.0,0.0,20.0,1,0.945313046875,True,REGULAR,USD
TLT250718C00066000,2024-09-06 13:32:33+00:00,66.0,33.75,29.7,30.05,0.0,0.0,1.0,0,4.817386790771483,True,REGULAR,USD
TLT250718C00067000,2025-04-29 13:32:20+00:00,67.0,22.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
TLT250718C00068000,2025-04-04 16:33:21+00:00,68.0,26.15,19.5,19.7,0.0,0.0,5.0,0,1.951172119140625,True,REGULAR,USD
TLT250718C00070000,2025-07-02 18:10:32+00:00,70.0,17.5,15.7,15.95,0.0,0.0,1.0,38,0.7187528125,True,REGULAR,USD
