contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TMF250703P00029500,2025-06-24 18:41:12+00:00,29.5,0.02,0.0,0.02,-0.030000001,-60.000004,1.0,26,0.8437515624999999,False,REGULAR,USD
TMF250703P00030000,2025-06-27 17:14:53+00:00,30.0,0.04,0.0,0.06,-0.02,-33.333336,10.0,32,0.914063359375,False,REGULAR,USD
TMF250703P00030500,2025-06-17 14:09:36+00:00,30.5,0.07,0.0,0.05,0.0,0.0,1.0,12,0.8359391406249999,False,REGULAR,USD
TMF250703P00031000,2025-06-20 16:41:36+00:00,31.0,0.03,0.0,0.06,-0.04,-57.142853,5.0,114,0.804689453125,False,REGULAR,USD
TMF250703P00031500,2025-06-24 13:50:39+00:00,31.5,0.06,0.01,0.03,0.0,0.0,6.0,25,0.70312796875,False,REGULAR,USD
TMF250703P00032000,2025-06-23 13:41:23+00:00,32.0,0.03,0.0,0.08,0.0,0.0,9.0,143,0.73437765625,False,REGULAR,USD
TMF250703P00032500,2025-06-27 16:57:21+00:00,32.5,0.03,0.01,0.29,0.0,0.0,1.0,53,0.8945323046874999,False,REGULAR,USD
TMF250703P00033000,2025-06-26 18:27:43+00:00,33.0,0.04,0.0,0.1,0.0,0.0,2.0,513,0.648441015625,False,REGULAR,USD
TMF250703P00033500,2025-06-27 18:26:35+00:00,33.5,0.04,0.0,0.33,0.01,33.333336,1001.0,1078,0.77929908203125,False,REGULAR,USD
TMF250703P00034000,2025-06-27 17:32:32+00:00,34.0,0.04,0.02,0.1,-0.030000001,-42.857143,12.0,352,0.5585981640625001,False,REGULAR,USD
TMF250703P00034500,2025-06-27 18:15:26+00:00,34.5,0.06,0.02,0.1,0.009999998,19.999996,1.0,181,0.500005,False,REGULAR,USD
TMF250703P00035000,2025-06-27 18:25:32+00:00,35.0,0.04,0.0,0.1,-0.02,-33.333336,105.0,553,0.500005,False,REGULAR,USD
TMF250703P00035500,2025-06-27 19:45:09+00:00,35.5,0.06,0.05,0.1,-0.030000005,-33.333336,37.0,325,0.437505625,False,REGULAR,USD
TMF250703P00036000,2025-06-27 19:07:29+00:00,36.0,0.13,0.09,0.12,-0.030000001,-18.750002,299.0,403,0.39453730468750003,False,REGULAR,USD
TMF250703P00036500,2025-06-27 19:48:44+00:00,36.5,0.16,0.17,0.19,-0.030000001,-15.7894745,164.0,359,0.38281867187499996,False,REGULAR,USD
TMF250703P00037000,2025-06-27 19:57:02+00:00,37.0,0.27,0.27,0.3,-0.00999999,-3.571425,909.0,921,0.3789124609375,False,REGULAR,USD
TMF250703P00037500,2025-06-27 19:54:27+00:00,37.5,0.45,0.43,0.46,0.049999982,12.499995,477.0,168,0.37695935546875,False,REGULAR,USD
TMF250703P00038000,2025-06-27 19:59:25+00:00,38.0,0.63,0.63,0.67,0.04000002,6.779665,673.0,385,0.37402969726562496,False,REGULAR,USD
TMF250703P00038500,2025-06-27 19:54:27+00:00,38.5,0.95,0.89,0.93,0.13,15.853659,647.0,93,0.36914693359375,True,REGULAR,USD
TMF250703P00039000,2025-06-27 19:57:51+00:00,39.0,1.22,1.19,1.27,0.18000007,17.3077,105.0,101,0.379889013671875,True,REGULAR,USD
TMF250703P00039500,2025-06-27 16:53:34+00:00,39.5,0.99,1.55,1.65,-1.05,-51.47059,7.0,7,0.38867798828125,True,REGULAR,USD
TMF250703P00040000,2025-06-27 19:48:44+00:00,40.0,2.03,1.95,2.07,-0.120000124,-5.581401,190.0,187,0.4023497265625,True,REGULAR,USD
TMF250703P00041000,2025-06-17 13:38:51+00:00,41.0,4.62,2.86,2.98,0.0,0.0,210.0,319,0.43555251953125,True,REGULAR,USD
TMF250703P00042000,2025-06-27 17:00:41+00:00,42.0,2.97,3.8,3.95,-1.0800002,-26.666668,69.0,224,0.49609878906250005,True,REGULAR,USD
TMF250703P00043000,2025-06-24 14:30:02+00:00,43.0,5.26,4.8,5.0,0.0,0.0,5.0,5,0.6601596484375001,True,REGULAR,USD
TMF250703P00045000,2025-06-18 19:00:05+00:00,45.0,8.0,6.75,7.0,0.0,0.0,10.0,0,0.84179845703125,True,REGULAR,USD
TMF250703P00050000,2025-06-12 17:24:29+00:00,50.0,11.95,11.75,12.0,0.0,0.0,,0,1.23047259765625,True,REGULAR,USD
