contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TNA250627C00020000,2025-06-17 14:13:31+00:00,20.0,11.29,9.3,12.9,0.0,0.0,1.0,6,2.2343794140624995,True,REGULAR,USD
TNA250627C00021000,2025-05-27 18:34:49+00:00,21.0,8.79,7.8,11.9,0.0,0.0,2.0,1,1.3203158984374999,True,REGULAR,USD
TNA250627C00021500,2025-05-09 17:42:35+00:00,21.5,7.04,8.65,11.9,0.0,0.0,,1,2.816409208984375,True,REGULAR,USD
TNA250627C00022000,2025-06-09 15:13:54+00:00,22.0,10.62,6.85,9.95,0.0,0.0,1.0,25,2.8710965722656248,True,REGULAR,USD
TNA250627C00022500,2025-06-02 16:27:34+00:00,22.5,6.86,6.4,10.4,0.0,0.0,10.0,7,1.3125034374999998,True,REGULAR,USD
TNA250627C00023000,2025-06-20 17:26:53+00:00,23.0,7.9,6.3,8.3,-0.8399997,-9.610981,6.0,16,1.9179691601562503,True,REGULAR,USD
TNA250627C00023500,2025-05-23 19:54:41+00:00,23.5,5.5,5.35,9.4,0.0,0.0,7.0,6,1.0781296093750001,True,REGULAR,USD
TNA250627C00024000,2025-06-04 16:08:50+00:00,24.0,6.9,6.0,8.35,0.0,0.0,1.0,16,1.5566428417968747,True,REGULAR,USD
TNA250627C00024500,2025-06-05 14:04:13+00:00,24.5,5.98,4.55,8.1,0.0,0.0,10.0,19,0.6562534375000001,True,REGULAR,USD
TNA250627C00025000,2025-06-20 17:54:21+00:00,25.0,5.84,5.65,6.75,-0.75999975,-11.515148,45.0,141,1.396487392578125,True,REGULAR,USD
TNA250627C00025500,2025-06-20 19:54:42+00:00,25.5,5.34,5.0,5.45,-0.55999994,-9.491524,104.0,68,0.9609378906249999,True,REGULAR,USD
TNA250627C00026000,2025-06-20 19:54:42+00:00,26.0,4.84,4.45,5.05,-0.42000008,-7.9847918,93.0,43,1.0312548437500002,True,REGULAR,USD
TNA250627C00026500,2025-06-20 19:15:43+00:00,26.5,4.43,2.94,5.0,-0.3800001,-7.9002104,39.0,35,1.3925811621093749,True,REGULAR,USD
TNA250627C00027000,2025-06-20 19:08:26+00:00,27.0,3.95,3.2,4.6,-0.33000016,-7.710284,37.0,54,0.648441015625,True,REGULAR,USD
TNA250627C00027500,2025-06-20 19:49:10+00:00,27.5,3.5,3.1,3.8,-0.84000015,-19.354841,56.0,13,0.6523472265625001,True,REGULAR,USD
TNA250627C00028000,2025-06-20 19:32:41+00:00,28.0,3.07,2.84,3.1,0.45000005,17.175575,49.0,110,0.5996133789062501,True,REGULAR,USD
TNA250627C00028500,2025-06-18 17:27:09+00:00,28.5,3.43,0.79,2.8,0.0,0.0,1.0,152,0.8125018749999999,True,REGULAR,USD
TNA250627C00029000,2025-06-20 19:26:04+00:00,29.0,2.24,1.77,2.32,-0.54999995,-19.71326,66.0,190,0.507817421875,True,REGULAR,USD
TNA250627C00029500,2025-06-20 19:43:34+00:00,29.5,1.91,1.69,1.99,-0.09000003,-4.500002,65.0,251,0.63086306640625,True,REGULAR,USD
TNA250627C00030000,2025-06-20 19:54:47+00:00,30.0,1.49,1.46,1.61,-0.22000003,-12.865499,312.0,507,0.64062859375,True,REGULAR,USD
TNA250627C00030500,2025-06-20 19:47:23+00:00,30.5,1.24,1.13,1.31,-0.31999993,-20.512815,749.0,795,0.6210975390625001,True,REGULAR,USD
TNA250627C00031000,2025-06-20 19:59:06+00:00,31.0,0.94,0.91,0.99,-0.34999996,-27.13178,981.0,561,0.6074258007812501,False,REGULAR,USD
TNA250627C00031500,2025-06-20 19:59:53+00:00,31.5,0.74,0.64,0.79,-0.27999997,-27.45098,635.0,399,0.5918009570312501,False,REGULAR,USD
TNA250627C00032000,2025-06-20 19:59:43+00:00,32.0,0.52,0.47,0.54,-0.24000001,-31.578949,1298.0,913,0.567387138671875,False,REGULAR,USD
TNA250627C00032500,2025-06-20 19:49:09+00:00,32.5,0.35,0.2,0.41,-0.29999998,-46.153847,6742.0,1728,0.5195360546875,False,REGULAR,USD
TNA250627C00033000,2025-06-20 19:55:00+00:00,33.0,0.25,0.21,0.27,-0.22,-46.80851,2130.0,874,0.5449264257812501,False,REGULAR,USD
TNA250627C00033500,2025-06-20 19:40:31+00:00,33.5,0.2,0.12,0.19,-0.11999999,-37.499996,305.0,250,0.5351608984375,False,REGULAR,USD
TNA250627C00034000,2025-06-20 19:56:14+00:00,34.0,0.11,0.09,0.15,-0.24,-68.571434,1511.0,1477,0.5566450585937501,False,REGULAR,USD
TNA250627C00035000,2025-06-20 19:56:44+00:00,35.0,0.07,0.06,0.08,-0.080000006,-53.333336,1629.0,1675,0.5918009570312501,False,REGULAR,USD
TNA250627C00036000,2025-06-20 19:51:22+00:00,36.0,0.05,0.0,0.1,-0.13000001,-72.22223,276.0,481,0.648441015625,False,REGULAR,USD
