contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TNA250711P00010000,2025-06-26 19:04:13+00:00,10.0,0.1,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
TNA250711P00015000,2025-06-26 19:04:13+00:00,15.0,0.12,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
TNA250711P00018000,2025-06-30 16:27:12+00:00,18.0,0.09,0.0,0.0,0.0,0.0,,1,0.500005,False,REGULAR,USD
TNA250711P00019000,2025-06-30 16:42:58+00:00,19.0,0.09,0.0,0.0,0.0,0.0,4.0,13,0.500005,False,REGULAR,USD
TNA250711P00020000,2025-07-03 13:30:06+00:00,20.0,0.01,0.0,0.0,0.0,0.0,9.0,25,0.500005,False,REGULAR,USD
TNA250711P00021000,2025-07-01 18:51:38+00:00,21.0,0.09,0.0,0.0,0.0,0.0,4.0,5,0.500005,False,REGULAR,USD
TNA250711P00022000,2025-07-02 14:29:53+00:00,22.0,0.02,0.0,0.0,0.0,0.0,4.0,43,0.500005,False,REGULAR,USD
TNA250711P00023000,2025-07-03 14:55:43+00:00,23.0,0.02,0.0,0.0,0.0,0.0,60.0,65,0.500005,False,REGULAR,USD
TNA250711P00023500,2025-06-30 14:41:56+00:00,23.5,0.06,0.0,0.0,0.0,0.0,2.0,8,0.500005,False,REGULAR,USD
TNA250711P00024000,2025-07-03 16:51:36+00:00,24.0,0.01,0.0,0.0,0.0,0.0,11.0,38,0.500005,False,REGULAR,USD
TNA250711P00024500,2025-07-02 14:36:22+00:00,24.5,0.04,0.0,0.0,0.0,0.0,1.0,28,0.500005,False,REGULAR,USD
TNA250711P00025000,2025-07-03 13:43:08+00:00,25.0,0.05,0.0,0.0,0.0,0.0,4.0,154,0.500005,False,REGULAR,USD
TNA250711P00025500,2025-07-03 16:58:14+00:00,25.5,0.03,0.0,0.0,0.0,0.0,22.0,48,0.500005,False,REGULAR,USD
TNA250711P00026000,2025-07-03 13:43:58+00:00,26.0,0.05,0.0,0.0,0.0,0.0,1.0,68,0.500005,False,REGULAR,USD
TNA250711P00026500,2025-07-03 14:07:25+00:00,26.5,0.05,0.0,0.0,0.0,0.0,1.0,40,0.500005,False,REGULAR,USD
TNA250711P00027000,2025-07-03 16:54:45+00:00,27.0,0.03,0.0,0.0,0.0,0.0,15.0,296,0.500005,False,REGULAR,USD
TNA250711P00027500,2025-07-03 16:53:03+00:00,27.5,0.03,0.0,0.0,0.0,0.0,7.0,50,0.500005,False,REGULAR,USD
TNA250711P00028000,2025-07-03 14:56:29+00:00,28.0,0.05,0.0,0.0,0.0,0.0,15.0,2066,0.500005,False,REGULAR,USD
TNA250711P00028500,2025-07-03 14:08:42+00:00,28.5,0.01,0.0,0.0,0.0,0.0,17.0,144,0.500005,False,REGULAR,USD
TNA250711P00029000,2025-07-03 15:52:48+00:00,29.0,0.07,0.0,0.0,0.0,0.0,87.0,682,0.500005,False,REGULAR,USD
TNA250711P00029500,2025-07-03 15:07:59+00:00,29.5,0.03,0.0,0.0,0.0,0.0,22.0,128,0.500005,False,REGULAR,USD
TNA250711P00030000,2025-07-03 16:49:41+00:00,30.0,0.06,0.0,0.0,0.0,0.0,342.0,313,0.500005,False,REGULAR,USD
TNA250711P00030500,2025-07-03 14:34:15+00:00,30.5,0.05,0.0,0.0,0.0,0.0,110.0,192,0.500005,False,REGULAR,USD
TNA250711P00031000,2025-07-03 16:27:10+00:00,31.0,0.09,0.0,0.0,0.0,0.0,73.0,1054,0.500005,False,REGULAR,USD
TNA250711P00031500,2025-07-03 15:25:32+00:00,31.5,0.1,0.0,0.0,0.0,0.0,30.0,82,0.2500075,False,REGULAR,USD
TNA250711P00032000,2025-07-03 16:54:54+00:00,32.0,0.13,0.0,0.0,0.0,0.0,53.0,826,0.2500075,False,REGULAR,USD
TNA250711P00032500,2025-07-03 16:56:56+00:00,32.5,0.14,0.0,0.0,0.0,0.0,90.0,269,0.2500075,False,REGULAR,USD
TNA250711P00033000,2025-07-03 16:46:49+00:00,33.0,0.2,0.0,0.0,0.0,0.0,185.0,412,0.2500075,False,REGULAR,USD
TNA250711P00033500,2025-07-03 16:47:09+00:00,33.5,0.26,0.0,0.0,0.0,0.0,48.0,255,0.2500075,False,REGULAR,USD
TNA250711P00034000,2025-07-03 16:59:09+00:00,34.0,0.15,0.0,0.0,0.0,0.0,898.0,1759,0.2500075,False,REGULAR,USD
TNA250711P00034500,2025-07-03 16:58:23+00:00,34.5,0.4,0.0,0.0,0.0,0.0,108.0,208,0.12500875,False,REGULAR,USD
TNA250711P00035000,2025-07-03 16:59:36+00:00,35.0,0.53,0.0,0.0,0.0,0.0,515.0,936,0.12500875,False,REGULAR,USD
TNA250711P00036000,2025-07-03 16:58:55+00:00,36.0,0.84,0.0,0.0,0.0,0.0,406.0,355,0.062509375,False,REGULAR,USD
TNA250711P00037000,2025-07-03 16:57:47+00:00,37.0,1.26,0.0,0.0,0.0,0.0,354.0,317,1.0000000000000003e-05,True,REGULAR,USD
TNA250711P00038000,2025-07-03 16:11:11+00:00,38.0,1.91,0.0,0.0,0.0,0.0,42.0,44,1.0000000000000003e-05,True,REGULAR,USD
TNA250711P00040000,2025-07-03 16:49:27+00:00,40.0,3.2,0.0,0.0,0.0,0.0,3.0,14,1.0000000000000003e-05,True,REGULAR,USD
TNA250711P00045000,2025-07-03 16:25:50+00:00,45.0,8.22,0.0,0.0,0.0,0.0,5.0,37,1.0000000000000003e-05,True,REGULAR,USD
