contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
UPRO250711C00050000,2025-06-27 16:22:28+00:00,50.0,40.69,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00065000,2025-06-23 16:58:54+00:00,65.0,17.57,0.0,0.0,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00069000,2025-06-20 17:59:51+00:00,69.0,13.3,0.0,0.0,0.0,0.0,42.0,42,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00071000,2025-06-05 18:54:42+00:00,71.0,12.79,21.9,25.6,0.0,0.0,,1,1.3125034374999998,True,REGULAR,USD
UPRO250711C00074500,2025-06-24 19:49:55+00:00,74.5,12.63,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00075000,2025-07-01 17:10:13+00:00,75.0,16.38,0.0,0.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00075500,2025-06-13 19:38:17+00:00,75.5,9.2,0.0,0.0,0.0,0.0,10.0,2,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00076000,2025-07-01 17:10:13+00:00,76.0,15.43,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00076500,2025-06-30 13:34:04+00:00,76.5,15.04,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00077000,2025-07-03 15:21:34+00:00,77.0,17.7,0.0,0.0,0.0,0.0,1.0,7,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00077500,2025-06-10 16:01:39+00:00,77.5,9.05,0.0,0.0,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00078000,2025-06-24 13:38:48+00:00,78.0,9.03,0.0,0.0,0.0,0.0,5.0,8,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00078500,2025-07-02 19:53:10+00:00,78.5,13.91,0.0,0.0,0.0,0.0,10.0,51,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00079000,2025-07-01 18:37:50+00:00,79.0,12.86,0.0,0.0,0.0,0.0,2.0,12,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00079500,2025-06-03 18:49:18+00:00,79.5,6.82,13.4,17.3,0.0,0.0,10.0,5,0.95507857421875,True,REGULAR,USD
UPRO250711C00080000,2025-07-03 16:04:56+00:00,80.0,14.87,0.0,0.0,0.0,0.0,2.0,13,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00080500,2025-07-02 19:58:07+00:00,80.5,12.1,0.0,0.0,0.0,0.0,1.0,21,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00081000,2025-07-01 18:35:57+00:00,81.0,10.95,0.0,0.0,0.0,0.0,4.0,21,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00081500,2025-06-24 13:36:35+00:00,81.5,6.19,0.0,0.0,0.0,0.0,13.0,24,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00082000,2025-07-03 16:42:55+00:00,82.0,13.17,0.0,0.0,0.0,0.0,7.0,27,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00082500,2025-06-25 15:03:13+00:00,82.5,6.1,0.0,0.0,0.0,0.0,1.0,17,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00083000,2025-06-30 19:27:01+00:00,83.0,9.1,0.0,0.0,0.0,0.0,1.0,37,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00083500,2025-06-24 19:18:28+00:00,83.5,5.4,0.0,0.0,0.0,0.0,4.0,19,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00084000,2025-07-03 16:20:43+00:00,84.0,11.15,0.0,0.0,0.0,0.0,6.0,40,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00084500,2025-06-26 17:56:09+00:00,84.5,5.6,0.0,0.0,0.0,0.0,11.0,21,1.0000000000000003e-05,True,REGULAR,USD
UPRO250711C00085000,2025-07-03 15:57:22+00:00,85.0,10.1,0.0,0.0,0.0,0.0,4.0,62,1.0000000000000003e-05,True,REGULAR,USD
