contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
USO250530C00055000,2025-05-14 14:53:14+00:00,55.0,14.4,0.0,0.0,0.0,0.0,40.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00059000,2025-05-12 16:16:43+00:00,59.0,9.37,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00060000,2025-05-20 16:11:42+00:00,60.0,8.29,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00061000,2025-05-05 19:30:15+00:00,61.0,3.4,0.0,0.0,0.0,0.0,58.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00061500,2025-05-06 13:45:42+00:00,61.5,4.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00062000,2025-05-16 15:16:22+00:00,62.0,6.4,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00062500,2025-05-12 19:40:44+00:00,62.5,5.8,0.0,0.0,0.0,0.0,60.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00063000,2025-05-23 19:45:35+00:00,63.0,5.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00063500,2025-05-21 14:48:35+00:00,63.5,5.25,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00064000,2025-05-22 13:36:34+00:00,64.0,3.5,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00064500,2025-05-23 14:40:24+00:00,64.5,3.83,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00065000,2025-05-23 19:46:39+00:00,65.0,3.36,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00065500,2025-05-23 18:19:17+00:00,65.5,2.86,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00066000,2025-05-23 19:53:34+00:00,66.0,2.55,0.0,0.0,0.0,0.0,26.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00066500,2025-05-23 19:33:11+00:00,66.5,2.28,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
USO250530C00067000,2025-05-23 19:53:34+00:00,67.0,1.85,0.0,0.0,0.0,0.0,177.0,0,1.0000000000000003e-05,True,REGULAR,USD
