contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
XLK250711P00180000,2025-07-03 15:31:17+00:00,180.0,0.01,0.0,0.0,0.0,0.0,10,10,0.500005,False,REGULAR,USD
XLK250711P00205000,2025-06-05 14:58:40+00:00,205.0,0.43,0.0,0.05,0.0,0.0,1,16,0.7304714453125,False,REGULAR,USD
XLK250711P00210000,2025-06-24 13:35:11+00:00,210.0,0.36,0.0,0.0,0.0,0.0,1,2,0.500005,False,REGULAR,USD
XLK250711P00212500,2025-06-24 13:35:11+00:00,212.5,0.4,0.0,0.0,0.0,0.0,1,0,0.2500075,False,REGULAR,USD
XLK250711P00215000,2025-06-23 19:57:54+00:00,215.0,0.3,0.0,0.0,0.0,0.0,21,0,0.2500075,False,REGULAR,USD
XLK250711P00217500,2025-06-17 17:58:40+00:00,217.5,0.62,0.0,0.0,0.0,0.0,3,0,0.2500075,False,REGULAR,USD
XLK250711P00220000,2025-07-02 17:23:19+00:00,220.0,0.07,0.0,0.0,0.0,0.0,2,10,0.2500075,False,REGULAR,USD
XLK250711P00222500,2025-07-03 15:24:16+00:00,222.5,0.44,0.0,0.0,0.0,0.0,2,0,0.2500075,False,REGULAR,USD
XLK250711P00225000,2025-06-30 16:00:19+00:00,225.0,0.38,0.0,0.0,0.0,0.0,4,17,0.2500075,False,REGULAR,USD
XLK250711P00227500,2025-07-02 17:22:49+00:00,227.5,0.06,0.0,0.0,0.0,0.0,1,23,0.2500075,False,REGULAR,USD
XLK250711P00230000,2025-07-03 13:30:03+00:00,230.0,0.16,0.0,0.0,0.0,0.0,1,40,0.2500075,False,REGULAR,USD
XLK250711P00232500,2025-06-26 17:58:14+00:00,232.5,0.31,0.0,0.0,0.0,0.0,2,13,0.2500075,False,REGULAR,USD
XLK250711P00235000,2025-07-03 16:58:36+00:00,235.0,0.06,0.0,0.0,0.0,0.0,7,0,0.12500875,False,REGULAR,USD
XLK250711P00237500,2025-07-02 15:13:20+00:00,237.5,0.22,0.0,0.0,0.0,0.0,10,0,0.12500875,False,REGULAR,USD
XLK250711P00240000,2025-07-03 16:18:30+00:00,240.0,0.1,0.0,0.0,0.0,0.0,3,0,0.12500875,False,REGULAR,USD
XLK250711P00242500,2025-07-03 15:45:42+00:00,242.5,0.15,0.0,0.0,0.0,0.0,10,31,0.12500875,False,REGULAR,USD
XLK250711P00245000,2025-07-03 16:55:00+00:00,245.0,0.26,0.0,0.0,0.0,0.0,134,0,0.12500875,False,REGULAR,USD
XLK250711P00247500,2025-07-03 16:50:13+00:00,247.5,0.41,0.0,0.0,0.0,0.0,20,43,0.062509375,False,REGULAR,USD
XLK250711P00250000,2025-07-03 16:50:37+00:00,250.0,0.68,0.0,0.0,0.0,0.0,27,0,0.062509375,False,REGULAR,USD
XLK250711P00252500,2025-07-03 16:52:41+00:00,252.5,1.2,0.0,0.0,0.0,0.0,152,203,0.0312596875,False,REGULAR,USD
XLK250711P00255000,2025-07-03 16:58:14+00:00,255.0,1.6,0.0,0.0,0.0,0.0,117,110,0.015634843750000002,False,REGULAR,USD
XLK250711P00257500,2025-07-03 16:59:59+00:00,257.5,2.7,0.0,0.0,0.0,0.0,568,0,1.0000000000000003e-05,True,REGULAR,USD
XLK250711P00260000,2025-07-03 16:40:58+00:00,260.0,3.9,0.0,0.0,0.0,0.0,8,6,1.0000000000000003e-05,True,REGULAR,USD
XLK250711P00265000,2025-07-03 16:54:54+00:00,265.0,8.35,0.0,0.0,0.0,0.0,9,9,1.0000000000000003e-05,True,REGULAR,USD
XLK250711P00270000,2025-06-30 15:20:20+00:00,270.0,17.75,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
