contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
XLV250718C00100000,2025-06-23 13:37:43+00:00,100.0,32.74,33.0,37.7,0.0,0.0,,2,1.189457177734375,True,REGULAR,USD
XLV250718C00120000,2025-07-01 16:14:17+00:00,120.0,18.0,13.1,16.05,0.0,0.0,1.0,6,0.8203142968749999,True,REGULAR,USD
XLV250718C00124000,2025-06-06 15:37:23+00:00,124.0,10.9,9.35,13.6,0.0,0.0,1.0,0,0.9873048144531251,True,REGULAR,USD
XLV250718C00125000,2025-07-10 13:33:29+00:00,125.0,10.55,8.65,11.5,0.0,0.0,2.0,49,0.7175321215820312,True,REGULAR,USD
XLV250718C00126000,2025-06-23 13:37:43+00:00,126.0,7.54,7.3,10.35,0.0,0.0,2.0,3,0.6398961791992188,True,REGULAR,USD
XLV250718C00127000,2025-07-07 18:16:23+00:00,127.0,7.25,8.15,9.45,0.0,0.0,4.0,94,0.6152382226562501,True,REGULAR,USD
XLV250718C00128000,2025-06-26 13:53:10+00:00,128.0,7.55,5.2,9.95,0.0,0.0,2.0,42,0.8386246606445311,True,REGULAR,USD
XLV250718C00129000,2025-07-10 16:53:42+00:00,129.0,7.82,4.8,8.5,0.0,0.0,4.0,23,0.708010732421875,True,REGULAR,USD
XLV250718C00130000,2025-07-11 14:01:20+00:00,130.0,5.29,3.05,5.9,-1.71,-24.428572,2.0,150,0.367193828125,True,REGULAR,USD
XLV250718C00131000,2025-07-11 18:21:09+00:00,131.0,4.2,4.0,4.95,-1.5800004,-27.335648,3.0,58,0.3325262060546875,True,REGULAR,USD
XLV250718C00131500,2025-07-08 17:04:09+00:00,131.5,4.1,3.55,5.05,0.0,0.0,1.0,3,0.415044912109375,True,REGULAR,USD
XLV250718C00132000,2025-07-11 13:52:04+00:00,132.0,3.5,3.1,4.55,-1.1999998,-25.531912,8.0,229,0.38867798828125,True,REGULAR,USD
XLV250718C00132500,2025-06-24 15:57:27+00:00,132.5,2.5,2.7,4.15,0.0,0.0,3.0,4,0.3776917700195312,True,REGULAR,USD
XLV250718C00133000,2025-07-10 19:58:30+00:00,133.0,3.7,2.3,3.0,0.0,0.0,31.0,492,0.24536887451171874,True,REGULAR,USD
XLV250718C00133500,2025-07-09 19:08:22+00:00,133.5,2.46,2.12,2.64,0.0,0.0,10.0,10,0.2417068017578125,True,REGULAR,USD
XLV250718C00134000,2025-07-11 19:27:03+00:00,134.0,1.89,1.58,2.18,-1.7600001,-48.21918,15.0,1169,0.21949022705078125,True,REGULAR,USD
XLV250718C00134500,2025-07-11 17:06:12+00:00,134.5,1.35,1.29,1.79,-2.0500002,-60.29412,8.0,472,0.20557435058593748,True,REGULAR,USD
XLV250718C00135000,2025-07-11 20:03:52+00:00,135.0,1.32,1.02,1.49,-0.84000003,-38.88889,78.0,4322,0.2016681396484375,True,REGULAR,USD
XLV250718C00135500,2025-07-11 19:54:36+00:00,135.5,0.99,0.76,1.23,-0.86,-46.48649,227.0,644,0.1992267578125,False,REGULAR,USD
XLV250718C00136000,2025-07-11 19:54:47+00:00,136.0,0.75,0.56,1.01,-0.80999994,-51.923073,288.0,1123,0.19849434326171872,False,REGULAR,USD
XLV250718C00136500,2025-07-11 19:46:08+00:00,136.5,0.57,0.36,0.83,-0.53000003,-48.18182,18.0,674,0.1997150341796875,False,REGULAR,USD
XLV250718C00137000,2025-07-11 19:04:05+00:00,137.0,0.36,0.36,0.59,-0.53999996,-59.999996,1095.0,1391,0.186531572265625,False,REGULAR,USD
XLV250718C00137500,2025-07-11 19:03:31+00:00,137.5,0.3,0.11,0.35,-0.53999996,-64.28571,32.0,136,0.16577982666015628,False,REGULAR,USD
XLV250718C00138000,2025-07-11 19:26:28+00:00,138.0,0.23,0.03,0.46,-0.38,-62.29508,30.0,1603,0.20801573242187496,False,REGULAR,USD
XLV250718C00138500,2025-07-11 19:45:03+00:00,138.5,0.16,0.14,0.57,-0.29,-64.44444,192.0,129,0.2500075,False,REGULAR,USD
XLV250718C00139000,2025-07-11 17:36:26+00:00,139.0,0.11,0.08,0.12,-0.24,-68.571434,19.0,696,0.16211775390625,False,REGULAR,USD
XLV250718C00140000,2025-07-11 18:12:12+00:00,140.0,0.06,0.05,0.09,-0.16,-72.72727,29.0,473,0.179695703125,False,REGULAR,USD
XLV250718C00141000,2025-07-11 16:14:54+00:00,141.0,0.02,0.0,0.19,-0.09,-81.818184,6.0,2454,0.24805439453125,False,REGULAR,USD
XLV250718C00142000,2025-07-11 19:59:49+00:00,142.0,0.03,0.02,0.03,-0.020000001,-40.000004,13.0,110,0.19336744140625,False,REGULAR,USD
XLV250718C00143000,2025-07-10 14:20:25+00:00,143.0,0.05,0.0,0.14,0.0,0.0,3.0,673,0.28613995117187496,False,REGULAR,USD
XLV250718C00144000,2025-07-02 13:54:20+00:00,144.0,0.09,0.0,0.1,0.0,0.0,11.0,18,0.2929758203124999,False,REGULAR,USD
XLV250718C00145000,2025-07-08 14:06:53+00:00,145.0,0.01,0.0,0.54,0.0,0.0,1.0,6394,0.47803256347656253,False,REGULAR,USD
XLV250718C00146000,2025-06-27 13:37:08+00:00,146.0,0.06,0.0,0.54,0.0,0.0,4.0,7,0.5097705273437501,False,REGULAR,USD
XLV250718C00147000,2025-06-12 19:34:05+00:00,147.0,0.09,0.0,0.54,0.0,0.0,2.0,5,0.5410202148437502,False,REGULAR,USD
XLV250718C00148000,2025-06-17 18:20:09+00:00,148.0,0.03,0.0,0.54,0.0,0.0,6500.0,2,0.5712933496093751,False,REGULAR,USD
XLV250718C00150000,2025-07-01 16:32:16+00:00,150.0,0.04,0.0,0.08,0.0,0.0,1.0,27,0.42188078125,False,REGULAR,USD
