contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
XLV250801P00110000,2025-07-15 19:34:59+00:00,110.0,0.14,0.0,2.46,0.0,0.0,2.0,3.0,1.4013701806640624,False,REGULAR,USD
XLV250801P00120000,2025-07-10 14:41:27+00:00,120.0,0.26,0.0,0.5,0.0,0.0,2.0,10.0,0.632816171875,False,REGULAR,USD
XLV250801P00122000,2025-07-10 15:14:27+00:00,122.0,0.09,0.0,4.8,0.0,0.0,13.0,37.0,1.140629296875,False,REGULAR,USD
XLV250801P00123000,2025-07-14 19:42:27+00:00,123.0,0.08,0.0,4.8,0.0,0.0,1.0,3.0,1.0908248583984377,False,REGULAR,USD
XLV250801P00124000,2025-07-23 14:21:46+00:00,124.0,0.04,0.0,4.8,0.0,0.0,28.0,26.0,1.0407762805175786,False,REGULAR,USD
XLV250801P00125000,2025-07-23 15:55:54+00:00,125.0,0.04,0.0,0.13,0.0,0.0,4.0,58.0,0.407232490234375,False,REGULAR,USD
XLV250801P00126000,2025-07-25 19:11:41+00:00,126.0,0.05,0.0,1.16,-0.05,-50.0,2.0,6.0,0.5459029785156251,False,REGULAR,USD
XLV250801P00127000,2025-07-25 19:19:34+00:00,127.0,0.1,0.0,4.8,0.05,100.0,5.0,105.0,0.8886729882812499,False,REGULAR,USD
XLV250801P00128000,2025-07-23 19:10:17+00:00,128.0,0.11,0.0,4.8,0.0,0.0,22.0,39.0,0.8371598315429687,False,REGULAR,USD
XLV250801P00129000,2025-07-25 17:45:16+00:00,129.0,0.08,0.0,0.29,-0.049999997,-38.461536,6.0,95.0,0.34766277343749996,False,REGULAR,USD
XLV250801P00130000,2025-07-25 18:05:30+00:00,130.0,0.1,0.08,0.17,-0.059999995,-37.499996,32.0,91.0,0.27149166015625,False,REGULAR,USD
XLV250801P00130500,2025-07-22 19:43:44+00:00,130.5,0.47,0.03,4.95,0.0,0.0,6.0,35.0,0.719729365234375,False,REGULAR,USD
XLV250801P00131000,2025-07-25 19:42:24+00:00,131.0,0.11,0.0,0.44,-0.5,-81.96721,22.0,30.0,0.3154365332031249,False,REGULAR,USD
XLV250801P00131500,2025-07-25 19:19:01+00:00,131.5,0.16,0.0,4.8,-0.09,-36.0,8.0,79.0,0.6501499829101562,False,REGULAR,USD
XLV250801P00132000,2025-07-25 18:32:40+00:00,132.0,0.19,0.0,0.25,-0.120000005,-38.70968,21.0,104.0,0.22852333984375,False,REGULAR,USD
XLV250801P00132500,2025-07-25 19:11:47+00:00,132.5,0.19,0.1,0.42,-0.19999999,-51.282047,2.0,50.0,0.25098405273437496,False,REGULAR,USD
XLV250801P00133000,2025-07-25 19:21:34+00:00,133.0,0.25,0.05,0.36,-0.21000001,-45.652176,22.0,77.0,0.21778125976562498,False,REGULAR,USD
XLV250801P00133500,2025-07-24 14:36:12+00:00,133.5,0.64,0.0,1.19,0.0,0.0,9.0,49.0,0.3461979443359374,False,REGULAR,USD
XLV250801P00134000,2025-07-25 19:44:38+00:00,134.0,0.33,0.0,0.93,-0.23999998,-42.10526,34.0,74.0,0.2778392529296875,False,REGULAR,USD
XLV250801P00134500,2025-07-25 19:41:38+00:00,134.5,0.41,0.0,0.95,-0.35999998,-46.753246,3.0,57.0,0.25489026367187506,False,REGULAR,USD
XLV250801P00135000,2025-07-25 19:44:24+00:00,135.0,0.55,0.0,0.57,-0.40999997,-42.708332,28.0,86.0,0.16748879394531252,False,REGULAR,USD
XLV250801P00135500,2025-07-25 19:53:41+00:00,135.5,0.67,0.04,2.3,-0.48999995,-42.241375,16.0,92.0,0.39722282470703124,False,REGULAR,USD
XLV250801P00136000,2025-07-25 19:59:48+00:00,136.0,0.86,0.61,0.98,-0.53999996,-38.571426,15.0,96.0,0.17285983398437502,False,REGULAR,USD
XLV250801P00136500,2025-07-25 19:51:13+00:00,136.5,1.08,0.85,1.28,-0.39999998,-27.027025,24.0,31.0,0.18189294677734374,True,REGULAR,USD
XLV250801P00137000,2025-07-25 19:02:58+00:00,137.0,1.42,0.0,1.89,-0.09000003,-5.960267,11.0,40.0,0.23120885986328127,True,REGULAR,USD
XLV250801P00137500,2025-07-23 19:06:28+00:00,137.5,2.19,0.0,3.9,0.0,0.0,6.0,7.0,0.4804739453125,True,REGULAR,USD
XLV250801P00138000,2025-07-24 19:01:42+00:00,138.0,2.75,0.01,4.95,0.0,0.0,1.0,4.0,0.5908244042968751,True,REGULAR,USD
XLV250801P00138500,2025-07-01 16:38:20+00:00,138.5,2.8,0.3,5.0,0.0,0.0,10.0,0.0,0.5556685058593751,True,REGULAR,USD
XLV250801P00139000,2025-07-21 13:33:50+00:00,139.0,7.5,2.34,3.3,0.0,0.0,4.0,1.0,0.2500075,True,REGULAR,USD
XLV250801P00146000,2025-07-16 14:54:03+00:00,146.0,11.8,7.2,12.0,0.0,0.0,,,0.8442398388671875,True,REGULAR,USD
