contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
XLY250620P00075000,2025-05-20 20:13:27+00:00,75.0,0.01,0.0,0.13,0.0,0.0,4,20,3.0781273046874995,False,REGULAR,USD
XLY250620P00080000,2025-06-13 18:12:21+00:00,80.0,0.06,0.0,1.69,-0.44,-88.0,1,0,4.10937986328125,False,REGULAR,USD
XLY250620P00085000,2025-06-13 18:12:21+00:00,85.0,0.31,0.0,1.69,0.11,55.0,1,1,3.8750003125,False,REGULAR,USD
XLY250620P00090000,2024-09-03 18:16:32+00:00,90.0,0.18,0.0,1.85,0.0,0.0,2,1,3.712891342773437,False,REGULAR,USD
XLY250620P00095000,2025-03-13 17:10:37+00:00,95.0,0.5,0.0,1.61,0.0,0.0,2,4,3.41406396484375,False,REGULAR,USD
XLY250620P00100000,2025-04-11 17:46:18+00:00,100.0,0.35,0.0,0.5,0.0,0.0,2,4,2.6757845605468753,False,REGULAR,USD
XLY250620P00105000,2025-04-30 13:51:52+00:00,105.0,0.11,0.0,4.8,0.0,0.0,1,732,3.80468798828125,False,REGULAR,USD
XLY250620P00110000,2025-05-01 14:58:30+00:00,110.0,0.28,0.0,4.8,0.0,0.0,1,130,3.588868215332031,False,REGULAR,USD
XLY250620P00115000,2025-03-31 15:10:22+00:00,115.0,0.46,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
XLY250620P00120000,2025-04-10 14:14:15+00:00,120.0,0.4,0.0,4.8,0.0,0.0,1,546,3.1845723510742188,False,REGULAR,USD
XLY250620P00125000,2025-04-09 17:34:42+00:00,125.0,0.85,0.0,4.8,0.0,0.0,3,1787,2.994631419677734,False,REGULAR,USD
XLY250620P00130000,2025-04-21 19:13:17+00:00,130.0,1.04,0.0,0.5,0.0,0.0,4,969,1.8144540527343749,False,REGULAR,USD
XLY250620P00135000,2025-05-16 18:08:21+00:00,135.0,0.42,0.0,2.74,0.0,0.0,1,4281,2.301762058105468,False,REGULAR,USD
XLY250620P00140000,2025-05-22 15:05:25+00:00,140.0,0.15,0.0,4.8,0.0,0.0,2,2131,2.4624061877441403,False,REGULAR,USD
XLY250620P00145000,2025-05-16 18:08:21+00:00,145.0,0.07,0.0,3.55,0.0,0.0,22,1949,2.124028127441406,False,REGULAR,USD
XLY250620P00146000,2025-06-06 18:05:59+00:00,146.0,0.02,0.0,0.1,0.0,0.0,10,782,1.15625421875,False,REGULAR,USD
XLY250620P00147000,2025-05-14 14:46:17+00:00,147.0,0.05,0.0,2.54,0.0,0.0,2,708,1.9042973535156251,False,REGULAR,USD
XLY250620P00148000,2025-04-30 13:52:31+00:00,148.0,0.92,0.0,4.8,0.0,0.0,2,614,2.198246691894531,False,REGULAR,USD
XLY250620P00149000,2025-04-30 13:52:31+00:00,149.0,0.98,0.0,4.8,0.0,0.0,2,3275,2.166020209960937,False,REGULAR,USD
