contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
YINN250801C00030000,2025-07-25 19:55:54+00:00,30.0,16.87,16.55,17.3,-0.8899994,-5.011258,1.0,33,2.3515666210937494,True,REGULAR,USD
YINN250801C00032000,2025-07-18 13:43:47+00:00,32.0,13.0,13.4,15.75,0.0,0.0,4.0,2,2.5957066357421876,True,REGULAR,USD
YINN250801C00033000,2025-07-18 16:22:53+00:00,33.0,12.66,12.65,14.4,0.0,0.0,,2,2.064457963867187,True,REGULAR,USD
YINN250801C00034000,2025-07-03 14:44:19+00:00,34.0,6.4,11.9,13.3,0.0,0.0,6.0,6,1.8046884765624998,True,REGULAR,USD
YINN250801C00035000,2025-07-18 14:25:08+00:00,35.0,10.95,11.6,12.2,0.0,0.0,1.0,6,1.5390648046875,True,REGULAR,USD
YINN250801C00036000,2025-07-25 14:49:28+00:00,36.0,10.8,10.3,12.5,1.5500002,16.756758,22.0,32,1.6582048339843751,True,REGULAR,USD
YINN250801C00036500,2025-07-16 19:57:34+00:00,36.5,7.1,9.65,10.8,0.0,0.0,2.0,3,1.484377578125,True,REGULAR,USD
YINN250801C00037000,2025-07-25 15:05:38+00:00,37.0,9.68,9.8,10.5,-1.1999998,-11.029409,3.0,52,1.2343788281249999,True,REGULAR,USD
YINN250801C00037500,2025-07-15 14:11:44+00:00,37.5,5.58,9.15,9.9,0.0,0.0,2.0,5,0.9531254687499999,True,REGULAR,USD
YINN250801C00038000,2025-07-15 14:11:44+00:00,38.0,5.18,8.35,10.5,0.0,0.0,2.0,17,1.419924775390625,True,REGULAR,USD
YINN250801C00038500,2025-07-25 13:44:16+00:00,38.5,7.97,6.9,9.95,4.6499996,140.06024,3.0,19,2.0781298046874994,True,REGULAR,USD
YINN250801C00039000,2025-07-25 14:05:01+00:00,39.0,7.82,7.2,9.1,-1.7899995,-18.626427,6.0,80,1.01172369140625,True,REGULAR,USD
YINN250801C00039500,2025-07-25 19:24:27+00:00,39.5,7.65,7.5,7.65,-0.7999997,-9.467453,94.0,155,0.8554701953125,True,REGULAR,USD
YINN250801C00040000,2025-07-25 19:14:59+00:00,40.0,7.08,7.0,7.2,-1.7200003,-19.545456,159.0,198,0.8398453515625,True,REGULAR,USD
YINN250801C00040500,2025-07-25 19:26:44+00:00,40.5,6.62,6.2,7.0,-1.7300005,-20.718569,327.0,328,0.789064609375,True,REGULAR,USD
YINN250801C00041000,2025-07-25 17:54:57+00:00,41.0,6.05,6.05,6.3,-0.9299998,-13.323779,32.0,48,0.8203142968749999,True,REGULAR,USD
YINN250801C00041500,2025-07-23 13:45:43+00:00,41.5,7.35,5.4,6.05,0.0,0.0,2.0,117,0.8125018749999999,True,REGULAR,USD
YINN250801C00042000,2025-07-25 17:43:45+00:00,42.0,5.11,5.2,5.35,-1.1299996,-18.10897,5.0,253,0.79687703125,True,REGULAR,USD
YINN250801C00042500,2025-07-25 19:27:34+00:00,42.5,4.83,4.8,4.95,-1.44,-22.966509,15.0,109,0.8095722167968749,True,REGULAR,USD
YINN250801C00043000,2025-07-25 19:14:59+00:00,43.0,4.4,4.35,4.55,-1.0,-18.518518,125.0,62,0.7949239257812499,True,REGULAR,USD
YINN250801C00043500,2025-07-24 15:04:46+00:00,43.5,5.37,3.9,4.2,0.0,0.0,2.0,115,0.78711150390625,True,REGULAR,USD
YINN250801C00044000,2025-07-25 19:30:29+00:00,44.0,3.7,3.6,3.75,-0.91999984,-19.913418,73.0,104,0.7851583984375,True,REGULAR,USD
YINN250801C00044500,2025-07-25 16:01:00+00:00,44.5,2.98,3.25,3.35,-1.2199998,-29.047615,20.0,98,0.7744163183593751,True,REGULAR,USD
YINN250801C00045000,2025-07-25 19:38:07+00:00,45.0,2.94,2.91,3.0,-0.76,-20.54054,174.0,1825,0.7695335546875001,True,REGULAR,USD
YINN250801C00045500,2025-07-25 19:46:23+00:00,45.5,2.63,2.6,2.7,-0.8399999,-24.20749,8.0,130,0.773439765625,True,REGULAR,USD
YINN250801C00046000,2025-07-25 19:59:02+00:00,46.0,2.36,2.32,2.43,-0.86000013,-26.708078,45.0,178,0.7812521875,True,REGULAR,USD
YINN250801C00046500,2025-07-25 19:43:46+00:00,46.5,2.08,2.06,2.16,-0.8900001,-29.966333,36.0,52,0.7832052929687501,True,REGULAR,USD
YINN250801C00047000,2025-07-25 19:58:21+00:00,47.0,1.87,1.82,1.9,-0.7700001,-29.166668,245.0,554,0.782228740234375,False,REGULAR,USD
YINN250801C00047500,2025-07-25 19:08:57+00:00,47.5,1.67,1.62,1.72,-0.71000016,-29.831938,49.0,104,0.79883013671875,False,REGULAR,USD
YINN250801C00048000,2025-07-25 19:54:52+00:00,48.0,1.48,1.43,1.5,-0.6700001,-31.162792,185.0,425,0.799806689453125,False,REGULAR,USD
YINN250801C00049000,2025-07-25 19:45:41+00:00,49.0,1.17,1.13,1.19,-0.5500001,-31.976748,105.0,209,0.823243955078125,False,REGULAR,USD
YINN250801C00050000,2025-07-25 19:59:52+00:00,50.0,0.89,0.88,0.93,-0.5,-35.971226,344.0,1332,0.8398453515625,False,REGULAR,USD
YINN250801C00055000,2025-07-25 19:57:53+00:00,55.0,0.25,0.24,0.29,-0.21000001,-45.652176,175.0,483,0.9335944140625,False,REGULAR,USD
